V1,V2,V3,V4,V5,V6,V7,bestlam,rmse
1,2,3,4,5,12,13,344.835657355112,967.508182384435
1,2,3,4,5,12,14,33.0458069730223,1055.62544795828
1,2,3,4,5,12,15,372.363921193149,1023.68829431064
1,2,3,4,5,13,14,423.004108898144,873.232715185453
1,2,3,4,5,13,15,314.296323189871,1037.83368329088
1,2,3,4,5,14,15,142.684033298824,978.338646175226
1,2,3,4,6,7,8,186.335408857579,451.000385489944
1,2,3,4,6,7,9,447.824253270522,480.345551617097
1,2,3,4,6,7,10,15.7800434519947,633.415319171484
1,2,3,4,6,7,11,14.0111945689609,507.609763167513
1,2,3,4,6,7,12,286.829098300428,465.057642408364
1,2,3,4,6,7,13,329.261728444252,477.698171469922
1,2,3,4,6,7,14,697.193947442615,198.890608019417
1,2,3,4,6,7,15,309.801007640129,398.026138154559
1,2,3,4,6,8,9,284.935879325632,948.879742236286
1,2,3,4,6,8,10,328.590273430352,974.953481846723
1,2,3,4,6,8,11,345.822289016122,915.917334406004
1,2,3,4,6,8,12,300.45487418593,953.56121023557
1,2,3,4,6,8,13,340.249717107256,908.506145195736
1,2,3,4,6,8,14,360.254000728308,905.206035874236
1,2,3,4,6,8,15,231.782508152052,998.749977451128
1,2,3,4,6,9,10,244.256268092757,984.178287146601
1,2,3,4,6,9,11,185.337366751429,996.469238784027
1,2,3,4,6,9,12,58.5612113224702,1062.29219078952
1,2,3,4,6,9,13,377.318459104975,931.967424049689
1,2,3,4,6,9,14,386.416680573991,899.178559433126
1,2,3,4,6,9,15,400.120200978041,1005.08485886591
1,2,3,4,6,10,11,444.513341196999,875.692206645512
1,2,3,4,6,10,12,161.449881776541,1045.08723576623
1,2,3,4,6,10,13,300.665796633227,947.833900200688
1,2,3,4,6,10,14,10.1728107879275,991.729822633321
1,2,3,4,6,10,15,332.385469644245,982.385091831514
1,2,3,4,6,11,12,306.743420342892,942.071430135927
1,2,3,4,6,11,13,354.003101802052,923.268731985299
1,2,3,4,6,11,14,441.097786554909,860.536901197184
1,2,3,4,6,11,15,381.13135966502,947.394518837512
1,2,3,4,6,12,13,336.250465881497,981.260925175622
1,2,3,4,6,12,14,424.346455581096,885.689574983116
1,2,3,4,6,12,15,339.191014184006,994.951025345434
1,2,3,4,6,13,14,406.139671418674,897.294221430717
1,2,3,4,6,13,15,377.034038415993,991.990639014192
1,2,3,4,6,14,15,370.069198915673,902.095460062053
1,2,3,4,7,8,9,566.625355648789,501.103489602364
1,2,3,4,7,8,10,682.230549467585,502.491847985285
1,2,3,4,7,8,11,698.408375866597,513.827142424052
1,2,3,4,7,8,12,647.716507489914,512.562305155838
1,2,3,4,7,8,13,656.379513348395,511.871377683561
1,2,3,4,7,8,14,591.712464815088,210.474897058216
1,2,3,4,7,8,15,648.601368049817,398.942611526604
1,2,3,4,7,9,10,278.10931376241,479.442824824316
1,2,3,4,7,9,11,178.417475118025,521.396711946682
