V1,V2,V3,V4,V5,V6,bestlam,rmse
1,2,3,5,7,10,33.2727720693416,33.6729082369875
1,2,3,5,7,11,31.3310452383241,34.280864251739
1,2,3,5,7,12,30.2791686672419,28.7234033498818
1,2,3,5,7,13,28.4784357200985,32.7645182147724
1,2,3,5,8,9,29.2285276664368,37.0356969131117
1,2,3,5,8,10,13.4869350522832,40.2512302090643
1,2,3,5,8,11,28.2822704058751,37.6303140758399
1,2,3,5,8,12,23.65301695966,33.6964508000569
1,2,3,5,8,13,27.9071437505939,34.200333031357
1,2,3,5,9,10,25.2879588371304,36.1470521218154
1,2,3,5,9,11,24.9667939553862,42.2667649035699
1,2,3,5,9,12,27.1597515805032,37.4365138781588
1,2,3,5,9,13,24.1705666115853,36.9993858346143
1,2,3,5,10,11,14.4537437495911,47.9307152092642
1,2,3,5,10,12,28.4397622223261,34.5889660095232
1,2,3,5,10,13,24.2783229547149,38.5258588709165
1,2,3,5,11,12,28.1031490887714,35.6313025027511
1,2,3,5,11,13,19.911194757758,40.6725178305973
1,2,3,5,12,13,21.9819560572852,37.2022906934814
1,2,3,6,7,8,26.9673387250173,31.2289064759884
1,2,3,6,7,9,23.6169626431009,34.1530600766767
1,2,3,6,7,10,12.6054762115288,33.5284303127477
1,2,3,6,7,11,32.8586692567807,33.8570638289058
1,2,3,6,7,12,30.9785245033745,28.7183080119746
1,2,3,6,7,13,31.5153955366522,32.130353621799
1,2,3,6,8,9,18.7418969620227,62.2964898529553
1,2,3,6,8,10,18.048936553166,43.4943044374836
1,2,3,6,8,11,31.2025226312061,36.5603471621289
1,2,3,6,8,12,23.9544832077168,33.3378909387009
1,2,3,6,8,13,26.7803923947387,33.5859616475458
1,2,3,6,9,10,28.2700969784437,32.8564503128161
1,2,3,6,9,11,28.3330473780854,37.2382498762516
1,2,3,6,9,12,28.5595719731475,35.1855875717743
1,2,3,6,9,13,26.2649296392692,35.1058644016155
1,2,3,6,10,11,7.76906207059147,52.7864770045311
1,2,3,6,10,12,31.0741724727478,32.9786294891515
1,2,3,6,10,13,25.9438537609189,34.6087404691591
1,2,3,6,11,12,33.325397001901,34.6335795257902
1,2,3,6,11,13,27.3478837511906,37.1467456204788
1,2,3,6,12,13,21.9853377509231,36.0635765899332
1,2,3,7,8,9,28.8622910504511,30.7496740445513
1,2,3,7,8,10,29.3191553466564,29.8973480156242
1,2,3,7,8,11,25.255049572373,29.0164572531486
1,2,3,7,8,12,26.3570422478041,21.1702447207977
1,2,3,7,8,13,23.6328429823694,25.4737480923257
1,2,3,7,9,10,0.743300853456322,45.5486575891113
1,2,3,7,9,11,23.5956500068011,34.6934264341006
1,2,3,7,9,12,24.632028096062,28.2642399370409
1,2,3,7,9,13,4.10343879157021,40.5461840224915
1,2,3,7,10,11,4.30651853279394,48.2571944212794
1,2,3,7,10,12,35.7782229456697,27.3655376182632
1,2,3,7,10,13,32.8551048412877,30.5915802305914
1,2,3,7,11,12,32.0066980630363,25.9005393469236
1,2,3,7,11,13,0.793215101680339,42.1771714845206
1,2,3,7,12,13,30.5442379498801,27.6599866510897
1,2,3,8,9,10,5.59818025355729,44.7482485006827
1,2,3,8,9,11,31.8508224440198,36.0522090087598
1,2,3,8,9,12,29.0125842313734,31.6282027212792
1,2,3,8,9,13,26.1116427159954,34.4256291682705
1,2,3,8,10,11,31.5114680752489,35.1992201618161
1,2,3,8,10,12,26.5497757635274,30.7996899579975
1,2,3,8,10,13,27.2857256869379,33.3441551361526
1,2,3,8,11,12,25.370322924449,30.045196658612
1,2,3,8,11,13,26.9392301747593,34.7197738533873
1,2,3,8,12,13,18.9961273467331,31.7192912249261
1,2,3,9,10,11,1.58080867119422,51.8201383896251
1,2,3,9,10,12,23.7747700339489,34.5176510768228
1,2,3,9,10,13,26.6419336545315,33.5627157241841
1,2,3,9,11,12,17.4274227006709,38.4117313914754
1,2,3,9,11,13,23.6466343653113,36.6023439753453
1,2,3,9,12,13,26.596942339687,34.4826658816687
1,2,3,10,11,12,21.4028729538993,35.4241884526275
1,2,3,10,11,13,21.5563849714256,38.2349038394885
1,2,3,10,12,13,27.4043264942239,33.6591210597377
1,2,3,11,12,13,25.6823690471238,35.2287450165365
1,2,4,5,6,7,24.2953398063447,33.988912678789
1,2,4,5,6,8,13.9752202529785,41.9185627907718
1,2,4,5,6,9,11.6297152354882,33.1026401465869
1,2,4,5,6,10,4.08353728175578,119.744423249439
1,2,4,5,6,11,19.1667620207478,36.706206493298
1,2,4,5,6,12,10.2900670365549,37.3386359054539
1,2,4,5,6,13,11.3344793073087,33.7344436586278
1,2,4,5,7,8,9.58328402074659,50.4250048722919
1,2,4,5,7,9,0.849999788502518,49.0569277982682
1,2,4,5,7,10,9.03159766866637,31.0304488491887
1,2,4,5,7,11,25.4806016629041,35.7778784318794
1,2,4,5,7,12,31.5574320909162,32.2266116985615
1,2,4,5,7,13,24.4844462737839,33.6411964289954
1,2,4,5,8,9,23.3399137067642,35.2555231673938
1,2,4,5,8,10,19.6831590003156,33.7619555596635
1,2,4,5,8,11,25.3618015914113,37.8719709427142
1,2,4,5,8,12,30.5536467968527,34.696698513765
1,2,4,5,8,13,20.2037894370076,35.752171320956
1,2,4,5,9,10,11.7273091935141,32.3451840245188
1,2,4,5,9,11,20.9910140784979,35.8360858721561
1,2,4,5,9,12,27.493303918936,33.6107874960815
1,2,4,5,9,13,12.3387557268417,30.6841964305288
1,2,4,5,10,11,19.6794578706637,34.6750265956138
1,2,4,5,10,12,22.6246558648368,31.931515767111
1,2,4,5,10,13,10.4256155158544,35.1624340364142
1,2,4,5,11,12,3.45060544390119,35.2346873388611
1,2,4,5,11,13,19.4995898235802,37.8222169481712
1,2,4,5,12,13,26.7553002883979,35.3588953996001
1,2,4,6,7,8,10.6169208063393,46.376407609207
1,2,4,6,7,9,30.4045413887787,30.170758210897
1,2,4,6,7,10,0.760738658156132,38.1557809792785
1,2,4,6,7,11,3.44797675083007,44.841650702377
1,2,4,6,7,12,0.798396767633272,42.0554562584269
1,2,4,6,7,13,25.7972816585707,31.4661495325536
1,2,4,6,8,9,24.6709640480733,31.8615206349957
1,2,4,6,8,10,24.069770841722,30.2047038842412
1,2,4,6,8,11,11.5063259702242,40.2816092604349
1,2,4,6,8,12,28.0100882100711,32.9930246945159
1,2,4,6,8,13,15.0598067011415,35.1958532544554
1,2,4,6,9,10,4.10714518220568,28.2293273073409
1,2,4,6,9,11,16.1353005832165,32.393339756755
1,2,4,6,9,12,25.2672120333182,30.6940115222514
1,2,4,6,9,13,0.692951672753959,43.2504151297222
1,2,4,6,10,11,18.9116663316526,31.0362640237474
1,2,4,6,10,12,22.4055584691377,29.023663790287
1,2,4,6,10,13,7.89215954704704,29.0777957293219
1,2,4,6,11,12,11.3428961528236,33.6262815013936
1,2,4,6,11,13,17.2215720746928,34.9004788297137
1,2,4,6,12,13,25.1243874256278,33.294744056527
1,2,4,7,8,9,20.3295432256494,34.8848976189007
1,2,4,7,8,10,29.0494043070737,30.2423342830632
1,2,4,7,8,11,13.5634737651312,45.0462972331024
1,2,4,7,8,12,5.40136191953049,47.2407284836744
1,2,4,7,8,13,20.3533770890675,33.4504918840568
1,2,4,7,9,10,30.7076240524514,27.2327143971729
1,2,4,7,9,11,6.42671302148513,38.1426988911473
1,2,4,7,9,12,30.5896341947145,29.8011988185108
1,2,4,7,9,13,26.07987735009,30.5172299455223
1,2,4,7,10,11,6.51097574680736,40.2446845564125
1,2,4,7,10,12,26.8683731356129,28.481168106921
1,2,4,7,10,13,17.5255677324536,30.3043347424475
1,2,4,7,11,12,24.376116868912,30.8261022694522
1,2,4,7,11,13,24.7210416224748,33.1140849058565
1,2,4,7,12,13,26.6384660140659,30.991457229345
1,2,4,8,9,10,2.84020620174853,43.5138967090144
1,2,4,8,9,11,22.2945957929291,35.0195657690983
1,2,4,8,9,12,31.6862776817983,32.1806322180423
1,2,4,8,9,13,23.5034163362589,34.3315136369145
1,2,4,8,10,11,26.2762743687112,33.7233858993268
1,2,4,8,10,12,28.5833684752532,30.8957910364448
1,2,4,8,10,13,0.475598957174606,43.9282926625129
1,2,4,8,11,12,28.2663134273714,33.860502174884
1,2,4,8,11,13,27.6440485089723,36.5485640231691
1,2,4,8,12,13,31.3359025729818,33.6048593892057
1,2,4,9,10,11,18.9120684650491,29.6010232119809
1,2,4,9,10,12,3.35189726360511,42.5635556829492
1,2,4,9,10,13,7.46715724709317,27.1309148630067
1,2,4,9,11,12,2.65107718074654,46.4803797879655
1,2,4,9,11,13,17.9669226971316,34.3474095452589
1,2,4,9,12,13,25.5647695831149,32.3408700681675
1,2,4,10,11,12,0.669833431347753,47.1201068742156
1,2,4,10,11,13,17.3887390626715,33.6675565085313
1,2,4,10,12,13,24.859297374909,30.8656526701878
1,2,4,11,12,13,25.4141693019804,33.7524224256034
1,2,5,6,7,8,11.6546155309405,45.2293493529017
1,2,5,6,7,9,27.1116094305446,36.9995888114111
1,2,5,6,7,10,2.10206715463462,42.8120171809365
1,2,5,6,7,11,1.3968045092078,58.0874523630005
1,2,5,6,7,12,27.2417000817938,35.2402508646677
1,2,5,6,7,13,0.690812527750335,48.7893116202652
1,2,5,6,8,9,21.0348749388806,39.9672398536789
1,2,5,6,8,10,2.16097756176781,47.5246020227475
1,2,5,6,8,11,13.6920944158438,44.2350344917767
1,2,5,6,8,12,27.4852704797287,39.1897991986912
1,2,5,6,8,13,4.86635363746067,43.5454077837865
1,2,5,6,9,10,10.0988132535057,36.6407369400125
1,2,5,6,9,11,15.7642431038445,41.7128254260483
1,2,5,6,9,12,23.9585190461026,37.6146920174832
1,2,5,6,9,13,10.0289779644194,40.9523104720302
1,2,5,6,10,11,2.79950037190566,45.7385415919614
1,2,5,6,10,12,15.7146564462622,38.5720986905007
1,2,5,6,10,13,10.9915485463918,40.0018856108335
1,2,5,6,11,12,24.2528666388927,39.5037885097518
1,2,5,6,11,13,0.527739211254226,57.3627681084772
1,2,5,6,12,13,22.4418775756564,37.6742679630863
1,2,5,7,8,9,17.792784194653,40.0057512559919
1,2,5,7,8,10,5.22760128056131,47.2246415787607
