V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,bestlam,rmse
3,5,6,7,9,12,16,18,19,21,69.4468882545309,117.001963323218
5,6,8,10,11,14,15,16,19,20,5.36209999897813,89.6714139841136
1,3,4,5,7,10,13,16,18,19,39.8569716671418,143.315121646096
3,4,5,9,11,15,16,17,18,20,54.7980382258717,123.089763310497
2,3,6,9,12,15,18,19,20,21,37.8160825482349,156.978543963907
1,4,5,7,10,11,12,13,15,20,79.1098623054882,118.77372265791
1,2,3,4,6,9,10,15,16,19,50.1323008889814,107.177683387836
1,6,8,10,14,15,17,18,19,20,2.35076408279329,160.524677588757
1,5,6,7,8,9,10,13,15,18,59.4460199648251,113.60594235747
2,3,4,6,8,9,11,18,19,21,57.3410194829387,62.3310780117578
1,2,4,5,6,7,10,14,15,17,38.5200288695826,100.403337228898
3,4,8,10,11,12,13,18,20,21,42.3803260220164,117.856474456979
3,4,5,6,7,11,12,13,15,17,60.064997588531,68.7267605743761
2,5,9,10,12,13,14,15,17,19,22.3851561227089,210.63048474292
2,5,8,9,11,14,15,16,17,21,50.5296862483432,125.84435580915
2,6,7,8,10,11,14,15,16,18,15.8229713817658,66.8378778426135
1,2,3,6,9,10,12,14,17,21,45.6874993938963,120.739460450985
5,6,8,10,12,14,15,16,18,19,68.3579070209464,124.89448647244
2,10,11,12,14,15,18,19,20,21,34.2514182909488,Inf
1,3,4,7,10,11,12,14,19,21,48.7923166921764,115.551962582514
1,3,4,5,11,12,14,15,16,17,72.3230731567727,117.82796601389
1,2,3,4,9,12,14,15,16,20,11.2456532987229,NA
2,5,7,8,13,16,17,19,20,21,5.38262647329545,Inf
3,4,5,7,8,11,14,16,17,20,56.4173241448056,115.594862942116
1,2,3,7,9,14,15,16,17,21,11.9641146320171,538.928591606824
3,4,7,9,12,13,15,16,18,20,14.1178566655298,133.719276621588
1,2,3,5,8,10,14,15,17,20,0.322404597662162,NA
1,11,12,13,14,15,16,19,20,21,83.211555586927,122.380166704724
1,3,4,5,8,9,10,12,13,21,29.6775453787208,142.237397682707
1,2,3,7,10,11,12,16,19,20,85.4466710987038,118.819260238815
1,4,5,6,8,11,12,14,18,21,1.20773215375904,80.9599678297507
3,5,7,12,15,16,17,18,20,21,19.2938844646789,168.845806576462
1,3,5,7,10,13,17,18,19,20,25.7755879567937,141.963666525162
2,3,5,7,11,16,17,18,20,21,7.21306600392663,Inf
2,4,7,8,9,10,13,16,18,19,1.16384483012067,211.164316606951
3,5,6,7,8,9,12,14,16,20,0.697365583827876,158.908057252048
1,5,7,8,11,13,15,16,18,19,70.9947369892942,122.301185699946
1,2,3,4,8,9,12,14,15,19,23.2361308681759,153.382730505687
3,4,6,7,10,14,15,16,20,21,70.4190035942935,109.638835789434
2,3,5,6,8,10,11,12,14,15,83.6569421652239,72.7949643580611
2,3,5,7,8,9,11,18,20,21,62.2285934610094,124.387688871757
2,4,6,8,12,16,18,19,20,21,61.5704135072765,119.660552741708
1,3,4,6,8,9,10,15,16,19,51.8038395963282,108.634932614742
4,5,7,8,9,13,14,15,17,20,19.8348711288795,123.464696057052
1,3,5,6,10,11,14,16,17,21,65.9130870555162,51.3125490488036
2,3,7,8,9,13,15,16,18,21,18.8581853802648,Inf
1,2,3,7,8,13,15,16,19,20,2.81400422815071,273.392528878656
1,2,5,7,9,10,11,14,16,17,63.4662715782623,120.247511091299
1,4,6,9,10,12,16,17,18,19,43.8171951150072,109.426785378332
4,5,6,10,11,12,14,17,18,20,90.5361679645656,59.7267370023481
1,2,6,11,13,14,15,17,18,19,8.87888334674536,NA
1,3,4,6,7,10,11,12,13,17,75.3024921191988,55.8582046609247
3,4,5,7,9,10,11,16,17,21,28.7394397957701,132.282909660548
1,4,8,11,14,15,18,19,20,21,79.8692253305491,124.611958671704
2,3,5,8,9,11,12,13,16,20,66.0411603716173,125.460229747627
1,4,6,8,12,13,15,16,18,19,70.1452857910163,119.861861827925
4,6,7,9,10,11,13,14,18,19,78.2191545361174,59.6597062264702
1,2,3,4,9,10,11,12,17,19,49.4061682854601,121.839880561514
1,3,4,7,13,15,18,19,20,21,6.99119654655742,218.136220772504
1,5,6,8,9,10,12,14,16,18,70.068244563867,120.292199593425
3,8,9,11,12,14,15,16,17,20,54.2581136888189,125.426417889552
2,3,7,8,12,13,14,15,16,20,8.95813905898919,189.21440846403
1,7,8,10,11,12,15,18,19,21,63.6963544201476,120.173397940681
4,6,10,11,12,13,14,18,19,21,73.4407807065651,48.2985693215081
1,2,3,4,7,10,13,14,15,20,0.919496462926643,Inf
2,3,5,7,8,9,11,13,14,20,76.6731332009741,125.800682415409
2,4,6,8,9,12,13,15,16,21,49.2322072692004,Inf
3,5,8,11,12,17,18,19,20,21,20.7753487173977,130.055142862019
2,3,6,7,9,10,11,15,16,20,12.9245211851887,Inf
4,6,8,9,10,14,15,18,19,20,55.7600628934142,119.964799611385
2,4,7,9,10,11,16,18,20,21,35.8605487660293,115.857310414635
1,2,3,9,11,12,13,16,18,21,57.1824569059267,120.829330639779
4,5,6,7,8,11,12,15,17,19,65.1903219655468,75.0143942109978
1,4,10,11,14,16,17,19,20,21,50.4317502510951,116.229798234526
3,6,7,8,9,10,12,13,19,20,44.4533400897679,120.517783689355
1,4,7,9,11,12,14,18,20,21,44.4905860902806,120.869925480537
1,4,5,7,9,13,17,18,20,21,0.652212197404869,173.580269457166
4,5,6,7,12,15,16,19,20,21,63.2751707522986,116.133662404814
1,3,4,6,7,8,9,13,14,21,51.8775332393526,110.15662288902
1,2,3,4,5,8,11,14,18,21,89.385604447944,124.08264844141
3,4,10,11,12,13,17,19,20,21,57.5146340584357,116.949891690715
3,6,9,10,11,14,17,18,19,20,1.06973236896943,78.3510187445941
1,4,5,8,10,11,12,13,20,21,37.8349408107359,121.457542811213
1,3,4,6,9,10,12,18,19,21,53.279322018492,116.818815937039
1,2,3,4,7,8,9,15,16,20,12.5688743886124,Inf
2,7,8,9,11,14,15,17,19,20,63.6829778199266,128.708452579645
1,3,4,7,9,13,16,17,18,19,13.3957212718674,120.956389941741
2,3,6,7,8,11,15,17,19,21,59.6662105726404,66.8035728058767
3,4,5,9,12,14,15,16,17,21,0.566943396700037,701.53072789164
1,2,4,8,9,10,11,15,17,19,64.6299682753809,125.281400751517
