V1,V2,V3,V4,V5,bestlam,rmse
2,8,15,16,21,0.652309126590457,100.858663248833
6,7,9,12,21,0.570469936220823,292.02267998921
3,4,17,18,19,13.5173817267721,113.179035971985
5,11,13,16,21,46.586318352721,148.426237748
1,8,9,11,19,50.5342586064459,154.976735140114
3,4,13,15,17,13.9439329301178,35.0433562176356
7,14,15,16,18,61.963348524622,53.5790948927267
9,13,18,19,21,9.30115215785593,80.1551819654425
2,5,15,18,20,2.63496412555047,45.8749239240609
3,6,9,10,20,61.2447742896609,284.752204881315
7,9,11,15,16,43.5712645419997,230.433048533451
3,4,5,7,20,71.8470701366992,61.161189218872
4,12,13,17,21,13.252343789051,98.0173374647549
2,11,15,16,19,47.1097508377644,179.061120077302
2,5,7,10,12,64.9935382189233,68.531508359989
5,8,13,15,17,9.32452462648622,33.6674054067374
3,5,9,14,15,67.8823364993213,37.3681259644532
1,2,12,14,15,73.8907881627166,23.5897879438984
4,15,16,17,19,24.3198519351573,38.6381892888432
2,5,11,15,18,46.2512437713754,159.497071311061
3,4,10,11,12,52.6768228758243,277.087355098755
3,10,12,20,21,56.2573353026785,91.2631702119164
6,9,11,13,18,18.1826795167362,382.561800362723
1,2,9,15,20,54.5777160990448,51.0511646245589
4,9,13,17,19,13.1162757943537,77.2406229382926
5,8,9,10,16,55.4098648454889,75.8552666470123
2,4,13,16,19,0.677083856058737,57.6417316714977
2,3,4,9,13,73.4770000546209,47.9217666023042
2,3,5,11,16,49.4867954080527,154.651650453271
1,4,11,15,21,48.9935209260531,187.819782638361
3,4,14,17,20,63.0899702144138,56.184780179418
2,5,6,15,19,4.29262955207851,748.17320237376
1,8,11,15,18,50.8349240850687,187.350590531882
1,3,13,14,19,5.69777519517535,39.9279618947514
1,2,6,16,18,58.2775532577549,221.173043115439
4,5,8,9,12,5.62070358026073,85.9472883063125
2,5,9,14,16,72.2015328048471,42.7341139517142
5,11,12,13,17,49.0438262773639,165.235395107502
6,10,12,16,19,63.4000025045898,186.618298203816
5,8,9,15,19,10.3613261229658,59.5319810028264
3,11,12,17,18,50.4476629971655,188.36895078299
6,7,10,16,19,0.631569792061306,257.864888566085
2,5,15,20,21,0.856629139539513,88.6441127749139
2,7,10,12,16,56.3556995109296,75.5086820079029
1,7,12,16,18,9.65903776843902,68.6672581409942
1,2,3,5,17,11.7672236519702,29.771815880796
4,5,6,13,17,9.22681309957302,420.775859815446
1,4,6,9,19,50.2808794369706,333.202630592204
2,3,4,11,19,54.9495846425182,183.492370148651
7,12,16,17,20,19.2934524513495,67.1183290510424
4,11,16,19,21,43.0653858660961,185.151769187736
8,10,13,16,20,4.73923618791755,120.034775309065
8,9,10,11,14,23.1139192905547,194.608470934671
1,9,10,18,21,8.5679705676973,130.929536087389
5,7,8,13,18,4.98947427762247,66.1755679517182
2,12,14,16,18,65.6253414060085,43.8960243345676
3,5,6,11,18,5.89836457141588,396.21361780677
5,12,14,15,16,10.0112449570324,45.0885711782449
2,6,7,8,9,1.28170652549203,242.578925060432
9,11,12,16,18,50.8923286511279,176.250164140907
4,6,9,12,16,0.63131005022856,365.755084340834
1,2,4,9,17,11.5938746504553,59.7517113419654
4,6,7,13,16,0.614054390039407,244.917664775485
6,10,12,15,20,52.9045354912859,3570.72470649248
5,7,9,11,19,50.5865596431744,199.262896517383
1,6,8,9,16,55.4592453915508,157.584636676238
4,11,13,15,18,25.1765620921702,184.027851333758
2,5,8,18,20,7.99240932221151,48.8427073423443
8,9,17,19,21,12.3065673134144,101.222422639834
2,4,7,12,16,63.6454052078105,32.9607816019208
2,6,11,18,21,14.920215585973,201.297986184988
8,9,15,16,21,9.23720185964082,145.324472189044
7,8,12,15,20,10.2273221925137,61.9334091148841
5,6,8,20,21,58.0058038849373,200.622429432538
1,3,4,18,20,65.050172792673,65.2912043462041
7,8,17,19,20,14.9983584491735,70.8169388715525
4,5,6,16,19,65.6733802939188,171.412519053541
1,3,5,17,20,8.92158655220132,77.321108105601
1,8,16,18,19,7.62147112355394,90.3569915711771
2,11,14,16,20,40.708953342374,166.417344832787
6,9,14,16,17,17.3093255695209,260.317895753116
5,6,8,11,19,13.3158402723539,211.163014413813
2,5,8,11,14,45.8279333981873,177.813262092789
6,13,15,18,19,1.27815437038079,345.993248147983
