V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,bestlam,rmse,bestlam_numpred
1,3,4,5,8,9,10,12,13,21,9.08117941984496,128.864162194219,6
1,2,3,7,10,11,12,16,19,20,23.0925487595065,108.706558099417,5
1,4,5,6,8,11,12,14,18,21,41.2330272796397,168.602164983572,1
3,5,7,12,15,16,17,18,20,21,20.0656479965722,152.234224591671,4
1,3,5,7,10,13,17,18,19,20,85.4500206742646,93.760081482375,0
2,3,5,7,11,16,17,18,20,21,5.55307389144687,179.56449000101,5
2,4,7,8,9,10,13,16,18,19,53.0032657885311,89.6001978929724,3
3,5,6,7,8,9,12,14,16,20,9.90500045489623,116.633812180889,9
1,5,7,8,11,13,15,16,18,19,40.2181609276777,107.531184297541,2
1,2,3,4,8,9,12,14,15,19,14.6110088380551,150.772544961261,6
3,4,6,7,10,14,15,16,20,21,75.5768476758737,134.23558375623,0
2,3,5,6,8,10,11,12,14,15,5.11746087115922,139.333433774092,6
2,3,5,7,8,9,11,18,20,21,0.624141579497586,221.909658812257,9
2,4,6,8,12,16,18,19,20,21,20.6341821859713,106.403395300939,5
1,3,4,6,8,9,10,15,16,19,3.81051770163635,142.090554482496,8
4,5,7,8,9,13,14,15,17,20,55.3201123499409,101.909783507802,2
1,3,5,6,10,11,14,16,17,21,1.88826132151149,170.496920942168,8
2,3,7,8,9,13,15,16,18,21,1.76114369084752,180.824772447915,9
1,2,3,7,8,13,15,16,19,20,7.51249763101856,146.772857059524,5
1,2,5,7,9,10,11,14,16,17,58.7793675756516,120.385076003615,0
1,4,6,9,10,12,16,17,18,19,67.7919119635854,124.583341220977,0
4,5,6,10,11,12,14,17,18,20,9.62593477259405,178.476909517816,5
1,2,6,11,13,14,15,17,18,19,11.9207642819129,188.659023674738,4
1,3,4,6,7,10,11,12,13,17,36.3977672768327,163.650113229388,1
3,4,5,7,9,10,11,16,17,21,0.968094078768902,224.081957055657,10
1,4,8,11,14,15,18,19,20,21,66.062458893047,121.035414891857,0
2,3,5,8,9,11,12,13,16,20,26.3988194304289,111.028432094869,3
1,4,6,8,12,13,15,16,18,19,62.5679654697907,120.163324186393,1
4,6,7,9,10,11,13,14,18,19,40.3516088819924,168.015217498194,1
1,2,3,4,9,10,11,12,17,19,57.9030023706228,118.271796682158,0
1,3,4,7,13,15,18,19,20,21,83.7214517931253,96.3912830966872,0
1,5,6,8,9,10,12,14,16,18,40.6180774478058,106.425218932392,2
3,8,9,11,12,14,15,16,17,20,3.09193742701032,206.596528197861,7
2,3,7,8,12,13,14,15,16,20,9.53900662912198,138.47622844627,5
1,7,8,10,11,12,15,18,19,21,40.9487518355745,125.855266887247,1
4,6,10,11,12,13,14,18,19,21,19.9527147204004,179.206712493678,2
1,2,3,4,7,10,13,14,15,20,1.11560875356057,177.154926975333,8
2,3,5,7,8,9,11,13,14,20,39.8497901850103,100.353285200365,2
2,4,6,8,9,12,13,15,16,21,19.3710654685311,113.687687767579,4
3,5,8,11,12,17,18,19,20,21,5.2653029497082,132.801079601481,7
2,3,6,7,9,10,11,15,16,20,35.3972744215894,165.725678931945,1
4,6,8,9,10,14,15,18,19,20,33.4823022669545,126.956450737744,2
2,4,7,9,10,11,16,18,20,21,51.7672203864977,133.560030071521,0
