V1,V2,V3,V4,V5,V6,V7,bestlam,rmse,bestlam_numpred
1,2,3,4,7,14,15,1732.81498978136,46774.2226383167,2
1,2,3,4,8,9,10,9520.86598448116,38583.315852464,0
1,2,3,4,8,9,11,11830.5953434255,38670.0175823828,0
1,2,3,4,8,9,12,8773.78286656486,44539.2280016176,2
1,2,3,4,8,9,13,9615.77075426315,38983.1975350989,0
1,2,3,4,8,9,14,9651.30828931083,38922.1967424161,0
1,2,3,4,8,9,15,9473.62619230033,38825.0834602085,1
1,2,3,4,8,10,11,12465.9133023335,38776.0971161705,0
1,2,3,4,8,10,12,9254.26246602667,44103.9551412143,2
1,2,3,4,8,10,13,9766.28174435658,39027.2386437603,0
1,2,3,4,8,10,14,9807.20936052872,38930.8786663635,0
1,2,3,4,8,10,15,11362.3850358663,38824.944183017,0
1,2,3,4,8,11,12,10017.5211002129,43026.7323028734,2
1,2,3,4,8,11,13,12339.5827027189,38969.0660039605,0
1,2,3,4,8,11,14,13055.7586247362,39015.2444505488,0
1,2,3,4,8,11,15,11239.0783625588,38798.255460296,0
1,2,3,4,8,12,13,9741.59871266756,43883.0247586127,2
1,2,3,4,8,12,14,10310.9964909944,43812.873680484,2
1,2,3,4,8,12,15,312.989561119508,57793.9112476495,6
1,2,3,4,8,13,14,10163.4810864777,39285.7290621892,1
1,2,3,4,8,13,15,12713.48816829,39076.396341797,0
1,2,3,4,8,14,15,10169.2080068115,38846.7114669006,0
1,2,3,4,9,10,11,12526.8496896245,38786.9383795442,1
1,2,3,4,9,10,12,11545.6504696667,41793.4547369448,1
1,2,3,4,9,10,13,9666.80512897401,38874.9304653559,0
1,2,3,4,9,10,14,9745.14304383465,38823.0158443755,0
1,2,3,4,9,10,15,9174.23565306413,38646.0954900331,1
1,2,3,4,9,11,12,8982.17620138425,43881.049188052,2
1,2,3,4,9,11,13,12214.050098715,38878.39258319,0
1,2,3,4,9,11,14,160.293171107564,57127.2484723466,6
1,2,3,4,9,11,15,10819.9286360853,38780.3314654012,1
1,2,3,4,9,12,13,8788.77942941488,44893.4090092437,2
1,2,3,4,9,12,14,11222.8541829465,42497.5229236982,1
1,2,3,4,9,12,15,853.492593521982,55427.3920721977,5
1,2,3,4,9,13,14,10005.7827774214,39212.8936037684,0
1,2,3,4,9,13,15,9569.07579212582,38886.4556138003,0
1,2,3,4,9,14,15,9587.66122755288,38839.4724528429,0
1,2,3,4,10,11,12,251.889869184418,53010.1286735103,7
