V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,bestlam,rmse,bestlam_numpred
1,3,5,8,14,15,16,18,19,20,0.00408639550187608,0.368736682096958,8
2,5,6,7,8,9,10,11,12,15,0.0524002014201622,0.544346102870297,6
3,5,7,8,9,13,15,19,20,21,0.0143691607842662,0.325699894074209,6
1,2,5,7,8,9,13,14,17,19,0.0601968137217597,0.289549043759837,6
1,3,5,7,9,13,16,18,19,21,0.0278221994060275,0.325933773850354,6
1,6,8,9,12,14,17,18,20,21,0.0868242615710939,0.312194919970091,5
3,4,6,7,10,11,14,15,16,17,0.0435256635412391,0.436727475019824,3
4,9,10,11,12,13,16,17,20,21,0.169031381480782,0.394079033061137,1
2,3,9,10,11,12,16,17,20,21,0.10583211121331,0.394008759136145,2
1,2,5,7,10,12,15,16,17,21,0.219012059386389,0.413697008075864,0
4,5,6,8,11,12,13,17,18,19,0.0545883837398763,0.46045187383244,5
1,2,3,7,9,11,12,16,18,19,0.00356306075047928,0.376438195312498,9
6,11,12,13,14,15,16,18,20,21,0.105220274807493,0.39712761461746,2
2,3,4,9,11,12,13,14,16,19,0.0780328844514219,0.488961615237639,4
2,4,5,9,12,14,17,18,19,20,0.0387416490672286,0.675632025357452,6
1,2,5,7,10,12,16,18,19,20,0.15855020821893,0.316927883770444,2
1,3,7,8,10,14,15,16,17,18,0.0566373998238949,0.462274780891918,5
1,3,4,5,6,10,14,16,17,20,0.00292137405627432,0.436458958323353,10
2,5,7,8,12,15,18,19,20,21,0.298985743243245,0.310931501670149,0
3,5,6,7,14,15,16,18,20,21,0.0574503514551015,0.347830228859109,4
2,3,5,6,10,13,14,16,17,21,0.0154467093766843,0.372167554668911,7
1,3,5,8,10,14,15,16,17,21,0.0621004889068281,0.422971279950944,5
1,2,5,6,9,11,15,18,19,21,0.224408102939176,0.525582025257551,1
2,3,9,11,12,13,15,16,20,21,0.0144774146191097,0.482727454061474,6
3,4,7,8,12,13,15,17,20,21,0.232357652744214,0.475903714560989,1
1,3,5,6,10,14,15,16,18,19,0.023643074266363,0.654769825940377,5
1,4,7,9,11,13,14,16,17,20,0.131276644965784,0.512852233350743,1
1,3,6,11,12,13,14,15,18,21,0.107227540446049,0.38286886911827,4
2,3,5,7,8,10,14,17,19,21,0.0311818915541552,0.289080139738855,8
1,5,7,8,10,13,16,18,20,21,0.105696757722994,0.331450383668009,2
2,3,5,7,8,12,15,17,18,21,0.0870291712500264,0.253372470879144,4
1,3,4,5,6,7,12,13,14,21,0.0190370804324372,0.475201410098427,5
1,3,5,6,9,12,15,18,19,21,0.00791667383476305,0.472254582794775,7
1,3,5,6,9,13,15,16,17,20,0.0721001880132418,0.419885499883855,4
2,3,6,7,8,10,15,17,19,21,0.0285156244481744,0.346263560812586,9
1,2,5,6,11,13,14,17,18,20,0.0394739325890232,0.546676307325906,5
3,4,5,9,11,15,16,17,19,20,0.0217106097885552,0.51289735482594,7
3,8,9,10,13,14,15,16,18,20,0.123382498712442,0.278145428452207,2
2,4,6,8,9,10,11,18,19,20,0.184194936629263,0.528432392811958,0
