V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,bestlam,rmse,bestlam_numpred
1,4,7,10,11,13,15,16,17,18,34.5579582081062,130.810219542161,0
2,3,4,5,7,9,10,13,16,19,81.6860613369525,111.213562320529,1
1,2,4,6,7,12,13,15,16,21,36.1312268241597,135.968004910829,1
8,9,10,12,14,15,16,17,20,21,0.349761776857554,910.405071614754,8
2,4,5,7,8,10,11,15,17,19,41.4980592469359,135.740868252827,1
1,2,7,8,9,12,15,17,18,20,43.2364461625528,205.042087677934,3
1,2,4,6,9,12,16,19,20,21,43.7582409207084,124.020056352958,2
1,2,3,5,10,12,15,17,18,19,17.2059870127741,165.369119078691,4
3,4,6,8,9,12,14,15,16,21,0.0935141437948751,235.337210481454,8
1,3,4,5,7,11,13,17,18,21,38.5224013865248,130.943913701968,0
2,8,9,10,11,12,13,14,17,18,66.0056438557058,114.619319369342,1
4,5,7,9,10,12,14,16,19,21,77.748010216462,93.7887224467519,0
2,3,6,8,10,11,16,17,20,21,16.6223551849919,171.215724343898,1
2,4,9,10,13,14,16,18,20,21,32.9923935724716,190.311842833342,3
2,3,5,6,7,8,11,17,19,21,5.79925720248571,148.563614722282,6
3,6,7,11,12,13,15,19,20,21,14.0293601062939,157.420768219975,2
5,7,8,10,11,12,17,18,20,21,27.8831047667568,128.473447780482,0
3,7,9,11,12,13,14,15,20,21,58.071327401645,122.89482014465,0
3,5,9,10,15,16,17,18,19,21,68.5139008315415,75.9520462903138,0
2,4,6,7,8,11,14,15,17,21,14.6599391392063,150.424043054159,3
3,4,7,9,10,13,14,15,18,21,6.88837101794783,181.507313679675,5
3,5,8,9,12,13,17,18,19,20,72.1566729201274,78.2914032427676,1
2,3,5,6,9,12,14,17,19,20,0.305792800433891,218.620942037891,8
1,4,8,11,12,13,14,17,20,21,40.8355935862937,125.714570150037,0
2,7,8,9,10,12,15,18,19,21,55.5150762368224,137.239717271298,2
1,3,6,8,9,11,12,16,19,21,15.9939486172476,160.214423166854,1
3,4,5,7,9,10,15,19,20,21,69.7544503052609,81.0000585359797,0
1,2,3,9,11,15,16,19,20,21,70.0084344103216,121.39679923473,0
2,3,4,7,9,10,12,13,16,17,75.9033068540432,126.583316554507,0
2,4,6,7,9,11,13,15,16,20,22.5766015825057,150.712019726589,1
1,4,8,9,10,11,12,14,15,18,52.5648328747195,114.7664434903,0
1,2,4,5,11,13,16,18,19,20,48.3436380893582,137.32592120138,2
2,5,7,8,9,11,13,16,18,21,34.6440146619055,114.794360113073,2
1,4,6,8,9,13,14,15,16,21,66.6562583469874,129.574814223032,1
3,6,7,8,9,12,13,14,16,21,7.48989120160566,145.741256426446,6
1,2,3,4,5,9,11,14,18,21,59.1609380998274,120.174150510931,1
1,2,3,5,10,11,12,15,16,17,20.9756258628508,110.076506735722,4
1,4,5,6,7,8,12,17,19,20,71.533060016044,128.261562076362,1
6,7,8,9,12,13,15,16,19,20,67.6480971629977,122.646372041071,0
1,5,10,11,12,13,16,17,18,21,27.7501694555053,119.650351748024,1
1,4,5,6,7,9,11,14,16,19,27.8784959881447,151.025480944611,1
1,2,4,6,10,13,15,16,18,20,13.8901489881358,136.800506150705,3
5,7,10,12,13,14,15,17,19,20,76.0439778031451,89.959608761081,0
1,6,8,9,11,12,13,17,18,19,27.9661505886466,151.83504700059,1
1,4,8,9,12,14,15,17,18,19,82.6839519296694,95.1947469919099,1
3,9,10,14,16,17,18,19,20,21,75.8446315449017,78.5290395892745,0
2,6,7,8,11,14,15,18,19,21,26.0652262801133,163.056620741023,1
1,2,6,7,11,12,13,15,17,20,29.0816721296476,146.848901759946,2
1,2,3,7,11,13,14,16,20,21,38.6215818124178,122.202834743889,2
4,5,6,7,11,12,13,14,18,19,30.2108943095989,150.191923611797,2
1,4,6,7,8,9,11,15,17,19,22.9052171450137,147.724470539635,2
1,3,6,10,11,12,16,17,19,21,8.8858350723431,166.755672750049,3
