V1,V2,V3,V4,V5,V6,bestlam,rmse,bestlam_numpred
1,2,4,7,9,13,21.5533228222909,46.0096713683785,1
1,2,4,7,10,11,18.1823760265089,42.7950391607131,1
1,2,4,7,10,12,21.3422634750166,43.9466141970198,1
1,2,4,7,10,13,18.8679210828241,49.2054650525923,1
1,2,4,7,11,12,21.0384906473185,40.8288782975321,0
1,2,4,7,11,13,23.4100928089351,38.5826612995375,1
1,2,4,7,12,13,16.9870756453679,40.5709379041572,1
1,2,4,8,9,10,17.8121370858828,49.8058493559606,1
1,2,4,8,9,11,23.7473441431008,39.149107614239,1
1,2,4,8,9,12,15.7146436134783,34.1826472194314,1
1,2,4,8,9,13,19.6355405942152,41.0386418303025,2
1,2,4,8,10,11,23.6786540888497,41.1074565796683,1
1,2,4,8,10,12,23.0646615247964,41.3915975681688,1
1,2,4,8,10,13,6.26157007007056,42.3563031874144,4
1,2,4,8,11,12,26.4169629204704,37.8378474481027,1
1,2,4,8,11,13,18.0496636095362,34.134801893586,1
1,2,4,8,12,13,11.2792013706077,36.1260584547988,2
1,2,4,9,10,11,15.2299733172029,51.2907609991459,1
1,2,4,9,10,12,16.7776285835958,49.4392837533742,0
1,2,4,9,10,13,14.7803668018091,60.9282375796086,1
1,2,4,9,11,12,21.7479352712843,40.9965272396868,0
1,2,4,9,11,13,19.2276763499041,43.9224708058354,1
1,2,4,9,12,13,11.0258913239989,53.043489581617,4
1,2,4,10,11,12,21.8158606951476,42.1495934075887,0
1,2,4,10,11,13,0.522629626698947,57.2063859619264,5
1,2,4,10,12,13,19.4017895371374,47.8098561255364,1
1,2,4,11,12,13,23.5004790048832,38.6639499374753,0
1,2,5,6,7,8,16.6034165613058,28.2983216756759,1
1,2,5,6,7,9,22.7247287568909,36.1555595042651,0
1,2,5,6,7,10,20.2607486935893,38.9673975990583,0
1,2,5,6,7,11,7.7937484897467,30.949960427619,3
1,2,5,6,7,12,23.4338881465899,37.7419588921621,1
1,2,5,6,7,13,2.41830354390168,42.3059415171894,4
1,2,5,6,8,9,16.4992720293431,28.2518899783843,1
1,2,5,6,8,10,28.4972071050561,37.6234936509747,1
1,2,5,6,8,11,0.426605370101674,65.6685317123807,6
1,2,5,6,8,12,17.6445163925525,32.7737973214794,1
1,2,5,6,8,13,16.4774935050421,31.3774825280685,2
1,2,5,6,9,10,20.5859603616262,47.8409559840367,0
1,2,5,6,9,11,27.2521916375452,35.6658818895652,1
1,2,5,6,9,12,24.4487723781622,36.4752363906537,1
1,2,5,6,9,13,29.0079450805648,44.3786406820497,1
1,2,5,6,10,11,27.4433525313785,38.5817881180022,1
1,2,5,6,10,12,22.0344083438257,38.0319047877427,1
1,2,5,6,10,13,29.9578582996778,47.1181214845523,0
1,2,5,6,11,12,27.8354098202784,32.3778277625589,1
1,2,5,6,11,13,20.4232343741799,29.6691335837237,2
1,2,5,6,12,13,27.8623337227265,34.8267281985309,1
1,2,5,7,8,9,12.691197741522,28.6112386396295,2
1,2,5,7,8,10,18.5379756026575,38.8638578728478,2
1,2,5,7,8,11,24.8483421339642,36.9078906616975,1
1,2,5,7,8,12,23.0049344840803,42.4298148113221,0
1,2,5,7,8,13,5.36834978228526,38.1165611195391,3
1,2,5,7,9,10,20.0676512354116,39.1623173550216,0
1,2,5,7,9,11,24.1609483958648,33.112922094174,0
1,2,5,7,9,12,24.0063106450135,38.0096666434557,1
1,2,5,7,9,13,28.7610341083471,36.6656699999562,1
1,2,5,7,10,11,20.473640651077,34.2940388133785,1
1,2,5,7,10,12,21.8357563487407,38.8420365409286,1
1,2,5,7,10,13,24.8449977630845,38.5030096388469,1
1,2,5,7,11,12,7.72063403915445,57.1491076260581,3
1,2,5,7,11,13,29.1575684411592,32.7309720869746,1
1,2,5,7,12,13,24.9681574169071,38.2131366441405,1
1,2,5,8,9,10,14.0390600488231,30.3481495775618,2
1,2,5,8,9,11,16.4988495617648,26.6919810686358,1
1,2,5,8,9,12,13.3813084374199,33.6563640351648,1
1,2,5,8,9,13,17.4239858923092,29.5497812971294,2
1,2,5,8,10,11,29.538817924757,32.7655329343181,0
1,2,5,8,10,12,27.0097885658216,35.1982609322807,1
