V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,bestlam,rmse
2,5,7,8,13,16,17,19,20,21,18.0404251569106,187.357314570302
3,4,5,7,8,11,14,16,17,20,59.1036775043391,116.31011742741
1,2,3,7,9,14,15,16,17,21,17.3578818173548,124.167057047375
3,4,7,9,12,13,15,16,18,20,20.4825927410314,182.400369111117
1,2,3,5,8,10,14,15,17,20,40.5225765088068,Inf
1,11,12,13,14,15,16,19,20,21,83.211555586927,122.380166704724
1,3,4,5,8,9,10,12,13,21,26.9156409653151,Inf
1,2,3,7,10,11,12,16,19,20,85.4466710987038,118.819260238815
1,4,5,6,8,11,12,14,18,21,8.52031158906843,Inf
3,5,7,12,15,16,17,18,20,21,25.5053797876084,179.355594212956
1,3,5,7,10,13,17,18,19,20,40.6033704517139,145.744407090907
2,3,5,7,11,16,17,18,20,21,88.9260490432135,120.023200236626
2,4,7,8,9,10,13,16,18,19,45.9044383120714,165.873595044161
3,5,6,7,8,9,12,14,16,20,69.7365583827871,118.544317086241
1,5,7,8,11,13,15,16,18,19,1.56969789924923,Inf
1,2,3,4,8,9,12,14,15,19,23.2361308681759,Inf
3,4,6,7,10,14,15,16,20,21,80.2195616840562,109.638835789434
2,3,5,6,8,10,11,12,14,15,107.775501890797,72.7949643580611
2,3,5,7,8,9,11,18,20,21,54.1232570970205,144.622211360416
2,4,6,8,12,16,18,19,20,21,69.5645055344683,117.823402762307
1,3,4,6,8,9,10,15,16,19,63.8594430548245,112.551884107748
4,5,7,8,9,13,14,15,17,20,20.8151328682217,142.278632323902
1,3,5,6,10,11,14,16,17,21,51.1353900037307,51.3125490488036
2,3,7,8,9,13,15,16,18,21,27.3599980598996,183.052234353507
1,2,3,7,8,13,15,16,19,20,3.71994798114981,Inf
1,2,5,7,9,10,11,14,16,17,83.898675939025,120.247511091299
1,4,6,9,10,12,16,17,18,19,39.980412681478,88.4737360094856
4,5,6,10,11,12,14,17,18,20,90.5361679645656,59.7267370023481
1,2,6,11,13,14,15,17,18,19,103.248561878297,78.4536298873605
1,3,4,6,7,10,11,12,13,17,69.0230999754753,55.8582046609247
3,4,5,7,9,10,11,16,17,21,100.909683456881,112.978004549572
1,4,8,11,14,15,18,19,20,21,79.8692253305491,124.611958671704
2,3,5,8,9,11,12,13,16,20,79.5468114704109,129.401179284307
1,4,6,8,12,13,15,16,18,19,72.2461870119253,119.329043192682
4,6,7,9,10,11,13,14,18,19,29.6314321222216,60.8578187377829
1,2,3,4,9,10,11,12,17,19,4.88907813820309,Inf
1,3,4,7,13,15,18,19,20,21,34.0513746892632,172.471322913729
1,5,6,8,9,10,12,14,16,18,73.2322610351604,120.222807934374
3,8,9,11,12,14,15,16,17,20,71.7260331233975,125.426417889552
2,3,7,8,12,13,14,15,16,20,16.4000080955006,225.123365012866
1,7,8,10,11,12,15,18,19,21,84.3571305163011,120.173397940681
4,6,10,11,12,13,14,18,19,21,11.3003548325996,63.268410698613
1,2,3,4,7,10,13,14,15,20,43.3457787700786,144.277834796265
2,3,5,7,8,9,11,13,14,20,88.3788368153047,125.800682415409
2,4,6,8,9,12,13,15,16,21,64.1135245786275,Inf
3,5,8,11,12,17,18,19,20,21,71.5714655531129,124.386650866616
2,3,6,7,9,10,11,15,16,20,101.378436385239,55.4635439083447
4,6,8,9,10,14,15,18,19,20,60.8240551430525,119.570860583335
2,4,7,9,10,11,16,18,20,21,39.3569080006207,137.762561726904
1,2,3,9,11,12,13,16,18,21,86.9122500017965,120.829330639779
4,5,6,7,8,11,12,15,17,19,39.1149617200655,71.8817468758328
1,4,10,11,14,16,17,19,20,21,66.6678058460845,118.021076078018
3,6,7,8,9,10,12,13,19,20,64.1554276330321,117.216207363582
1,4,7,9,11,12,14,18,20,21,3.60876860577295,191.245010568994
1,4,5,7,9,13,17,18,20,21,31.3683757513834,152.407635833275
4,5,6,7,12,15,16,19,20,21,74.4659288849698,115.480868509617
1,3,4,6,7,8,9,13,14,21,70.0243676846108,111.415813326781
1,2,3,4,5,8,11,14,18,21,89.385604447944,124.08264844141
3,4,10,11,12,13,17,19,20,21,87.4171297373987,116.949891690715
3,6,9,10,11,14,17,18,19,20,95.5560086489578,54.8333686687151
1,4,5,8,10,11,12,13,20,21,83.4309910241658,118.372357622856
