V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,bestlam,rmse
5,6,7,8,10,12,13,14,15,17,18,1615.57371729563,2691.17765301936
1,2,3,4,5,9,10,13,15,16,20,1555.11187861064,2456.24037440547
1,3,4,6,7,9,11,12,13,15,16,1721.0013880134,3439.98162513103
2,3,8,9,10,12,13,16,17,18,20,813.243251998518,3590.88441914441
2,3,5,8,10,12,13,17,18,19,20,407.719695150181,4826.60102729922
2,3,4,6,8,11,14,17,18,21,22,1183.03599317355,3677.5990654043
1,3,5,7,9,13,17,19,20,21,22,1697.97172762129,3718.89604866846
1,2,4,5,7,9,10,11,16,17,20,1363.94244898548,2599.46056705414
3,7,8,9,16,17,18,19,20,21,22,1405.13195198515,3152.85158347773
1,2,3,4,8,9,14,16,17,20,21,1162.89129632356,2937.45367709683
2,4,5,6,9,11,15,18,20,21,22,245.761855725344,Inf
1,2,3,6,8,10,11,12,15,17,18,651.394653074163,4145.38723480918
4,6,7,11,12,13,14,15,16,18,22,1043.53059694563,2704.81347063965
2,3,6,8,9,11,16,18,20,21,22,1433.32686190864,3177.06473503114
1,5,6,7,11,12,13,15,18,19,21,1853.39799647343,3084.63778663019
3,5,6,8,9,10,14,16,18,20,21,1442.9023772728,1721.77912502501
1,2,4,5,7,8,11,12,13,14,18,1483.85168337905,3787.82248662299
2,5,6,7,10,11,13,15,16,20,22,2310.66323171427,2221.20220593926
2,3,4,5,6,7,12,15,16,19,22,1159.65682781904,2215.7525294255
2,6,7,8,10,13,14,18,19,20,22,1228.86424088106,3495.85600997371
4,7,8,9,10,16,17,18,19,20,21,1246.68132257974,3399.88679685147
1,3,4,6,9,10,12,13,14,17,21,910.621089823186,3765.18982714533
1,2,5,7,9,13,14,16,17,19,20,1301.44601077534,1799.23059313495
1,2,3,4,5,10,11,12,13,18,20,1197.10250116549,3642.69530126406
2,5,6,9,10,11,15,16,17,18,20,2340.31322788002,2465.88781054915
3,6,7,10,11,13,14,16,18,20,22,1290.6040863916,2703.5153913145
1,2,6,7,9,10,11,13,15,17,19,931.706787026165,4168.56415617429
2,3,6,7,8,9,12,16,17,19,20,952.412333143313,3421.01434533648
1,4,9,10,12,13,15,16,17,18,21,835.611880612999,3575.02390187315
1,3,4,8,9,13,14,15,16,17,21,1673.06581465052,2916.73671695633
2,4,5,6,10,11,16,17,19,20,22,2336.1358089406,2365.32378927266
1,2,8,9,11,12,13,16,19,20,22,1748.38487344953,3605.0672308
1,5,7,11,12,13,14,15,19,20,22,1552.87409980145,3107.90301336703
2,7,9,10,12,14,15,17,18,19,22,785.105178812193,Inf
1,3,4,6,8,9,10,12,14,15,21,874.924552499994,3984.46316049882
1,3,4,7,8,10,11,12,16,17,21,1261.4369097156,3463.52045297565
2,3,7,8,11,14,15,16,19,20,21,989.363232672867,3078.27506494786
1,5,7,9,10,11,15,16,19,20,21,37.4668368891438,3494.44467855566
2,4,5,6,7,10,12,16,17,19,20,1701.87765531622,2373.01566690401
1,3,5,8,10,11,12,17,19,21,22,1329.61336420968,3621.89737914336
3,4,5,7,11,13,15,17,18,20,21,1887.62737478391,3495.02256488346
1,5,6,7,8,9,12,13,16,18,20,1451.86472643253,2400.00344008018
1,2,5,11,12,15,17,18,20,21,22,1826.64194600839,3345.39121481558
1,4,7,8,9,10,11,13,14,20,21,753.833972283016,4074.48848278156
2,5,6,8,9,10,12,13,18,20,22,68.8707710730063,NA
2,3,7,11,12,13,15,16,18,21,22,1114.94000699311,3192.00471718582
