V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,pred1,pred2,pred3,pred4,pred5
1,2,4,5,6,7,10,14,15,17,log_BY_tot_flow_sepdec,RY_Wet_BFL_Dur,RY_DS_Mag_90,RY_Wet_BFL_Mag_50,RY_DS_Dur_WS
3,4,8,10,11,12,13,18,20,21,RY_DS_Dur_WS,RY_Wet_BFL_Mag_50,RY_SP_Tim,RY_discon_120,BY_min_flow_sepdec
3,4,5,6,7,11,12,13,15,17,log_BY_tot_flow_sepdec,RY_DS_Mag_90,RY_Wet_BFL_Mag_50,RY_DS_Dur_WS,RY_Wet_BFL_Dur
2,5,9,10,12,13,14,15,17,19,BY_recon_120,RY_DS_Mag_90,BY_num_days_gt_90_pctile,RY_Wet_BFL_Mag_50,BY_recon_20
2,5,8,9,11,14,15,16,17,21,RY_Wet_BFL_Mag_50,BY_recon_120,BY_min_flow_sepdec,RY_DS_Mag_90,RY_SP_ROC
2,6,7,8,10,11,14,15,16,18,log_RY_tot_flow,log_BY_tot_flow_sepdec,BY_min_flow_sepdec,RY_Wet_Tim,RY_recon_120
1,2,3,6,9,10,12,14,17,21,log_BY_tot_flow_sepdec,RY_Wet_BFL_Dur,RY_Wet_BFL_Mag_50,RY_DS_Mag_90,RY_recon_120
5,6,8,10,12,14,15,16,18,19,log_BY_tot_flow_sepdec,RY_SP_Tim,RY_Wet_BFL_Dur,BY_min_flow_sepdec,RY_DS_Dur_WS
2,10,11,12,14,15,18,19,20,21,RY_Wet_BFL_Mag_50,RY_SP_ROC,BY_recon_120,RY_Wet_BFL_Dur,RY_DS_Dur_WS
1,3,4,7,10,11,12,14,19,21,RY_Wet_BFL_Dur,RY_SP_Tim,RY_min_flow,BY_min_flow_sepdec,RY_DS_Mag_50
1,3,4,5,11,12,14,15,16,17,BY_min_flow_sepdec,RY_Wet_BFL_Mag_50,RY_Wet_BFL_Dur,RY_discon_120,RY_DS_Mag_90
1,2,3,4,9,12,14,15,16,20,RY_Wet_BFL_Dur,RY_SP_Tim,RY_Wet_BFL_Mag_50,BY_recon_120,BY_min_flow_sepdec
2,5,7,8,13,16,17,19,20,21,RY_DS_Mag_90,RY_Wet_BFL_Mag_50,RY_DS_Dur_WS,RY_SP_ROC,BY_recon_20
3,4,5,7,8,11,14,16,17,20,BY_min_flow_sepdec,RY_DS_Mag_90,RY_Wet_BFL_Mag_50,RY_DS_Dur_WS,BY_recon_20
1,2,3,7,9,14,15,16,17,21,RY_DS_Mag_90,RY_Wet_BFL_Mag_50,BY_min_flow_sepdec,RY_DS_Dur_WS,RY_tot_flow
3,4,7,9,12,13,15,16,18,20,RY_DS_Dur_WS,RY_SP_Tim,BY_min_flow_sepdec,RY_Wet_BFL_Dur,RY_min_flow
