V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,bestlam,rmse
3,4,6,7,9,17,18,19,20,21,22,1972.04885249878,2486.75589939566
1,3,4,7,9,11,12,15,16,19,21,2185.4257106195,3181.94537958289
2,3,4,5,7,8,11,13,16,17,21,2062.91128966546,3204.37870518911
1,2,4,5,9,10,14,15,18,20,21,2315.59366633666,3086.89101639871
1,3,6,8,10,13,14,16,17,18,19,2329.50781789117,3101.3119841636
2,3,4,7,12,14,15,19,20,21,22,2222.74888028135,3167.14676351813
1,2,3,4,8,10,13,14,15,16,19,2623.68179996607,2524.79373694989
1,2,3,4,6,8,9,13,15,17,22,2089.07441330903,2854.47631956831
6,7,11,12,13,14,15,17,18,19,22,2113.8165758099,3216.76878256934
2,3,6,7,10,11,12,15,17,18,21,2497.33055614438,3063.33518941684
1,3,4,6,7,11,16,18,19,20,21,2348.76051022818,3117.23570200909
1,2,4,8,10,11,12,13,16,18,20,2235.5021615327,3198.87829402644
1,5,7,9,10,13,14,16,19,21,22,2592.03922004432,2545.41180808279
1,2,7,8,9,10,12,13,15,18,19,2276.97261678999,2854.67364078403
1,2,3,8,13,15,16,18,19,20,21,2215.23938363578,3125.73331982016
2,3,6,8,9,12,13,14,19,20,22,2217.43880589071,3141.78677590737
2,4,7,8,11,14,17,18,20,21,22,2085.42963292773,3228.18223058218
2,3,5,6,11,12,13,14,16,18,22,2505.53987029765,2538.75483151593
4,6,9,10,13,14,15,19,20,21,22,1994.98067437615,2885.81859043182
6,7,9,10,11,12,13,14,15,16,20,1127.21395245724,3500.88457096891
3,4,6,7,9,11,13,16,19,20,22,2479.92462907298,3095.86715093683
2,3,4,7,10,14,15,16,17,18,20,2879.00101893536,2526.75150141421
1,9,10,11,13,15,16,17,18,21,22,2297.46420295328,2825.22958632277
3,5,6,8,9,13,14,16,17,21,22,2207.63033988787,3190.95012706012
1,2,3,5,7,10,13,17,20,21,22,2604.99199576642,2540.70841103402
1,2,3,4,6,11,13,16,18,19,20,2232.58519953506,2850.67703957946
3,5,7,10,11,15,16,17,18,19,21,2695.66617843789,2487.87059701158
1,3,9,10,11,12,13,14,15,18,19,2153.18784922376,2821.51297177236
1,5,6,8,10,11,13,15,17,20,22,2503.21364366156,2514.96546784333
2,3,4,5,6,7,8,12,13,14,22,1315.82309720137,3562.36793062269
1,3,4,7,9,11,12,17,18,21,22,1591.98694851358,3437.04948878876
1,3,4,6,7,8,9,12,18,20,22,1791.23247842871,3372.75072386587
2,3,4,5,7,8,10,16,17,20,21,1546.18136961695,3469.99686665424
1,3,5,7,8,9,12,15,16,18,22,1192.04781484034,2777.48641493525
1,4,5,8,10,11,14,15,16,19,22,1776.45264924634,2975.49542929257
1,4,6,9,10,13,14,18,19,20,21,1484.08917928951,3459.45925815316
2,4,7,9,11,12,13,14,18,19,20,1609.58164491539,3419.07154608815
1,3,4,6,7,10,13,15,18,20,21,1482.18335708528,3473.62900401201
2,3,6,7,11,12,13,14,17,19,20,1298.91007152088,2722.11693649321
2,3,6,10,11,12,13,15,16,19,20,1477.40366008261,3029.07897007704
2,3,4,5,7,10,11,17,19,20,21,1847.44590744603,3351.57916789055
1,2,5,9,12,13,14,15,18,21,22,1511.43383019043,3526.28086006578
1,3,8,9,10,11,13,16,19,20,22,1830.05184227094,2653.04793987655
4,5,6,7,9,12,13,15,16,17,18,1411.84853997737,3087.22852306708
1,4,5,6,8,10,11,16,20,21,22,1829.42991951614,3390.17011782542
2,3,4,6,7,9,10,12,13,17,22,1705.42708726351,2685.96430224713
3,4,5,7,12,13,15,16,18,19,21,1509.57799431766,3069.20886217494
4,6,10,11,12,13,15,16,18,19,20,1477.29819603786,2609.5753334674
3,4,6,7,8,10,16,17,18,21,22,1548.48342582679,2943.47419739426
1,3,6,8,9,10,12,14,17,19,22,1443.74920321425,2600.92176674999
2,3,4,6,12,15,16,17,18,19,20,1714.53994636582,3402.96586544094
2,5,6,7,8,14,15,16,19,20,22,1962.2963351873,3332.82222213627
4,6,7,9,11,12,15,17,20,21,22,1714.3401252074,3418.72176309083
1,4,7,8,9,10,13,14,15,17,22,1495.66277262417,2708.25159577118
1,2,3,4,5,6,10,12,15,19,22,1810.94292646302,2981.03143205901
3,4,5,6,8,10,11,12,13,20,21,2024.92328045711,3317.23367374461
1,2,5,6,7,8,9,13,18,20,21,1890.33459398907,3409.8494307807
2,5,6,7,8,9,11,12,16,17,18,2302.74112618451,2644.45993799043
1,7,8,9,10,13,14,16,17,20,21,1607.80818275619,3055.5328289244
5,6,8,9,10,11,13,17,19,20,21,1841.48484298412,3413.91192810621
4,5,7,8,10,11,12,15,16,17,22,1879.90038407323,2688.1425533365
3,4,6,8,9,10,12,13,15,16,19,1908.82584227963,3000.9116138322
2,4,5,6,8,11,12,15,18,19,22,1597.95037281976,2626.23041258156
2,4,6,7,8,10,13,18,19,21,22,1772.88508123077,2920.72384650287
1,6,8,11,13,14,15,16,18,20,21,1638.48269349045,2608.40853657838
5,6,10,12,14,15,16,17,18,19,21,2020.35298202381,3302.93438636184
1,2,5,9,10,13,15,16,18,19,20,1835.88584901501,3400.83844173654
2,4,6,7,8,13,14,17,20,21,22,2180.86741916143,2637.61929371823
2,3,4,6,7,9,14,15,16,19,20,1820.0932307506,2994.8753255085
1,2,3,7,8,12,13,14,16,18,21,1760.3353756815,3419.62174952109
3,4,5,7,9,10,12,14,17,18,22,1850.50603317784,2674.30635407718
1,5,6,7,8,12,13,14,15,19,20,1538.66419272676,3066.62450649149
4,6,7,8,9,11,14,16,17,18,20,1637.44345576527,2587.27912796049
1,2,4,7,11,12,13,17,18,20,22,1569.11733965939,2944.95913776206
1,4,5,8,11,15,17,18,19,20,21,1677.37589358287,2583.90460854161
1,5,8,10,13,14,15,17,18,19,20,1894.56738325867,3392.41609452075
1,4,5,13,14,15,16,17,18,20,21,2265.38301735606,2648.45353186317
3,4,6,7,9,10,12,15,16,19,20,1653.48281824418,3046.13309559712
3,6,7,8,10,12,13,15,16,19,22,2153.71240759758,2574.61865642199
1,2,5,7,8,12,13,14,15,17,19,1784.58563132015,2939.84908045945
1,3,6,8,11,13,15,16,18,20,22,2172.35667893604,2607.10726021629
1,4,8,11,12,13,14,17,18,19,22,1830.84326057862,2605.64426945066
1,3,9,10,11,13,15,16,18,20,21,1818.14884104805,2928.71705989866
1,2,3,4,5,6,8,12,14,15,22,1695.20195088142,2622.53333740865
1,4,6,7,8,13,15,16,17,18,22,1816.30915875373,2600.58946845423
1,2,3,7,8,9,10,12,13,21,22,1245.21045251001,3869.96299124832
1,2,5,6,8,9,16,18,19,21,22,1292.99071749649,3842.19414222381
1,3,6,8,9,11,14,15,16,20,21,1805.12941863668,3602.67064396727
1,4,7,8,9,11,12,15,17,19,20,868.784580270733,4033.13248644639
1,3,7,8,9,12,14,16,18,20,22,287.151617455637,4598.58031604449
1,2,3,7,10,11,16,19,20,21,22,933.150190305588,3453.04205909858
1,3,5,6,9,11,12,14,20,21,22,612.163836241024,3835.59106281035
1,3,4,5,7,9,11,16,18,19,21,1757.37691671416,3726.44922682215
1,2,5,6,8,9,12,13,14,16,17,1758.82611779234,3611.88513102504
4,5,6,9,11,12,15,16,17,21,22,1173.38162103994,3840.11890036793
1,3,4,8,9,10,11,13,14,18,21,1348.82988739486,3854.4988247497
1,2,4,8,9,12,13,15,17,19,22,1513.42805777519,3364.59107636447
1,2,3,7,8,10,11,14,18,19,20,260.012440925953,4063.55999539687
1,3,4,7,8,9,10,11,16,17,20,1781.7240389875,3607.80142626921
1,6,9,10,11,13,16,18,19,21,22,1015.31545751938,3911.43888450869
1,2,4,5,6,11,13,14,15,16,19,1245.9350896859,3878.46200727697
3,5,6,7,11,13,16,17,18,20,22,2435.55173455446,3359.14729764456
1,2,7,8,9,10,13,15,17,19,21,1160.35774253276,3608.40973572558
1,3,4,5,6,8,11,14,18,21,22,744.5322224157,4093.94442751367
1,2,3,8,9,12,14,16,17,19,20,1833.20194813215,3633.69877850606
1,4,5,6,7,8,9,10,12,16,22,2037.28797954662,3284.06944832385
1,6,8,11,12,14,15,16,17,20,21,1067.9099797584,3590.74656566815
1,3,5,7,9,10,11,14,16,21,22,38.5804561609084,7687.53517139114
1,2,3,7,8,11,12,14,18,19,22,49.0261064233294,7660.17098937787
1,3,4,5,8,10,11,14,18,20,21,1686.61738962387,3460.71532752558
4,5,6,7,9,12,14,15,16,19,20,1650.17078442601,3338.1328235467
2,3,5,6,7,8,10,13,16,18,19,1218.29098623879,3550.75773898219
1,2,3,4,5,6,7,10,17,21,22,1643.48486735548,3347.93993241136
1,3,4,7,10,14,15,16,19,20,22,513.518110574463,4508.30717745748
1,5,8,10,11,12,14,15,17,19,21,1358.25577598625,3905.44946316558
1,3,4,8,10,11,12,17,18,20,22,42.8158160264404,6893.6728256878
2,5,7,8,10,12,16,19,20,21,22,1711.62454467388,3912.02147889932
1,4,5,7,8,12,14,15,18,21,22,2025.73830110108,3518.74802884564
1,6,7,9,10,12,15,18,19,20,22,757.692071629757,3883.06766764634
1,2,3,6,7,8,9,12,15,16,19,1512.223072096,3869.03707709027
3,4,5,7,9,12,13,16,17,19,21,261.324375300059,4824.77994138403
3,4,6,8,12,13,15,16,18,19,20,972.469141123585,4115.80056229036
2,3,4,7,8,11,12,13,14,16,21,1998.56719042318,3516.64379748416
1,5,7,9,10,12,13,14,18,20,21,1510.00397116072,3674.07986545691
1,2,5,6,7,8,9,10,12,18,21,1614.21328120407,3802.9252010749
3,4,5,6,8,9,11,14,18,19,20,1267.78160093196,3974.43197639171
3,4,5,6,7,12,13,16,17,18,19,2261.14534996775,3467.98761115306
4,5,6,8,11,12,14,15,18,19,21,1506.71041744121,3631.43913507447
2,3,5,7,11,12,13,16,19,20,22,35.3556838818319,6631.67470259517
1,3,4,6,7,10,14,17,18,19,21,1932.43172502204,3483.00532171731
1,2,3,4,8,10,11,15,16,19,20,305.301075472393,4253.83508774801
1,2,7,8,10,11,12,14,15,16,22,1963.67573727414,3493.08486292047
1,2,4,12,14,15,16,18,20,21,22,955.567421921961,3709.44253559678
3,5,7,8,10,13,15,17,18,19,21,1875.3894753616,3504.44523349209
3,4,8,9,10,12,13,14,17,18,19,674.532394020243,4326.79570358679
1,2,4,5,6,11,12,13,17,19,20,407.265649999801,4590.088430386
2,3,4,9,10,11,14,16,19,20,22,27.9913372042356,7300.30896295318
2,3,4,5,6,8,10,12,14,19,20,1997.58586148725,3523.88236288823
4,5,6,8,9,13,14,15,19,20,22,1578.57878348334,3673.4434986757
2,5,6,7,8,9,10,14,17,20,22,747.055151122894,4293.87589499444
2,6,9,12,13,15,16,17,18,21,22,1377.39821708613,3953.68457398524
2,3,4,5,8,11,12,13,14,16,17,1885.87238870797,3472.85217024331
1,5,6,7,11,12,13,14,18,19,20,1474.82773410575,3636.81181578173
1,2,5,9,10,15,16,17,18,19,20,161.213868203282,4835.34079576813
1,4,6,7,9,10,13,15,17,20,21,1853.02394324457,3487.45225829152
5,7,8,9,13,14,15,17,18,20,22,472.163587812692,4093.79231960104
1,2,6,8,10,13,14,17,19,21,22,2035.51287629324,3502.00043934488
3,4,7,8,9,10,13,14,15,17,18,711.814505480129,3783.97922251878
2,3,5,7,8,12,14,16,17,18,21,2014.91337934358,3512.01237782844
1,3,6,7,10,13,14,15,18,21,22,802.717148391102,4251.71344929516
2,5,6,7,8,14,15,18,19,20,21,1601.2503832643,3884.15878963356
2,3,4,7,8,12,16,17,18,19,21,2231.75926089982,3471.7414734081
3,5,9,11,12,13,14,17,19,20,22,1478.92435924674,3632.56692596415
1,2,4,5,6,11,13,15,18,21,22,240.058297500732,4816.95183626145
2,5,7,10,13,15,16,17,18,21,22,259.23515254751,4017.00982068799
2,4,5,6,7,10,11,12,16,17,18,29.8896038456466,6479.594630637
3,5,8,10,12,13,16,19,20,21,22,2033.93242176629,3499.67940603857
1,6,8,9,10,14,15,16,17,18,20,84.9245370787225,6123.43190237965
1,2,3,5,6,7,10,11,14,15,16,2022.94974873246,3509.89746533595
2,3,4,5,6,13,14,16,17,19,22,1489.65723555594,3866.60485100131
3,4,5,7,8,11,12,13,14,17,22,749.30696078604,3601.13230678451
2,4,6,8,12,13,14,17,18,19,21,914.799724515906,3830.58438396869
1,2,3,6,10,12,13,16,18,21,22,2230.05291665596,3453.85530160782
3,7,9,10,11,12,13,14,16,19,21,1553.48754783899,3588.69448712928
1,3,4,6,7,9,13,14,16,18,19,1857.7684577295,3461.24516343673
1,4,5,6,8,10,15,18,19,20,22,2243.04227757775,3468.56545050608
2,6,7,8,9,12,13,16,19,20,21,125.255059355461,4496.16882062389
