V1,V2,V3,V4,V5,V6,V7,V8,bestlam,rmse,bestlam_numpred
3,4,7,9,11,12,14,15,0.234564735124966,0.526383940377784,0
1,2,7,8,11,14,15,16,0.208718938563052,0.593216610462549,1
1,4,6,9,11,12,13,16,0.208292405214608,0.593996655053245,1
3,4,5,6,7,8,12,15,0.26072755625312,0.459756744000593,0
1,2,3,5,6,7,13,14,0.0347017131602737,0.654570005269854,3
1,2,3,7,8,10,14,15,0.111635192216398,0.669566859652884,1
1,4,7,9,10,13,15,16,0.269929932568939,0.480498110802298,1
2,4,5,6,7,10,14,16,0.00274447504747086,0.884257354827347,7
1,5,6,8,12,14,15,16,0.0845690460058513,0.677826765488076,3
1,5,6,9,11,12,13,16,0.367811164194878,0.299289795562196,0
1,7,8,9,11,12,13,15,0.249304243460585,0.513945944622856,1
1,4,7,8,11,12,13,16,0.19960795314068,0.526878693810678,0
2,5,6,10,12,14,15,16,0.287599005044084,0.448177796121424,0
2,3,5,7,9,10,11,12,0.0323700025121763,1.17159865423912,4
2,5,6,7,10,11,14,16,0.0352851401248797,0.900513469648834,4
1,2,4,6,9,13,15,16,0.353877184039783,0.451584352752329,0
4,6,7,8,11,12,13,15,0.318438336542764,0.44895790011063,1
2,7,11,12,13,14,15,16,0.175293517484073,0.690122953929704,1
1,4,5,7,8,9,11,15,0.256335845032829,0.545075164440234,1
1,2,3,4,10,11,13,14,0.236350151401477,0.522049432669526,1
2,3,7,8,9,14,15,16,0.179170223377965,0.566890427624812,1
2,5,7,8,11,14,15,16,0.199706381683195,0.506447866334212,0
1,3,5,6,7,11,12,16,0.154235167776119,0.461599569342098,1
2,5,6,11,13,14,15,16,0.322989602762938,0.431720477876943,1
2,4,5,6,8,11,13,14,0.310504744873905,0.412123471985884,1
1,2,4,7,9,10,13,16,0.208848398077178,0.518612338418018,1
1,3,4,5,6,10,14,15,0.00394764780621325,0.725093736693404,7
3,4,6,8,10,11,12,14,0.315262596926015,0.397117028940725,0
1,3,5,6,10,14,15,16,0.121043982957802,0.601633293361655,4
2,3,4,6,8,10,12,14,0.253064601746785,0.529947609620392,0
3,4,5,7,9,10,12,14,0.206663646979974,0.492591859879692,1
2,3,4,5,12,14,15,16,0.225779822230204,0.492385903591942,1
1,2,4,5,6,8,9,14,0.077492392428899,0.676235553463176,1
2,4,6,8,9,10,13,14,0.316977528681821,0.462709344709662,0
2,4,5,7,11,13,14,15,0.230853043316836,0.538786495566131,0
3,6,8,9,11,14,15,16,0.357069930211591,0.4230070312025,0
2,3,4,5,6,8,9,11,0.239519217286865,0.599594671042892,1
2,3,4,7,8,9,14,16,0.178744601886755,0.569200392746109,0
4,5,7,8,11,12,14,15,0.187574502026074,0.627900203708711,1
2,6,8,11,12,13,14,15,0.00587405227433649,1.17497102504745,7
1,2,3,6,7,9,10,15,0.186172483991542,0.5899816837349,0
2,3,4,5,12,13,15,16,0.00906748542658368,0.559002675911923,6
2,5,6,7,10,12,15,16,0.00508679955244694,1.15097907384245,6
3,6,7,10,11,13,15,16,0.244364826232631,0.452598790373168,0
1,2,3,4,7,9,10,13,0.204485096411065,0.568829434435059,0
1,2,3,5,8,10,14,15,0.274041467731691,0.517753590455851,1
1,6,8,10,11,13,14,15,0.183041916111037,0.598326212249336,1
1,4,5,6,10,12,13,16,0.420838458987602,0.310196268527551,0
1,4,5,7,12,13,14,15,0.209676670245268,0.740353000227901,0
1,2,5,7,8,11,13,14,0.258174234569075,0.556106846117828,0
2,5,7,8,9,13,14,15,0.236280027842627,0.499459733406678,0
4,5,6,7,12,13,14,16,0.250337786793467,0.505442387616125,1
1,9,10,11,12,13,14,16,0.350218727338003,0.37315412666298,0
1,3,5,6,11,12,13,15,0.338032373801674,0.377557123754919,1
1,2,4,6,8,9,10,15,0.343592964363625,0.448165435609765,1
1,2,3,5,6,7,8,14,0.0236123152344566,0.761227078684186,4
4,5,8,9,10,13,15,16,0.286080356763158,0.413107030907625,1
2,3,4,5,8,9,13,14,0.289914405981623,0.524079618786499,1
1,2,3,5,6,8,9,14,0.021581018127378,0.822243072202964,4
