V1,V2,V3,V4,V5,V6,V7,bestlam,rmse,bestlam_numpred
1,2,3,4,7,14,15,2595.60858146158,46668.9143026996,0
1,2,3,4,8,9,10,9520.86598448116,38530.7447179519,0
1,2,3,4,8,9,11,11830.5953434255,38670.0175823828,0
1,2,3,4,8,9,12,12205.9455062197,39606.0258515223,1
1,2,3,4,8,9,13,8994.35289651585,38891.8546803909,0
1,2,3,4,8,9,14,9027.70466695601,38791.3330690459,0
1,2,3,4,8,9,15,9473.62619230033,38779.1904592856,1
1,2,3,4,8,10,11,12465.9133023335,38776.0971161705,0
1,2,3,4,8,10,12,147.996592916661,58845.8273531213,8
1,2,3,4,8,10,13,9436.46824247584,39057.7789258316,0
1,2,3,4,8,10,14,9671.22422373095,38895.3321742798,0
1,2,3,4,8,10,15,11362.3850358663,38824.944183017,0
1,2,3,4,8,11,12,11313.0280262605,40174.5008881137,1
1,2,3,4,8,11,13,12339.5827027189,38969.0660039605,0
1,2,3,4,8,11,14,13055.7586247362,39015.2444505488,0
1,2,3,4,8,11,15,11239.0783625588,38798.255460296,0
1,2,3,4,8,12,13,1248.02272325632,55532.7213844741,6
1,2,3,4,8,12,14,11978.0211182649,42225.4020224434,1
1,2,3,4,8,12,15,11327.4759795318,39893.8171182407,1
1,2,3,4,8,13,14,9252.09806988507,39336.2855771455,1
1,2,3,4,8,13,15,12713.48816829,39076.396341797,0
1,2,3,4,8,14,15,10169.2080068115,38838.1329993374,0
1,2,3,4,9,10,11,125.268496896246,57061.5898974839,7
1,2,3,4,9,10,12,14296.6429905693,38866.3067552458,1
1,2,3,4,9,10,13,256.758830031943,47157.4626271704,7
1,2,3,4,9,10,14,10122.8466712571,38856.9447297657,0
1,2,3,4,9,10,15,8792.43942995956,38566.1146152229,0
1,2,3,4,9,11,12,11364.1826069672,39801.9184172597,1
1,2,3,4,9,11,13,12214.050098715,38878.39258319,0
1,2,3,4,9,11,14,12673.8675712959,38946.6085969202,0
1,2,3,4,9,11,15,10819.9286360853,38780.3314654012,1
1,2,3,4,9,12,13,11879.7926557102,40294.7398251734,1
1,2,3,4,9,12,14,11360.2967832322,41815.090945674,1
1,2,3,4,9,12,15,11964.2171180195,39316.4703942458,1
1,2,3,4,9,13,14,9090.80099366632,39137.997576662,0
1,2,3,4,9,13,15,8538.37864493365,38781.3376010019,0
1,2,3,4,9,14,15,8542.12925542654,38725.4050255918,0
1,2,3,4,10,11,12,14447.9118894667,38843.4603778973,0
