V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,bestlam,rmse
1,2,3,7,10,11,12,16,19,20,254742.798443569,329159.52798833
1,4,5,6,8,11,12,14,18,21,142664.064223441,321422.213520519
3,5,7,12,15,16,17,18,20,21,63514.7729081548,470792.889103693
1,3,5,7,10,13,17,18,19,20,111793.20655303,289347.235749843
2,3,5,7,11,16,17,18,20,21,211166.613804477,316946.444406369
2,4,7,8,9,10,13,16,18,19,142020.057345488,358606.571022187
3,5,6,7,8,9,12,14,16,20,197098.484857018,333040.379049562
1,5,7,8,11,13,15,16,18,19,223643.499228095,311925.159109743
1,2,3,4,8,9,12,14,15,19,91515.8736143906,Inf
3,4,6,7,10,14,15,16,20,21,75956.7127131984,430092.434055083
2,3,5,6,8,10,11,12,14,15,197582.2,190768.609556626
2,3,5,7,8,9,11,18,20,21,214233.537468364,316512.497153416
2,4,6,8,12,16,18,19,20,21,16570.8729868931,551292.631772048
1,3,4,6,8,9,10,15,16,19,176190.912039745,378013.677107551
4,5,7,8,9,13,14,15,17,20,128666.219941112,335741.283598755
1,3,5,6,10,11,14,16,17,21,222978.558911704,217392.97127076
2,3,7,8,9,13,15,16,18,21,131018.674340958,521362.637691628
1,2,3,7,8,13,15,16,19,20,24404.5163700879,Inf
1,2,5,7,9,10,11,14,16,17,161068.42286971,119801.506666601
1,4,6,9,10,12,16,17,18,19,191324.782751234,343511.064498994
4,5,6,10,11,12,14,17,18,20,257173.073648895,208316.333696506
1,2,6,11,13,14,15,17,18,19,153163.238085475,402102.310583094
1,3,4,6,7,10,11,12,13,17,264030.891302277,291928.623471313
3,4,5,7,9,10,11,16,17,21,89570.1388034518,223531.124956908
1,4,8,11,14,15,18,19,20,21,169777.780029795,415272.752659166
2,3,5,8,9,11,12,13,16,20,182308.258572893,323873.484525974
1,4,6,8,12,13,15,16,18,19,58542.9220623339,537494.746956066
4,6,7,9,10,11,13,14,18,19,191175.585851744,303527.57600723
1,2,3,4,9,10,11,12,17,19,109366.178119355,Inf
1,3,4,7,13,15,18,19,20,21,55649.9395866944,Inf
1,5,6,8,9,10,12,14,16,18,221434.131344571,271473.661165419
3,8,9,11,12,14,15,16,17,20,147784.919059834,407054.515599558
2,3,7,8,12,13,14,15,16,20,91412.572701581,463297.911486084
1,7,8,10,11,12,15,18,19,21,225896.427227691,336492.531467873
4,6,10,11,12,13,14,18,19,21,206593.357022419,329418.724526218
1,2,3,4,7,10,13,14,15,20,101014.349586742,358723.747342152
2,3,5,7,8,9,11,13,14,20,222979.117222283,274038.681073679
2,4,6,8,9,12,13,15,16,21,126797.470990929,Inf
3,5,8,11,12,17,18,19,20,21,147295.490463361,334802.092898011
2,3,6,7,9,10,11,15,16,20,122443.992503622,343710.027808696
4,6,8,9,10,14,15,18,19,20,144561.049915296,381327.189853447
2,4,7,9,10,11,16,18,20,21,143255.292016883,316634.587678376
1,2,3,9,11,12,13,16,18,21,144059.765701137,Inf
4,5,6,7,8,11,12,15,17,19,240921.566532812,277579.082500365
1,4,10,11,14,16,17,19,20,21,3669.52256751463,Inf
3,6,7,8,9,10,12,13,19,20,12313.0431517896,529563.981463707
1,4,7,9,11,12,14,18,20,21,169022.998302319,368685.360026709
1,4,5,7,9,13,17,18,20,21,192139.120901406,341219.267854002
4,5,6,7,12,15,16,19,20,21,237442.452264312,323523.72745405
1,3,4,6,7,8,9,13,14,21,157770.264334035,383359.651180183
1,2,3,4,5,8,11,14,18,21,104793.012452812,336975.703099216
3,4,10,11,12,13,17,19,20,21,210433.145264134,331007.132726564
3,6,9,10,11,14,17,18,19,20,203148.660595365,324320.93069335
1,4,5,8,10,11,12,13,20,21,171059.312965078,256593.581492308
1,3,4,6,9,10,12,18,19,21,192192.64849073,365915.54009881
1,2,3,4,7,8,9,15,16,20,111254.17603085,474880.035033495
2,7,8,9,11,14,15,17,19,20,148984.380444601,Inf
1,3,4,7,9,13,16,17,18,19,4125.98364200446,602884.478472969
2,3,6,7,8,11,15,17,19,21,154384.085085575,361028.156272512
3,4,5,9,12,14,15,16,17,21,212018.621328532,332523.29999096
1,2,4,8,9,10,11,15,17,19,143496.910686046,327030.610763126
3,8,10,11,12,13,14,16,18,21,188834.543300641,361445.756239419
1,2,4,6,8,9,13,14,16,20,149838.333835128,480395.192551842
