V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,bestlam,rmse,bestlam_numpred
1,2,4,5,7,9,10,11,16,17,20,1636.08041941873,3980.65851066153,0
3,7,8,9,16,17,18,19,20,21,22,1624.52535729038,3638.4517176584,0
1,2,3,4,8,9,14,16,17,20,21,916.011906255965,3894.56134390472,2
2,4,5,6,9,11,15,18,20,21,22,26.9618127598529,5199.45193350227,9
1,2,3,6,8,10,11,12,15,17,18,2062.46603541981,2412.6448160864,0
4,6,7,11,12,13,14,15,16,18,22,1154.14586616004,3738.72237332612,0
2,3,6,8,9,11,16,18,20,21,22,1455.72832044181,3482.79739511755,1
1,5,6,7,11,12,13,15,18,19,21,75.550214049993,4190.3318269925,8
3,5,6,8,9,10,14,16,18,20,21,1011.54449703146,4624.73414439068,0
1,2,4,5,7,8,11,12,13,14,18,2381.31414936452,3443.36250112304,1
2,5,6,7,10,11,13,15,16,20,22,1190.64658198715,4192.15823690056,0
2,3,4,5,6,7,12,15,16,19,22,1129.29211206121,4152.3542846568,1
2,6,7,8,10,13,14,18,19,20,22,2015.50620697941,3236.04606513838,1
4,7,8,9,10,16,17,18,19,20,21,1633.65921464431,3269.31862733104,0
1,3,4,6,9,10,12,13,14,17,21,2153.89591079837,2364.59898318485,0
1,2,5,7,9,13,14,16,17,19,20,785.190493479792,4630.0899969257,1
1,2,3,4,5,10,11,12,13,18,20,28.8559588691286,4738.85195089923,11
2,5,6,9,10,11,15,16,17,18,20,1041.24802553844,4011.44676327113,0
3,6,7,10,11,13,14,16,18,20,22,746.035896482526,3827.41547388413,0
1,2,6,7,9,10,11,13,15,17,19,2465.21878660053,2660.45174114239,0
2,3,6,7,8,9,12,16,17,19,20,1318.38192805588,3377.38392070055,0
1,4,9,10,12,13,15,16,17,18,21,1880.77862311691,2848.35469261643,1
1,3,4,8,9,13,14,15,16,17,21,1412.35044473721,3956.96190321322,1
2,4,5,6,10,11,16,17,19,20,22,809.33543981222,3858.95763307348,2
1,2,8,9,11,12,13,16,19,20,22,1568.32109749513,3073.93660843109,1
1,5,7,11,12,13,14,15,19,20,22,2389.84454761087,3497.1632118709,0
2,7,9,10,12,14,15,17,18,19,22,1527.52832308738,4145.95847705972,3
1,3,4,6,8,9,10,12,14,15,21,2391.65075357934,2235.87675996865,0
1,3,4,7,8,10,11,12,16,17,21,1857.68600951339,3032.64440658875,1
2,3,7,8,11,14,15,16,19,20,21,1512.01746499532,3622.99877993154,0
1,5,7,9,10,11,15,16,19,20,21,718.950893688413,3702.57398059014,4
2,4,5,6,7,10,12,16,17,19,20,1393.49089055197,4032.70783218439,0
1,3,5,8,10,11,12,17,19,21,22,2426.31210350421,3023.86704804301,1
3,4,5,7,11,13,15,17,18,20,21,2692.61496408148,3226.65701533148,1
1,5,6,7,8,9,12,13,16,18,20,1453.01124101556,4020.43447915834,1
1,2,5,11,12,15,17,18,20,21,22,38.2417746853883,5929.90455759794,9
1,4,7,8,9,10,11,13,14,20,21,2499.96835390963,2406.28297360202,1
2,5,6,8,9,10,12,13,18,20,22,547.826024788882,4101.51295912633,5
2,3,7,11,12,13,15,16,18,21,22,1491.06162883777,3415.85050788934,0
4,6,9,10,11,12,14,16,18,19,21,654.246674804722,4176.83224586575,3
4,5,8,9,12,13,16,17,19,20,22,421.44396414451,4147.80820851967,3
1,2,4,5,7,8,9,10,14,15,22,2351.37313500084,3529.35019218311,0
1,2,3,4,5,6,9,12,15,19,22,155.548248948219,3338.56542822298,6
1,4,7,10,11,12,15,18,19,20,21,2631.18999889294,3450.29114339164,0
4,5,9,10,11,13,14,16,18,19,20,694.936650067888,4053.48553230726,1
1,2,4,5,7,10,11,13,19,20,22,473.092438617106,3666.62131151544,5
2,7,8,10,12,16,17,18,19,21,22,1275.7446999098,3527.12239942255,0
2,4,7,8,9,12,13,15,17,21,22,24.9812169806207,11065.156778055,10
1,3,8,9,10,12,15,16,18,20,21,1185.61260304827,3293.65782438656,1
3,6,7,9,11,12,14,15,16,18,21,1488.44735350932,3641.01109272514,1
1,3,4,7,8,9,12,16,18,20,22,1386.49008220863,3628.2453341544,2
2,5,8,9,10,11,12,13,20,21,22,518.848255450283,4190.80310413421,3
