V1,V2,V3,V4,V5,V6,pred1,pred2,pred3,pred4,pred5
1,2,3,6,7,8,w1_Wet_Tim,d1_DS_Dur_WS,f2_recon_120,w2_Wet_Tim,f1_recon_120
1,2,3,6,7,9,d1_DS_Dur_WS,w1_Wet_BFL_Dur,s2_SP_ROC_Max,f2_recon_120,f2_recon_20
1,2,3,6,7,10,f2_recon_120,d1_DS_Dur_WS,w1_Wet_BFL_Dur,f2_recon_20,wy1_WY_Cat
1,2,3,6,7,11,d1_DS_Dur_WS,w1_Wet_BFL_Dur,f2_recon_20,s2_SP_ROC_Max,s2_SP_ROC
1,2,3,6,7,12,w1_Wet_BFL_Dur,d1_DS_Dur_WS,d2_DS_Mag_90,s2_SP_ROC_Max,d2_DS_Dur_WS
1,2,3,6,7,13,d1_DS_Dur_WS,f2_recon_20,w1_Wet_BFL_Mag_50,s2_SP_ROC_Max,w2_Wet_BFL_Dur
1,2,3,6,8,9,w1_Wet_Tim,d1_DS_Dur_WS,w2_Wet_BFL_Dur,w2_Wet_Tim,d2_DS_Dur_WS
1,2,3,6,8,10,w1_Wet_Tim,d2_DS_Dur_WS,w2_Wet_BFL_Dur,f2_recon_120,f1_FA_Dif_num
1,2,3,6,8,11,w1_Wet_Tim,s2_SP_ROC,d2_DS_Dur_WS,s1_SP_Dur,w2_Wet_BFL_Dur
1,2,3,6,8,12,w1_Wet_Tim,d1_DS_Dur_WS,f1_recon_120,w2_Wet_BFL_Dur,w2_Wet_Tim
1,2,3,6,8,13,d1_DS_Dur_WS,w1_Wet_Tim,f1_recon_120,wy1_Mean_Ann_Flow,d1_DS_Mag_90
1,2,3,6,9,10,w1_Wet_BFL_Dur,d1_DS_Dur_WS,w1_Wet_Tim,f2_recon_120,w2_Wet_BFL_Dur
1,2,3,6,9,11,w1_Wet_BFL_Dur,d1_DS_Dur_WS,s2_discon_120,w1_Wet_Tim,s2_SP_ROC
1,2,3,6,9,12,w1_Wet_BFL_Dur,d1_DS_Dur_WS,s1_SP_Dur,w2_Wet_BFL_Dur,s2_discon_120
1,2,3,6,9,13,d1_DS_Dur_WS,w1_Wet_BFL_Dur,s2_discon_120,f2_recon_20,s1_SP_Mag
1,2,3,6,10,11,w1_Wet_BFL_Dur,f2_recon_20,d1_DS_Dur_WS,s2_SP_ROC,w1_Wet_Tim
1,2,3,6,10,12,w1_Wet_BFL_Dur,d1_DS_Dur_WS,w2_Wet_BFL_Dur,d1_DS_Mag_90,f1_FA_Dif_num
1,2,3,6,10,13,wy1_WY_Cat,d1_DS_Dur_WS,f1_FA_Dif_num,d1_DS_Mag_90,f2_recon_120
1,2,3,6,11,12,w1_Wet_BFL_Dur,s2_SP_Tim,s2_SP_ROC,s1_SP_ROC,d1_DS_Dur_WS
1,2,3,6,11,13,d1_DS_Dur_WS,f2_recon_20,s2_SP_ROC,w1_Wet_BFL_Mag_50,s2_discon_120
1,2,3,6,12,13,d1_DS_Dur_WS,w1_Wet_BFL_Dur,w2_Wet_BFL_Dur,d1_DS_Mag_90,f2_FA_Dif_num
1,2,3,7,8,9,w1_Wet_Tim,d1_DS_Dur_WS,s2_SP_ROC_Max,w2_Wet_Tim,s1_SP_ROC
1,2,3,7,8,10,w1_Wet_Tim,s1_SP_ROC,d1_DS_Dur_WS,s2_SP_ROC_Max,f1_recon_120
1,2,3,7,8,11,w1_Wet_Tim,s1_SP_ROC,s2_SP_ROC,s1_SP_Dur,w2_Wet_BFL_Mag_10
1,2,3,7,8,12,d1_DS_Dur_WS,w1_Wet_Tim,f1_recon_120,s2_SP_ROC_Max,d2_DS_Mag_90
1,2,3,7,8,13,d1_DS_Dur_WS,w1_Wet_Tim,f1_recon_120,s1_SP_Dur,s1_SP_Tim
1,2,3,7,9,10,w1_Wet_BFL_Dur,d1_DS_Dur_WS,w1_Wet_Tim,s1_SP_ROC,s2_SP_ROC_Max
1,2,3,7,9,11,w1_Wet_BFL_Dur,d1_DS_Dur_WS,w1_Wet_Tim,s2_SP_ROC_Max,s1_SP_ROC_Max
1,2,3,7,9,12,w1_Wet_BFL_Dur,s1_SP_Dur,d1_DS_Dur_WS,d1_DS_Tim,d2_DS_Dur_WS
1,2,3,7,9,13,d1_DS_Dur_WS,w1_Wet_BFL_Dur,w1_Wet_Tim,f2_recon_20,s1_SP_Mag
1,2,3,7,10,11,f2_recon_20,w1_Wet_BFL_Dur,w1_Wet_Tim,s2_SP_ROC_Max,f1_recon_20
1,2,3,7,10,12,w1_Wet_BFL_Dur,d2_DS_Mag_90,d1_DS_Dur_WS,d1_DS_Mag_90,s2_SP_ROC_Max
1,2,3,7,10,13,d1_DS_Dur_WS,f2_recon_20,d2_DS_Mag_50,w1_Wet_BFL_Mag_10,w1_Wet_Tim
1,2,3,7,11,12,w1_Wet_BFL_Dur,w2_Wet_BFL_Mag_10,s2_SP_ROC_Max,d1_DS_Mag_90,d1_DS_Dur_WS
1,2,3,7,11,13,d1_DS_Dur_WS,f2_recon_20,w1_Wet_BFL_Mag_10,w2_Wet_BFL_Mag_10,s2_SP_ROC
1,2,3,7,12,13,d1_DS_Dur_WS,f2_FA_Dif_num,w1_Wet_BFL_Dur,d1_DS_Mag_90,w2_Wet_BFL_Mag_10
1,2,3,8,9,10,w1_Wet_Tim,d1_DS_Dur_WS,w2_Wet_BFL_Dur,d2_DS_Dur_WS,w2_Wet_Tim
1,2,3,8,9,11,w1_Wet_Tim,s2_SP_ROC,w2_Wet_BFL_Dur,f2_FA_Dif_num,s1_SP_Dur
1,2,3,8,9,12,w1_Wet_Tim,d1_DS_Dur_WS,s1_SP_Dur,f1_recon_120,w1_Wet_BFL_Dur
1,2,3,8,9,13,d1_DS_Dur_WS,w1_Wet_Tim,w2_Wet_BFL_Mag_50,w2_num_days_gt_90_pctile,s1_SP_ROC
1,2,3,8,10,11,w1_Wet_Tim,f2_recon_20,s2_SP_ROC,w2_Wet_BFL_Dur,s1_SP_ROC
1,2,3,8,10,12,w1_Wet_Tim,f1_recon_120,d1_DS_Dur_WS,w2_Wet_BFL_Dur,w2_Wet_BFL_Mag_10
1,2,3,8,10,13,d1_DS_Dur_WS,w1_Wet_Tim,f2_recon_20,w1_Wet_BFL_Mag_10,s1_SP_ROC
1,2,3,8,11,12,w1_Wet_Tim,f1_recon_120,s2_SP_Mag,s2_SP_Tim,s2_SP_ROC
1,2,3,8,11,13,w1_Wet_Tim,d1_DS_Dur_WS,f1_recon_120,wy1_Mean_Ann_Flow,s1_SP_Dur
1,2,3,8,12,13,d1_DS_Dur_WS,f1_recon_120,w1_Wet_Tim,d1_DS_Mag_90,w2_Wet_BFL_Mag_50
1,2,3,9,10,11,w1_Wet_BFL_Dur,d1_DS_Dur_WS,w1_Wet_Tim,f2_recon_20,s2_SP_ROC
1,2,3,9,10,12,w1_Wet_BFL_Dur,d1_DS_Dur_WS,s1_SP_Dur,s2_SP_Mag,w2_Wet_BFL_Dur
1,2,3,9,10,13,d1_DS_Dur_WS,w1_Wet_BFL_Dur,d2_DS_Mag_50,f2_recon_20,w2_Wet_BFL_Dur
1,2,3,9,11,12,w1_Wet_BFL_Dur,s1_SP_ROC,s2_SP_Tim,s1_SP_Dur,s2_SP_Mag
1,2,3,9,11,13,d1_DS_Dur_WS,w1_Wet_BFL_Dur,f2_recon_20,s1_SP_Mag,s2_SP_ROC_Max
1,2,3,9,12,13,d1_DS_Dur_WS,w1_Wet_BFL_Dur,s1_SP_Dur,s1_SP_ROC,d1_DS_Tim
1,2,3,10,11,12,w1_Wet_BFL_Dur,s2_SP_Mag,s2_SP_Dur,f2_recon_20,w1_Wet_BFL_Mag_10
1,2,3,10,11,13,d1_DS_Dur_WS,d2_DS_Mag_50,f2_recon_20,w1_Wet_BFL_Mag_10,w1_Wet_Tim
1,2,3,10,12,13,d1_DS_Dur_WS,w1_Wet_BFL_Dur,s1_discon_20,d2_DS_Mag_50,f2_recon_20
1,2,3,11,12,13,w1_Wet_BFL_Dur,d1_DS_Dur_WS,s2_SP_Dur,s2_SP_ROC,w2_Wet_BFL_Mag_10
1,2,4,5,6,7,d2_DS_Mag_90,d1_DS_Dur_WS,s2_SP_ROC,f1_recon_120,s1_SP_ROC
1,2,4,5,6,8,f1_recon_120,s2_SP_ROC,d2_DS_Mag_90,s1_SP_Tim,d1_DS_Dur_WS
1,2,4,5,6,9,d1_DS_Dur_WS,s2_SP_ROC,d2_DS_Mag_90,f1_FA_Dif_num,s1_discon_20
1,2,4,5,6,10,s2_SP_ROC,w1_Wet_BFL_Mag_10,f1_recon_20,w2_Wet_Tim,d2_DS_Mag_90
1,2,4,5,6,11,s2_SP_ROC,d1_DS_Dur_WS,d1_DS_Tim,d2_DS_Mag_90,s1_SP_ROC
1,2,4,5,6,12,d1_DS_Tim,d2_DS_Mag_90,s2_SP_ROC,s2_SP_Mag,f1_recon_120
1,2,4,5,6,13,d1_DS_Dur_WS,f1_recon_120,d1_DS_Tim,d1_DS_Mag_90,w1_Wet_BFL_Mag_10
1,2,4,5,7,8,s1_SP_Tim,d1_DS_Dur_WS,w2_Wet_Tim,w1_Wet_Tim,s1_discon_120
1,2,4,5,7,9,f1_FA_Dif_num,d2_DS_Mag_90,d1_DS_Dur_WS,s1_discon_120,d2_DS_Dur_WS
1,2,4,5,7,10,wy2_WY_Cat,w1_Wet_BFL_Mag_10,d1_DS_Dur_WS,s1_SP_ROC,s2_SP_Mag
1,2,4,5,7,11,d2_DS_Mag_90,d1_DS_Dur_WS,s2_SP_ROC,s1_SP_ROC,w1_Wet_Tim
1,2,4,5,7,12,d2_DS_Mag_90,d1_DS_Tim,d1_DS_Mag_90,f1_recon_120,w2_Wet_Tim
1,2,4,5,7,13,d1_DS_Dur_WS,f2_FA_Dif_num,f1_recon_120,w1_Wet_BFL_Mag_50,w2_Wet_BFL_Dur
1,2,4,5,8,9,f1_recon_120,d2_DS_Tim,f1_FA_Dif_num,d2_DS_Mag_90,s2_SP_ROC
1,2,4,5,8,10,f1_recon_120,w2_Wet_BFL_Mag_10,d1_DS_Mag_50,s1_SP_ROC,d1_DS_Dur_WS
1,2,4,5,8,11,f1_recon_120,d2_DS_Mag_90,d1_DS_Dur_WS,s1_SP_Tim,s2_SP_ROC
1,2,4,5,8,12,f1_recon_120,w2_Wet_BFL_Mag_10,d2_DS_Mag_90,d1_DS_Tim,d1_DS_Dur_WS
1,2,4,5,8,13,f1_recon_120,d1_DS_Dur_WS,s1_SP_Tim,f2_recon_120,w2_Wet_Tim
1,2,4,5,9,10,wy2_Mean_Ann_Flow,d1_DS_Mag_50,d1_DS_Mag_90,d1_DS_Dur_WS,d2_DS_Mag_90
1,2,4,5,9,11,d1_DS_Dur_WS,d2_DS_Mag_90,s2_SP_ROC,f1_FA_Dif_num,wy1_WY_Cat
1,2,4,5,9,12,d1_DS_Tim,d2_DS_Mag_90,s1_SP_Dur,s2_SP_Mag,f1_recon_120
1,2,4,5,9,13,d1_DS_Dur_WS,f2_recon_120,f2_FA_Dif_num,w2_Wet_Tim,f1_FA_Dif_num
