V1,V2,V3,V4,V5,V6,V7,V8,bestlam,rmse,bestlam_numpred
2,4,8,10,12,13,15,17,0.0137442290700411,1.09689308144108,6
1,2,7,8,10,14,16,17,0.360551983783743,0.523746504474401,0
1,3,5,6,9,11,12,14,0.201620119759862,0.829145947965992,1
3,6,7,10,11,14,15,16,0.389553917199051,0.532247058448365,0
1,2,3,6,7,8,10,14,0.317864662338925,0.587772197098635,0
1,5,9,12,13,15,16,17,0.335465838441429,0.544124750304899,0
3,4,7,8,12,13,14,16,0.00810015611976803,1.2569229004591,6
4,5,7,8,9,10,13,17,0.296169677404796,0.788775608013994,0
1,5,6,7,10,12,15,17,0.42193074307096,0.45899568748167,0
2,5,8,9,11,12,13,15,0.384097460073465,0.689577922029432,1
2,6,8,11,13,14,16,17,0.216530981921191,0.449445921317925,0
1,3,4,6,7,8,12,13,0.286137323911066,0.772575326935774,0
4,5,10,12,13,15,16,17,0.397044179558107,0.723346182123677,0
4,6,7,8,9,10,13,17,0.260097612353136,0.785985677799415,0
4,7,8,9,10,13,14,17,0.260135779669982,0.83658464776971,0
4,5,7,8,11,13,15,17,0.342886172080481,0.722165343647049,0
6,7,8,9,12,14,15,17,0.454894709798127,0.586982377066857,0
3,4,5,6,11,12,14,15,0.380944676723477,0.667443262364849,0
2,3,6,10,11,12,13,16,0.221845960850609,0.628816669183245,0
4,5,6,7,8,9,12,15,0.300279342174414,0.698123137515471,0
2,5,7,10,13,14,15,17,0.00812127416472179,2.29923718321055,8
2,3,5,8,9,10,14,16,0.265701018605835,0.729647444125406,0
2,3,6,8,11,14,15,16,0.237688198842203,0.654265572202618,1
1,3,9,12,13,14,15,17,0.272052741108271,0.730401684584611,2
2,4,9,10,11,13,15,16,0.16451964834328,0.778755044186477,2
1,4,7,9,10,11,12,16,0.00584049655599803,0.924561284126825,7
2,4,7,8,9,10,12,14,0.353954442797166,0.693350779420102,0
1,2,5,8,9,11,15,16,0.31934730887824,0.598670969207308,1
1,4,7,8,10,11,13,16,0.300228198002511,0.925227276811866,1
3,4,5,7,8,12,16,17,0.280709118042319,0.718693688701129,1
3,4,8,10,13,15,16,17,0.363063513902485,0.73829258362366,0
3,5,8,9,13,15,16,17,0.202453013193954,0.954275160663575,2
1,3,5,8,9,12,15,17,0.242792982646219,0.738428817699392,0
1,5,6,10,11,12,16,17,0.405267653504301,0.409499527673964,1
5,6,7,8,13,15,16,17,0.415157940769411,0.4866744812388,1
2,7,9,11,12,13,16,17,0.137780894622148,0.859421580673835,2
1,4,5,10,11,12,14,15,0.176444031813131,0.987560426850926,2
2,3,6,11,13,14,16,17,0.289929700596516,0.581535795939792,0
1,4,5,7,10,11,12,13,0.15541401024113,0.865300241050851,4
1,3,5,6,8,11,14,17,0.343729099356277,0.613077315698696,1
2,4,5,10,11,13,14,16,0.295278681458599,0.715048064269788,0
5,6,8,10,13,15,16,17,0.406100958326137,0.427604206101992,0
1,4,10,12,13,14,16,17,0.336739717106801,0.909564523647735,0
1,2,3,5,6,11,15,16,0.242820945767275,0.62077034859621,1
2,3,7,9,10,12,14,16,0.214238170575728,0.722354711355242,2
1,3,5,7,10,11,12,13,0.303459748680304,0.608403059409591,1
1,4,6,9,11,13,14,15,0.235331169986926,0.762652154229816,0
1,8,9,11,13,14,15,17,0.326928469289027,0.564414515516181,0
