V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,bestlam,rmse,bestlam_numpred
1,5,6,8,9,10,12,14,16,18,52956.6427338259,441469.765350728,5
3,8,9,11,12,14,15,16,17,20,209905.325250663,335556.022172752,0
2,3,7,8,12,13,14,15,16,20,109422.878155265,321100.306000851,2
1,7,8,10,11,12,15,18,19,21,153303.552368163,362867.96542891,2
4,6,10,11,12,13,14,18,19,21,166653.734159416,315739.09258383,0
1,2,3,4,7,10,13,14,15,20,164351.168481649,304243.285453332,0
2,3,5,7,8,9,11,13,14,20,121253.83220732,397764.516014378,1
2,4,6,8,9,12,13,15,16,21,256923.409693085,273973.626421199,0
3,5,8,11,12,17,18,19,20,21,31853.9367962157,402501.776338046,5
2,3,6,7,9,10,11,15,16,20,138007.626524466,356967.668200373,0
4,6,8,9,10,14,15,18,19,20,196660.664302907,308104.586510562,0
2,4,7,9,10,11,16,18,20,21,140375.393538003,319506.160944403,0
1,2,3,9,11,12,13,16,18,21,207861.191776529,272686.721808597,1
4,5,6,7,8,11,12,15,17,19,149382.892348351,346326.588384742,1
1,4,10,11,14,16,17,19,20,21,157114.511011662,419645.319739023,0
3,6,7,8,9,10,12,13,19,20,158323.66176014,312650.410906904,1
1,4,7,9,11,12,14,18,20,21,2138.80062124869,718758.221512765,8
1,4,5,7,9,13,17,18,20,21,57440.928441109,395786.576210136,4
4,5,6,7,12,15,16,19,20,21,89964.3223344437,357939.789136687,3
1,3,4,6,7,8,9,13,14,21,153927.150080591,343429.10793146,2
1,2,3,4,5,8,11,14,18,21,100874.587870961,355664.488290725,2
3,4,10,11,12,13,17,19,20,21,146580.004189544,320173.767573638,0
3,6,9,10,11,14,17,18,19,20,137164.027672289,340685.972404889,0
1,4,5,8,10,11,12,13,20,21,74158.8297797322,388310.388728833,2
1,3,4,6,9,10,12,18,19,21,2251.00424902835,713954.923752603,9
1,2,3,4,7,8,9,15,16,20,216177.360696268,374688.996380079,0
2,7,8,9,11,14,15,17,19,20,157788.847915551,281510.498287718,0
1,3,4,7,9,13,16,17,18,19,135560.915029954,394700.884007572,0
2,3,6,7,8,11,15,17,19,21,181661.598842741,228758.962917067,0
3,4,5,9,12,14,15,16,17,21,2769.47236372297,693315.186716836,9
1,2,4,8,9,10,11,15,17,19,98341.1063709316,389013.800902934,1
3,8,10,11,12,13,14,16,18,21,96036.9790605779,317148.221526523,3
1,2,4,6,8,9,13,14,16,20,223258.312566728,272389.295279318,0
3,5,6,9,10,11,15,18,20,21,63958.4620099962,414013.057390652,1
2,3,6,8,10,11,14,15,18,20,146093.622477027,334930.159221072,0
1,3,4,8,9,13,14,17,19,20,197938.097415402,280506.005997331,1
2,5,7,9,12,13,15,16,17,18,56699.6569908623,374855.964281483,4
3,4,5,6,10,11,12,14,16,19,70799.6191035841,423325.244904775,1
1,2,3,7,9,12,13,14,15,18,4785.9774931798,1061523.91398786,8
2,5,7,8,9,12,13,18,19,20,119770.561627583,302017.292148474,3
1,2,3,5,7,8,12,14,16,21,9444.83415571322,479353.081890106,7
2,3,4,5,8,10,11,17,20,21,85567.8664883087,399572.367218437,1
2,3,5,6,10,15,17,18,19,20,192849.19854342,341311.847316249,0
1,3,7,9,10,11,12,15,17,19,87380.8536080271,368353.331803917,2
4,6,8,9,12,13,15,18,20,21,121059.832653412,315375.531151335,4
1,6,7,8,9,11,12,14,17,18,23089.3573571905,493565.009023406,8
1,2,7,12,14,15,17,18,19,20,71790.4758407455,627317.107565658,3
3,5,6,7,8,9,11,12,15,18,15776.6505824522,363284.105086592,8
7,8,9,10,12,13,14,15,19,20,158944.576848945,307062.140493724,0
3,4,5,7,8,10,11,14,15,17,70302.3958097814,442657.646368659,1
1,4,7,10,11,13,15,16,17,18,126226.239564499,347705.944530146,0
2,3,4,5,7,9,10,13,16,19,12290.5003533719,928400.979176245,6
1,2,4,6,7,12,13,15,16,21,97720.5075388829,446391.288664892,3
8,9,10,12,14,15,16,17,20,21,111901.062621821,369862.28103644,1
2,4,5,7,8,10,11,15,17,19,94345.8361106362,444476.454654349,1
1,2,7,8,9,12,15,17,18,20,29675.4366754276,793505.774956714,5
1,2,4,6,9,12,16,19,20,21,235982.978973125,292979.925439775,0
1,2,3,5,10,12,15,17,18,19,154584.749111108,353267.954082576,1
3,4,6,8,9,12,14,15,16,21,73885.2991492244,458405.928524215,3
1,3,4,5,7,11,13,17,18,21,113562.558841182,333997.592942718,1
2,8,9,10,11,12,13,14,17,18,140793.130420519,417749.883834858,1
4,5,7,9,10,12,14,16,19,21,74497.3914425053,402021.496095388,3
2,3,6,8,10,11,16,17,20,21,94303.9228927936,274860.986493603,2
2,4,9,10,13,14,16,18,20,21,158443.318488596,259652.536938005,2
2,3,5,6,7,8,11,17,19,21,47150.2627184559,374279.853561255,5
3,6,7,11,12,13,15,19,20,21,220031.978496529,319084.799617288,0
5,7,8,10,11,12,17,18,20,21,89738.4632955009,386078.179748451,1
3,7,9,11,12,13,14,15,20,21,157707.48250975,274228.1239141,3
3,5,9,10,15,16,17,18,19,21,207018.764775894,357741.77935432,1
2,4,6,7,8,11,14,15,17,21,125959.879248043,366726.425339915,1
3,4,7,9,10,13,14,15,18,21,155326.371498746,313608.195818934,1
3,5,8,9,12,13,17,18,19,20,63276.2340686813,302551.66267508,4
2,3,5,6,9,12,14,17,19,20,119396.150301468,323428.637905691,3
1,4,8,11,12,13,14,17,20,21,210801.007097652,334108.751716957,0
2,7,8,9,10,12,15,18,19,21,118051.338475383,283565.843851845,2
1,3,6,8,9,11,12,16,19,21,89961.775665816,344077.831312532,4
3,4,5,7,9,10,15,19,20,21,100579.664711103,362344.018168278,1
1,2,3,9,11,15,16,19,20,21,21797.9293965744,938009.987640844,6
2,3,4,7,9,10,12,13,16,17,147138.642165357,348669.241650319,0
2,4,6,7,9,11,13,15,16,20,191457.364116612,318923.730180789,0
1,4,8,9,10,11,12,14,15,18,135777.390924208,378430.189605351,0
1,2,4,5,11,13,16,18,19,20,94432.5677236104,353242.573695298,2
2,5,7,8,9,11,13,16,18,21,140033.27329259,350778.832739453,1
1,4,6,8,9,13,14,15,16,21,40473.2993300437,551167.040532941,6
3,6,7,8,9,12,13,14,16,21,133038.401578803,312136.062866389,2
1,2,3,4,5,9,11,14,18,21,102036.760024641,389404.798395806,1
1,2,3,5,10,11,12,15,16,17,2993.16054663042,708783.887758419,8
1,4,5,6,7,8,12,17,19,20,12008.3696025395,618452.196398063,6
6,7,8,9,12,13,15,16,19,20,224989.049543004,324071.285120683,0
1,5,10,11,12,13,16,17,18,21,97372.4120029438,389264.909838073,1
1,4,5,6,7,9,11,14,16,19,142859.990196719,379323.823448027,1
1,2,4,6,10,13,15,16,18,20,210842.252918138,241091.096450563,1
5,7,10,12,13,14,15,17,19,20,141494.71453014,390810.636826469,0
1,6,8,9,11,12,13,17,18,19,1937.42298074773,623260.173181997,10
1,4,8,9,12,14,15,17,18,19,27607.3730104704,672573.411954442,8
3,9,10,14,16,17,18,19,20,21,113880.614950201,257539.081288685,2
2,6,7,8,11,14,15,18,19,21,236727.010696871,299933.546972369,0
1,2,6,7,11,12,13,15,17,20,112022.952030085,413774.704561502,1
1,2,3,7,11,13,14,16,20,21,214590.092552758,258795.069209338,0
4,5,6,7,11,12,13,14,18,19,167320.529156904,361166.571754336,0
1,4,6,7,8,9,11,15,17,19,168717.612751575,347484.804853389,0
1,3,6,10,11,12,16,17,19,21,154556.692505085,326426.824660082,0
5,6,9,10,11,12,15,17,19,20,101397.807828141,434397.653582361,1
3,4,7,10,14,16,17,18,19,20,123652.533108167,340703.029159938,0
4,7,9,12,13,14,16,17,18,19,167250.221997749,355684.666005908,0
2,3,6,7,9,10,14,15,18,19,154594.273681703,313774.760297358,0
3,4,12,13,14,15,16,17,19,20,159571.242868134,317234.282693379,2
1,2,4,6,7,9,14,15,16,21,161601.245052822,363388.209523555,1
1,3,4,6,11,14,17,18,19,20,168092.195561208,296166.81597508,0
1,4,6,7,11,12,13,14,16,18,136861.967781031,437520.349675533,1
2,5,7,10,12,14,15,17,19,21,163934.642291023,405590.853445455,1
3,7,10,11,12,13,16,17,18,21,135053.297385139,316515.146233151,0
2,8,9,10,12,14,15,17,19,20,167178.247541249,327515.379671752,0
1,2,3,4,5,7,11,13,14,21,79478.405535322,353586.759266308,2
3,5,6,7,12,14,15,16,17,21,2738.14301694257,498915.097964633,9
1,2,6,7,8,9,11,12,20,21,151579.25621809,307102.060209286,2
3,6,7,8,9,11,13,14,18,20,200993.433220489,271602.129625129,0
1,4,5,7,8,15,17,18,20,21,11822.3635213724,661666.810136533,9
2,5,7,8,10,13,14,15,19,20,161840.842829554,411372.297141776,0
3,6,7,8,10,11,14,16,18,19,136613.046441552,323158.743202402,0
2,6,7,8,11,13,15,17,19,21,181906.038521479,260405.08768116,0
1,2,6,9,10,15,18,19,20,21,123115.406410238,400994.247484985,2
