V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,bestlam,rmse
4,5,6,7,8,11,12,15,17,19,249493.2757021,328708.28902774
1,4,10,11,14,16,17,19,20,21,219074.233114718,335798.358849015
3,6,7,8,9,10,12,13,19,20,186821.092859111,357331.139088851
1,4,7,9,11,12,14,18,20,21,220987.039458505,306501.651055987
1,4,5,7,9,13,17,18,20,21,238570.572801488,326991.634969238
4,5,6,7,12,15,16,19,20,21,194668.535702781,358514.193257847
1,3,4,6,7,8,9,13,14,21,162174.737833833,366866.155770715
1,2,3,4,5,8,11,14,18,21,181779.197227417,351303.916284453
3,4,10,11,12,13,17,19,20,21,160770.190076972,364057.982847665
3,6,9,10,11,14,17,18,19,20,244638.756608785,285985.345140102
1,4,5,8,10,11,12,13,20,21,258888.872168475,308870.004642804
1,3,4,6,9,10,12,18,19,21,226750.856705161,348911.382935131
1,2,3,4,7,8,9,15,16,20,232502.760929624,352485.924152243
2,7,8,9,11,14,15,17,19,20,172163.922316326,336092.707659847
1,3,4,7,9,13,16,17,18,19,195064.031993767,346046.756932897
2,3,6,7,8,11,15,17,19,21,272471.37495653,241047.87367134
3,4,5,9,12,14,15,16,17,21,268284.170767654,298736.609866146
1,2,4,8,9,10,11,15,17,19,282538.201770645,302343.12811722
3,8,10,11,12,13,14,16,18,21,282608.669678857,277028.037455367
1,2,4,6,8,9,13,14,16,20,241379.943952518,290817.141203147
3,5,6,9,10,11,15,18,20,21,276264.339616194,319131.675274723
2,3,6,8,10,11,14,15,18,20,273579.075278383,322670.028627937
1,3,4,8,9,13,14,17,19,20,171263.233941758,300791.883409033
2,5,7,9,12,13,15,16,17,18,241967.430907996,313033.263710713
3,4,5,6,10,11,12,14,16,19,173779.088551215,351659.396470841
1,2,3,7,9,12,13,14,15,18,201758.443010416,343070.520024047
2,5,7,8,9,12,13,18,19,20,193760.600383256,350499.021351997
1,2,3,5,7,8,12,14,16,21,239124.563399324,346615.245025872
2,3,4,5,8,10,11,17,20,21,198169.746937252,354205.116599778
2,3,5,6,10,15,17,18,19,20,209348.365216233,349561.70598641
1,3,7,9,10,11,12,15,17,19,214366.807177114,340872.128984342
4,6,8,9,12,13,15,18,20,21,272536.470163694,289209.552916699
1,6,7,8,9,11,12,14,17,18,263100.861684591,310259.022033727
1,2,7,12,14,15,17,18,19,20,205714.52501613,339360.628405758
3,5,6,7,8,9,11,12,15,18,237368.600216626,343799.738979599
7,8,9,10,12,13,14,15,19,20,226620.09912943,334875.687540576
3,4,5,7,8,10,11,14,15,17,201819.424618715,342522.237735479
1,4,7,10,11,13,15,16,17,18,277055.314301828,269554.156521275
2,3,4,5,7,9,10,13,16,19,277817.76700848,293105.32824614
1,2,4,6,7,12,13,15,16,21,230118.896326359,330976.26010198
8,9,10,12,14,15,16,17,20,21,243844.892536362,335027.745367259
2,4,5,7,8,10,11,15,17,19,247282.119586214,320715.629360137
1,2,7,8,9,12,15,17,18,20,215806.577548289,330246.610282356
1,2,4,6,9,12,16,19,20,21,327735.295362927,223169.821262093
1,2,3,5,10,12,15,17,18,19,277008.579259878,279714.732765642
3,4,6,8,9,12,14,15,16,21,324547.424635578,283900.103209849
1,3,4,5,7,11,13,17,18,21,289482.048216199,260452.257338198
2,8,9,10,11,12,13,14,17,18,276743.345026687,274006.775973207
4,5,7,9,10,12,14,16,19,21,286356.08352534,300798.975780713
2,3,6,8,10,11,16,17,20,21,311438.115957994,304864.030139419
2,4,9,10,13,14,16,18,20,21,268001.892929181,284964.611761148
2,3,5,6,7,8,11,17,19,21,263608.324423231,296872.288815037
3,6,7,11,12,13,15,19,20,21,219172.634679096,331340.517527646
5,7,8,10,11,12,17,18,20,21,246725.435558936,325150.015334699
3,7,9,11,12,13,14,15,20,21,215149.666563973,332097.837356346
3,5,9,10,15,16,17,18,19,21,248820.823991624,329178.38731902
2,4,6,7,8,11,14,15,17,21,232331.465858986,336291.251840629
3,4,7,9,10,13,14,15,18,21,240206.750790179,333115.135848259
3,5,8,9,12,13,17,18,19,20,190125.741984232,288444.989219251
2,3,5,6,9,12,14,17,19,20,267970.401094829,311613.297000318
1,4,8,11,12,13,14,17,20,21,232089.488333985,354405.666853255
2,7,8,9,10,12,15,18,19,21,189496.777742447,357711.785161169
1,3,6,8,9,11,12,16,19,21,121012.129394418,342574.396912189
3,4,5,7,9,10,15,19,20,21,231093.614335592,349866.428024901
1,2,3,9,11,15,16,19,20,21,220820.329286687,242598.866771879
2,3,4,7,9,10,12,13,16,17,247605.953637815,303571.657584295
2,4,6,7,9,11,13,15,16,20,234987.143024055,306872.493546748
1,4,8,9,10,11,12,14,15,18,168305.92338837,279253.110926746
1,2,4,5,11,13,16,18,19,20,180277.096315866,293735.82476583
2,5,7,8,9,11,13,16,18,21,198253.476697572,324108.759996364
1,4,6,8,9,13,14,15,16,21,228404.401300009,327360.016616596
3,6,7,8,9,12,13,14,16,21,148095.574737094,304875.59900497
1,2,3,4,5,9,11,14,18,21,222308.459143336,316204.399481163
1,2,3,5,10,11,12,15,16,17,176779.015330534,358991.672169889
1,4,5,6,7,8,12,17,19,20,177392.165126094,348405.622114033
6,7,8,9,12,13,15,16,19,20,169236.516400292,356360.60359925
1,5,10,11,12,13,16,17,18,21,162751.98107574,351679.39214173
1,4,5,6,7,9,11,14,16,19,167363.16969567,359682.897395484
1,2,4,6,10,13,15,16,18,20,123261.981056158,351638.845861798
5,7,10,12,13,14,15,17,19,20,215952.160089337,205570.574145648
1,6,8,9,11,12,13,17,18,19,269064.593415226,283355.568200517
1,4,8,9,12,14,15,17,18,19,248113.582744181,286305.841787495
3,9,10,14,16,17,18,19,20,21,173033.591826187,249908.116864938
2,6,7,8,11,14,15,18,19,21,201942.319370756,267912.398207227
1,2,6,7,11,12,13,15,17,20,279340.484525113,306290.564564885
1,2,3,7,11,13,14,16,20,21,156584.460580666,314079.645005954
4,5,6,7,11,12,13,14,18,19,167272.609400734,277682.117330708
1,4,6,7,8,9,11,15,17,19,254593.781578536,293452.441644063
1,3,6,10,11,12,16,17,19,21,162126.079365875,349338.946115237
5,6,9,10,11,12,15,17,19,20,194548.749761728,333497.549125784
3,4,7,10,14,16,17,18,19,20,224344.374041492,343315.755084167
4,7,9,12,13,14,16,17,18,19,173881.047870999,336419.698611274
2,3,6,7,9,10,14,15,18,19,230085.61476294,346396.103199484
3,4,12,13,14,15,16,17,19,20,127191.96644515,335812.537721088
1,2,4,6,7,9,14,15,16,21,287616.886444952,238352.602310464
1,3,4,6,11,14,17,18,19,20,290375.288100671,241363.559111406
1,4,6,7,11,12,13,14,16,18,164553.654396523,190754.36517572
2,5,7,10,12,14,15,17,19,21,234444.429080153,215486.035034152
3,7,10,11,12,13,16,17,18,21,234220.264713939,299161.152425269
2,8,9,10,12,14,15,17,19,20,237819.377151666,274411.180749646
1,2,3,4,5,7,11,13,14,21,231606.921434473,288073.974485848
3,5,6,7,12,14,15,16,17,21,254923.220256201,277344.056945238
1,2,6,7,8,9,11,12,20,21,252724.050476196,291155.969989422
3,6,7,8,9,11,13,14,18,20,196758.621758769,276706.614986248
1,4,5,7,8,15,17,18,20,21,254336.396472039,319550.379679884
2,5,7,8,10,13,14,15,19,20,194699.624282059,298233.447968016
3,6,7,8,10,11,14,16,18,19,193147.299049356,310342.229040744
2,6,7,8,11,13,15,17,19,21,202175.079497402,301105.522126437
1,2,6,9,10,15,18,19,20,21,265481.684298242,313369.748661386
2,4,5,8,10,11,13,19,20,21,140637.675883858,300560.323258826
2,3,4,6,8,10,15,17,18,20,191854.820225751,343493.381043211
1,4,5,7,8,11,12,13,15,16,159065.912663276,350726.93026502
1,3,8,9,10,12,13,14,17,18,177764.112038182,346664.916529983
4,5,8,9,11,12,14,15,19,20,185323.349042183,348551.694639352
2,3,7,8,9,10,12,13,17,20,151725.955302801,405194.258611116
3,5,6,10,12,15,16,17,19,20,274282.42608162,368359.804170908
3,7,8,9,10,14,15,17,18,20,167009.428602497,383155.326194819
1,3,7,8,11,12,14,16,18,21,25541.0033993078,543596.558094897
1,2,6,7,9,10,13,17,18,19,45774.0575537085,487717.881738888
2,3,6,7,8,9,10,15,16,19,144023.647334384,399262.762657928
5,8,9,10,12,15,17,18,20,21,14755.6722655473,540055.401297914
1,3,4,5,10,12,13,14,15,18,276506.610532981,361402.396937951
1,2,6,9,10,13,15,16,18,21,210143.498572371,376883.961746623
1,6,7,8,9,12,14,16,18,20,133275.381708803,395588.953406735
2,3,4,5,7,10,13,17,20,21,192579.09417556,394617.402778747
1,2,7,8,11,13,15,16,18,19,137668.93548979,395602.123974018
3,4,5,6,7,8,9,11,15,21,132799.52641708,399218.718308088
5,7,10,11,13,14,15,16,19,20,263844.039857218,334559.743078769
2,4,6,8,9,10,13,15,20,21,264544.957634137,356022.449301787
1,2,6,7,10,11,13,17,18,21,294039.95904568,360656.67663827
2,8,9,10,11,13,16,18,20,21,294900.253096681,356216.721585463
4,5,9,11,12,14,15,16,18,21,149909.753500206,362195.496853562
2,3,4,7,9,10,13,17,19,20,173038.782908025,371841.766436552
1,3,6,8,9,11,14,15,18,21,183486.440624855,374959.443986946
1,2,3,4,5,6,9,16,20,21,235482.06375943,372073.033558825
2,3,6,9,13,14,15,18,19,21,202203.434173362,377382.509516536
4,7,9,10,11,13,14,16,18,20,4226.06981997079,548297.775749614
2,3,7,9,10,11,16,17,19,21,164892.674201121,386448.243535342
3,4,6,7,11,13,14,17,20,21,20910.6942091622,500283.794826312
2,3,6,7,9,11,16,19,20,21,143118.873127512,390437.541361118
5,6,8,9,11,14,17,18,19,21,25801.2760758488,452694.375135389
1,2,5,6,7,8,11,14,15,18,147631.413437712,397447.48249705
2,3,6,7,10,11,12,14,18,20,232885.227939408,383703.721835498
1,2,3,8,9,12,13,16,20,21,199167.658116711,399135.840501802
1,2,4,7,10,11,16,17,18,19,166352.235460246,418671.653721888
4,6,8,9,11,12,13,17,19,20,146518.42858854,419581.177910831
4,7,9,10,12,13,14,16,17,20,135397.971796151,424937.540526385
1,4,5,6,7,8,9,11,17,20,146635.657699165,423942.105166496
1,2,3,5,9,10,14,15,17,19,240485.483288221,356448.380352466
2,3,5,6,10,12,14,15,18,20,221898.01410005,383070.736417289
1,2,3,5,8,9,14,15,19,20,238743.725729169,386937.310461161
1,3,7,9,10,11,14,17,19,20,247797.363787458,378302.867391878
2,4,6,8,9,15,16,17,18,20,237787.970623501,385308.168279299
2,3,5,6,9,13,16,17,18,20,160934.679801899,396546.769645943
1,2,3,7,9,10,14,15,18,19,180757.023842543,401114.538967971
1,6,7,9,10,11,13,14,15,21,189036.857650202,394096.554101684
4,5,6,7,11,16,17,19,20,21,188207.138741723,400431.529732714
1,3,11,13,14,15,17,19,20,21,3657.90073242482,563268.416080277
1,3,4,5,6,8,13,15,16,19,96905.8216572201,403999.651127023
1,2,5,7,8,11,16,17,18,19,4313.49620692162,525380.989508566
1,3,4,5,10,11,12,16,18,19,134941.251485911,408497.240222704
