V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,bestlam,rmse
2,4,5,6,9,11,15,18,20,21,22,1656.68865249836,2702.91047626088
1,2,3,6,8,10,11,12,15,17,18,2904.59385498369,2187.71898665345
4,6,7,11,12,13,14,15,16,18,22,150.04084273509,5215.39082028422
2,3,6,8,9,11,16,18,20,21,22,1614.8408511531,1837.55346381398
1,5,6,7,11,12,13,15,18,19,21,1200.90853060041,3736.25923721586
3,5,6,8,9,10,14,16,18,20,21,1750.71674167008,3053.43188775113
1,2,4,5,7,8,11,12,13,14,18,2158.3495457516,3176.29455411861
2,5,6,7,10,11,13,15,16,20,22,2005.29062823913,2961.6228723696
2,3,4,5,6,7,12,15,16,19,22,1689.78625516336,3384.67291782646
2,6,7,8,10,13,14,18,19,20,22,247.870781691978,3790.31118150011
4,7,8,9,10,16,17,18,19,20,21,1528.27865838793,2960.00656620643
1,3,4,6,9,10,12,13,14,17,21,1951.6805109174,3965.08916331122
1,2,5,7,9,13,14,16,17,19,20,776.536959204763,4399.76560175126
1,2,3,4,5,10,11,12,13,18,20,2095.09534977007,3430.46497999821
2,5,6,9,10,11,15,16,17,18,20,2198.0638544069,1887.98698591864
3,6,7,10,11,13,14,16,18,20,22,1523.61816200663,4027.06638250373
1,2,6,7,9,10,11,13,15,17,19,1802.42028008574,2329.0284798642
2,3,6,7,8,9,12,16,17,19,20,825.005595663425,3322.99281230836
1,4,9,10,12,13,15,16,17,18,21,2684.5058304941,2122.66208923688
1,3,4,8,9,13,14,15,16,17,21,1642.47916218162,3366.61036186171
2,4,5,6,10,11,16,17,19,20,22,451.647635490533,3896.85041072675
1,2,8,9,11,12,13,16,19,20,22,1557.60497746519,3725.53672979727
1,5,7,11,12,13,14,15,19,20,22,2454.19227617126,2488.90759579543
2,7,9,10,12,14,15,17,18,19,22,2370.7293964809,3213.86313066293
1,3,4,6,8,9,10,12,14,15,21,2850.31367713717,3507.05058765768
1,3,4,7,8,10,11,12,16,17,21,1863.77387213235,3567.74548772035
2,3,7,8,11,14,15,16,19,20,21,643.322993734155,4034.96915803043
1,5,7,9,10,11,15,16,19,20,21,2205.36525323557,2824.73608956229
2,4,5,6,7,10,12,16,17,19,20,574.316362184925,4039.7633808387
1,3,5,8,10,11,12,17,19,21,22,2588.12416914855,1778.05951429181
3,4,5,7,11,13,15,17,18,20,21,402.963246286696,4312.79959463726
1,5,6,7,8,9,12,13,16,18,20,1834.30249078178,2375.87536172487
1,2,5,11,12,15,17,18,20,21,22,361.615710416047,4614.68632584962
1,4,7,8,9,10,11,13,14,20,21,710.234454556724,4112.93682246475
2,5,6,8,9,10,12,13,18,20,22,1658.38280066098,2559.96573456602
2,3,7,11,12,13,15,16,18,21,22,3314.2021357098,3201.69411556562
4,6,9,10,11,12,14,16,18,19,21,1338.25353572553,4099.45460082076
4,5,8,9,12,13,16,17,19,20,22,39.1263305975347,6353.73799591417
1,2,4,5,7,8,9,10,14,15,22,36.5872753593709,7463.12142419905
1,2,3,4,5,6,9,12,15,19,22,2156.2501732362,3180.84899392958
1,4,7,10,11,12,15,18,19,20,21,1615.39098309527,3685.73657881882
4,5,9,10,11,13,14,16,18,19,20,49.7409408672853,7307.98638460126
1,2,4,5,7,10,11,13,19,20,22,177.906278320772,2991.64047570307
2,7,8,10,12,16,17,18,19,21,22,51.2504504391897,6227.49103977948
2,4,7,8,9,12,13,15,17,21,22,2934.41008091338,3247.14146316698
1,3,8,9,10,12,15,16,18,20,21,2729.10175870041,3391.07840961374
3,6,7,9,11,12,14,15,16,18,21,891.415205419574,3151.41766819798
1,3,4,7,8,9,12,16,18,20,22,3105.19527855591,1771.02603446407
2,5,8,9,10,11,12,13,20,21,22,2042.84133085077,2572.5496873306
1,2,3,5,9,10,11,12,16,18,20,675.14531446749,3874.81147273104
1,4,9,11,12,13,14,15,17,19,22,1411.41131898218,3912.52849539778
3,4,6,7,9,17,18,19,20,21,22,402.222376619682,4658.68486423088
1,3,4,7,9,11,12,15,16,19,21,62.4340617811558,8200.63028755406
2,3,4,5,7,8,11,13,16,17,21,39.2008300070238,4897.51018164776
1,2,4,5,9,10,14,15,18,20,21,1050.7928360105,3704.12475997916
1,3,6,8,10,13,14,16,17,18,19,2147.35351128767,2633.99118749319
2,3,4,7,12,14,15,19,20,21,22,2343.4912152284,2136.24993413132
1,2,3,4,8,10,13,14,15,16,19,2860.00158556863,2428.07513970316
1,2,3,4,6,8,9,13,15,17,22,2863.97620695176,2512.61641336746
6,7,11,12,13,14,15,17,18,19,22,880.421030689358,2974.68443163277
2,3,6,7,10,11,12,15,17,18,21,2577.11632234312,3083.39109003386
1,3,4,6,7,11,16,18,19,20,21,76.8403968291577,7813.18497241147
1,2,4,8,10,11,12,13,16,18,20,1933.42422932322,1537.25635096752
1,5,7,9,10,13,14,16,19,21,22,1620.85470676441,3839.55823844542
1,2,7,8,9,10,12,13,15,18,19,2915.42526198019,3109.65432848598
1,2,3,8,13,15,16,18,19,20,21,1966.8726884802,3548.04301151465
2,3,6,8,9,12,13,14,19,20,22,340.926044821618,3887.16614953378
2,4,7,8,11,14,17,18,20,21,22,76.8833508936642,8290.80442878968
2,3,5,6,11,12,13,14,16,18,22,2049.80037236832,3739.6843213878
4,6,9,10,13,14,15,19,20,21,22,967.073234393091,3858.5016595049
6,7,9,10,11,12,13,14,15,16,20,1839.77691177087,3260.58711904059
3,4,6,7,9,11,13,16,19,20,22,2934.64515401663,3190.92195239996
2,3,4,7,10,14,15,16,17,18,20,1064.20288834721,3147.97629939189
1,9,10,11,13,15,16,17,18,21,22,459.263076095265,4207.9404618703
3,5,6,8,9,13,14,16,17,21,22,581.99014571006,4231.6953985578
1,2,3,5,7,10,13,17,20,21,22,62.9549865426808,6828.39899948564
1,2,3,4,6,11,13,16,18,19,20,1378.32140723533,4302.89014440363
3,5,7,10,11,15,16,17,18,19,21,2593.02028946947,2766.14126537312
1,3,9,10,11,12,13,14,15,18,19,2216.45027472235,2679.5442977805
