V1,V2,V3,V4,V5,V6,V7,V8,bestlam,rmse
3,4,5,9,10,12,14,16,241.019007106839,120.702903837963
1,3,4,7,9,11,12,13,59.2255078583347,47.7032630664774
1,3,6,7,10,11,13,17,85.4263044912068,332.352577895362
4,6,7,8,10,13,15,16,241.401509353937,64.8619728847874
3,6,8,10,11,12,13,15,86.9638751042843,298.30877297761
3,4,5,8,13,14,15,16,99.5404649026452,92.0776526506137
2,6,10,11,14,15,16,17,33.1475237023094,463.082383175979
2,3,8,10,12,14,15,16,37.8817348199657,419.29608552254
1,2,3,5,9,10,14,16,22.8729424499715,392.129526303274
2,7,8,10,11,13,14,15,81.1492515110434,423.554527364528
2,3,4,5,10,11,13,17,277.161312530739,86.2306612674918
1,2,3,6,7,8,9,17,66.8231538184726,318.51345962443
1,2,6,7,8,10,11,17,63.4064330825771,336.450935993813
1,4,5,7,9,12,14,17,220.901522460762,109.365915225984
2,5,7,9,11,15,16,17,59.8434968497462,384.777791724475
2,3,8,9,11,13,15,17,104.485518382431,322.431204172605
1,3,5,6,10,11,14,16,51.953925655482,333.041046398856
2,6,7,9,11,12,14,17,1.22157771560433,Inf
3,6,8,11,13,14,15,16,3.91839295446626,1118.83456662124
3,5,7,9,10,13,14,15,83.4611188861482,1077.21305379254
1,5,6,7,8,13,15,17,72.2765262214508,362.951121584232
4,6,7,8,9,13,15,16,250.667330788637,70.1525881269895
2,6,7,8,12,14,15,17,50.9178168106991,402.403002033847
1,6,7,9,14,15,16,17,18.795486335975,646.035407794789
3,7,9,10,11,13,14,15,92.6577380801248,1037.71223333677
1,2,3,4,10,12,13,17,266.523466405609,74.1363001161812
1,2,3,5,6,7,8,12,67.8386432583847,331.89571903853
2,5,8,9,10,11,14,16,8.48293310800778,574.002707762936
1,2,4,8,9,10,12,14,231.140072442406,116.452015420193
5,6,7,9,11,13,16,17,53.4399033186726,293.823740355675
4,7,8,9,12,14,16,17,229.716558249394,116.120261077384
1,4,5,8,10,11,14,16,238.74340450453,121.542336569586
1,4,5,8,10,11,13,17,71.7239884445928,76.3103779546892
2,3,4,7,10,12,15,16,202.401860082609,113.514807290588
2,3,4,7,10,11,13,17,264.146294087143,63.3908865890181
1,2,5,6,11,13,15,16,90.9043936296579,316.08269088894
3,5,7,8,9,11,14,15,58.7961216246438,1063.0069447024
1,3,4,5,6,11,12,13,216.294748221846,75.4728449629228
1,4,7,8,10,13,14,17,39.6811126222968,23.4840448625914
2,3,6,8,11,12,13,17,2.38057320410578,419.69498338995
1,4,5,9,10,12,14,17,227.422045135198,119.919471890774
2,6,7,8,10,13,15,17,88.7909831780126,361.937555275468
1,3,5,7,10,13,14,16,47.6753767274852,349.318777246793
1,3,6,7,8,10,15,16,30.9688556310665,Inf
2,5,6,7,8,13,14,17,92.8326786051316,328.622477470327
1,2,3,7,8,10,11,15,42.6549796397645,373.350580780419
3,6,8,9,10,12,13,16,98.4014523826011,285.634858438205
3,4,5,7,8,9,11,16,235.243673013345,108.511454037009
3,4,6,7,11,12,13,16,280.917379083493,68.4058916546806
2,3,5,8,9,10,11,13,104.129212314042,295.132711397297
1,6,7,9,11,12,14,17,20.0195424467929,380.148223593892
1,2,6,7,10,11,12,16,60.0684613053941,391.57848557573
2,5,7,8,10,12,13,14,71.3887652656497,309.15967642901
1,3,8,10,12,13,15,16,86.0031084516398,376.000144813488
1,7,8,9,10,11,12,16,49.2767113659372,348.571482987037
1,2,5,12,13,14,16,17,87.5744366769153,340.122616316794
1,3,6,7,8,11,15,16,61.8540851856176,Inf
1,6,10,11,13,15,16,17,73.8006259567299,357.460491584833
3,4,10,11,12,15,16,17,194.625118539861,124.363115347633
2,3,4,8,13,14,15,16,166.962185418936,91.1787569699507
2,5,7,11,12,13,14,16,87.7260251072884,316.812906492021
2,3,4,5,10,11,15,16,259.211951611162,120.871562579967
2,7,10,12,13,14,15,17,69.8378843098509,433.000971510048
1,2,3,8,10,12,13,14,87.7090945117065,296.316867664611
1,2,3,8,9,12,13,17,105.369842896415,314.030513044818
1,2,4,8,11,13,16,17,268.750836916971,81.8865210147099
1,4,6,8,10,12,14,15,184.297392962395,119.657969959685
3,7,8,10,12,13,14,17,89.8971030893709,299.83123476192
1,5,6,10,11,14,15,17,6.23036439540626,1317.97287285994
1,4,5,8,12,14,15,16,189.433556304398,122.784431842874
2,4,5,6,7,9,14,17,243.799058052673,112.657732561429
2,4,5,7,8,11,16,17,271.473589068133,114.983665285545
6,10,11,12,14,15,16,17,32.9323990427462,837.854592980645
4,5,6,7,9,12,14,15,167.283369855298,112.061928490427
1,2,3,4,7,10,11,17,272.585255817694,105.575790974052
2,3,4,5,10,13,14,16,255.088896867545,87.995390880814
1,3,5,6,9,10,11,15,47.6898982925142,370.457057384672
1,3,7,12,13,14,15,16,72.6522580007151,1104.64829498829
1,2,5,6,7,8,11,13,84.7776116856643,298.084161555278
1,8,10,11,12,14,16,17,50.188347399024,532.217323429162
1,3,4,9,11,13,16,17,60.4536436771227,78.913960850655
2,3,4,5,6,10,12,15,201.37614893277,114.942134410713
3,6,7,8,9,11,13,14,103.27211912416,304.055729213869
1,2,6,9,13,15,16,17,83.056119570579,324.501781916718
1,4,6,11,12,15,16,17,194.838521247415,121.425866700011
2,3,4,9,13,14,16,17,254.290282202017,89.5745410388682
4,6,7,9,10,11,15,17,236.817045862894,112.99922558073
2,3,9,12,13,15,16,17,101.380827963835,354.718846178951
8,10,11,12,13,14,15,17,84.7692321777019,870.227927599455
1,3,4,5,10,12,13,15,169.226370903129,75.170795600794
5,6,7,9,11,12,15,17,58.5924925658555,239.75440595811
1,4,5,6,8,10,14,17,9.13038376521403,160.928674050456
1,6,7,9,10,11,16,17,1.68885373487014,458.636888465517
3,5,9,11,13,15,16,17,100.492172666245,332.666976679612
5,6,7,12,13,14,15,17,88.3982733818243,961.474101000018
3,5,9,11,12,13,14,16,94.5066909598862,371.131858544545
3,4,5,8,10,12,15,16,196.416817749761,121.068793950195
2,7,8,9,10,11,14,16,41.0933881365384,391.994679108538
2,6,7,8,11,12,14,17,1.19089021900255,499.61922803613
8,9,10,11,12,13,14,17,89.5935770872683,318.701423832538
3,5,9,10,12,13,15,17,95.4248752394003,299.044788588623
1,3,4,5,6,8,9,16,112.455570768054,111.782426260234
6,7,8,9,10,12,14,16,60.8908535323766,253.936136952035
1,5,7,8,10,13,15,16,74.4763946398297,356.478326087466
1,3,4,5,9,10,13,16,114.662873211673,73.001163926615
2,3,4,5,6,10,13,17,281.673705857288,85.1145923279933
1,2,4,6,10,11,12,17,235.9328223768,117.28697526964
2,3,4,5,6,9,14,17,254.971810469506,114.182541872892
2,7,8,10,13,15,16,17,82.2561856525043,373.314110752576
