V1,V2,V3,V4,V5,V6,V7,V8,bestlam,rmse
1,2,6,7,10,11,12,16,60.0684613053941,311.711055621297
2,5,7,8,10,12,13,14,71.3887652656497,325.548091042349
1,3,8,10,12,13,15,16,77.8331147325098,304.601616561609
1,7,8,9,10,11,12,16,49.2767113659372,376.377037149437
1,2,5,12,13,14,16,17,2.02308307135395,489.012949947746
1,3,6,7,8,11,15,16,61.8540851856176,Inf
1,6,10,11,13,15,16,17,73.8006259567299,343.29233539111
3,4,10,11,12,15,16,17,139.558314431196,124.363115347633
2,3,4,8,13,14,15,16,130.251067296687,91.1787569699507
2,5,7,11,12,13,14,16,87.7260251072884,340.387049338126
2,3,4,5,10,11,15,16,175.737149432554,120.871562579967
2,7,10,12,13,14,15,17,66.6636446844959,368.400808434231
1,2,3,8,10,12,13,14,86.5221761094853,269.855374972333
1,2,3,8,9,12,13,17,105.369842896415,312.587914559436
1,2,4,8,11,13,16,17,187.493909507585,81.8865210147099
1,4,6,8,10,12,14,15,173.01555304109,119.657969959685
3,7,8,10,12,13,14,17,74.6341543089669,327.591430718911
1,5,6,10,11,14,15,17,5.67687599412218,701.415450209106
1,4,5,8,12,14,15,16,163.616228649287,122.784431842874
2,4,5,6,7,9,14,17,138.656289818345,112.657732561429
2,4,5,7,8,11,16,17,192.198129852659,114.983665285545
6,10,11,12,14,15,16,17,32.9323990427462,267.427156039069
4,5,6,7,9,12,14,15,3.03296330038448,Inf
1,2,3,4,7,10,11,17,182.068628689319,105.575790974052
2,3,4,5,10,13,14,16,160.452336685122,87.995390880814
1,3,5,6,9,10,11,15,47.6898982925142,409.070543721387
1,3,7,12,13,14,15,16,72.6522580007151,311.294837064306
1,2,5,6,7,8,11,13,84.7776116856643,286.93297727907
1,8,10,11,12,14,16,17,13.6441451161183,790.272484255444
1,3,4,9,11,13,16,17,148.728862457914,78.913960850655
2,3,4,5,6,10,12,15,167.186016646747,114.942134410713
3,6,7,8,9,11,13,14,89.297376633782,331.566019447863
1,2,6,9,13,15,16,17,83.056119570579,400.325527306661
1,4,6,11,12,15,16,17,191.622597781802,121.425866700011
2,3,4,9,13,14,16,17,119.13678252021,89.5745410388682
4,6,7,9,10,11,15,17,144.062123902791,112.99922558073
2,3,9,12,13,15,16,17,101.380827963835,343.533140408289
8,10,11,12,13,14,15,17,70.3769057909864,467.91778160476
1,3,4,5,10,12,13,15,169.226370903129,75.170795600794
5,6,7,9,11,12,15,17,48.2122084589736,342.659258782893
1,4,5,6,8,10,14,17,160.903643464988,120.661222929963
1,6,7,9,10,11,16,17,15.7503064553611,Inf
3,5,9,11,13,15,16,17,100.492172666245,328.479509129575
5,6,7,12,13,14,15,17,88.3982733818243,323.664049546123
3,5,9,11,12,13,14,16,94.5066909598862,465.846579410234
3,4,5,8,10,12,15,16,157.008760381133,121.068793950195
2,7,8,9,10,11,14,16,41.0933881365384,406.216222056957
2,6,7,8,11,12,14,17,1.19089021900255,541.520873964577
8,9,10,11,12,13,14,17,89.5935770872683,384.317398087621
3,5,9,10,12,13,15,17,95.4248752394003,350.897730798357
1,3,4,5,6,8,9,16,168.770297827147,111.782426260234
6,7,8,9,10,12,14,16,60.8908535323766,268.821783787149
1,5,7,8,10,13,15,16,74.4763946398297,354.582158253973
1,3,4,5,9,10,13,16,145.142970875133,73.001163926615
2,3,4,5,6,10,13,17,163.44416643044,85.1145923279933
1,2,4,6,10,11,12,17,206.344689110005,117.28697526964
2,3,4,5,6,9,14,17,142.858278892849,114.182541872892
2,7,8,10,13,15,16,17,74.8251770855956,337.279571240367
1,7,9,10,12,13,15,16,82.0868094427225,377.452345652283
2,4,5,6,14,15,16,17,123.766849987134,112.469135603178
