V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,bestlam,rmse,bestlam_numpred
6,11,12,13,14,15,16,18,20,21,83156.7937135366,294486.450480855,1
2,3,4,9,11,12,13,14,16,19,169949.077665369,271677.459860683,0
2,4,5,9,12,14,17,18,19,20,82620.0627046565,313312.126550319,2
1,2,5,7,10,12,16,18,19,20,192.872403209343,1426025.81833144,7
1,3,7,8,10,14,15,16,17,18,109237.865159517,299416.135150054,0
1,3,4,5,6,10,14,16,17,20,90578.8018339685,360001.934407651,1
2,5,7,8,12,15,18,19,20,21,81590.3921626716,315446.505159252,3
3,5,6,7,14,15,16,18,20,21,24871.200031688,417239.847712752,4
2,3,5,6,10,13,14,16,17,21,9406.20763931666,481283.977820556,6
1,3,5,8,10,14,15,16,17,21,122610.356661023,364461.21774001,1
1,2,5,6,9,11,15,18,19,21,107671.769979001,355137.340592272,1
2,3,9,11,12,13,15,16,20,21,112598.877827801,251636.487974301,2
3,4,7,8,12,13,15,17,20,21,156620.689648525,298789.580604818,0
1,3,5,6,10,14,15,16,18,19,99275.6676520742,368062.243065118,1
1,4,7,9,11,13,14,16,17,20,111813.480202057,316723.020834496,0
1,3,6,11,12,13,14,15,18,21,95119.3178771026,281002.795942455,3
2,3,5,7,8,10,14,17,19,21,32788.4693210368,378127.982056202,6
1,5,7,8,10,13,16,18,20,21,78917.156550031,343332.692665249,1
2,3,5,7,8,12,15,17,18,21,48257.3386535821,446053.673503936,4
1,3,4,5,6,7,12,13,14,21,47962.33239311,388032.402798382,2
1,3,5,6,9,12,15,18,19,21,36442.5256382098,386559.774881736,3
1,3,5,6,9,13,15,16,17,20,108358.149296653,307791.873661382,1
2,3,6,7,8,10,15,17,19,21,155262.769867454,296927.321291438,0
1,2,5,6,11,13,14,17,18,20,118792.429204848,354869.393330975,1
3,4,5,9,11,15,16,17,19,20,90677.6805864603,343245.981740294,1
3,8,9,10,13,14,15,16,18,20,124076.42337129,252775.048617756,1
2,4,6,8,9,10,11,18,19,20,92113.0573576687,310962.902256006,1
2,4,8,11,12,14,17,18,19,20,155319.029938454,242190.244474986,0
1,2,3,5,6,8,11,13,19,20,76093.6306280073,334070.233550235,1
1,4,7,9,12,16,17,18,20,21,145157.015261526,298487.105758765,0
1,2,5,9,12,14,15,18,19,21,95171.5741374179,329054.874683175,2
1,2,5,9,10,11,14,15,16,20,865.434658865953,543066.916336286,7
1,2,3,4,6,12,13,14,17,18,969.798174090876,1041174.42018076,7
2,4,6,11,12,13,14,16,17,18,171831.78092743,252198.732767269,0
4,6,7,8,12,13,17,18,19,20,134860.817416454,427177.951981269,0
2,4,5,7,8,10,12,15,17,18,84289.2036495735,361360.412518297,2
