V1,V2,V3,V4,V5,V6,V7,V8,bestlam,rmse,bestlam_numpred
3,5,8,9,13,15,16,17,160.230316893038,157.142485201511,0
1,3,5,8,9,12,15,17,151.691575147143,177.252122666792,1
1,5,6,10,11,12,16,17,82.9414986009044,132.80367508448,1
5,6,7,8,13,15,16,17,172.514716775656,127.123709659311,1
2,7,9,11,12,13,16,17,150.939956331365,136.721008345509,0
1,4,5,10,11,12,14,15,26.9438623962859,344.283055337566,3
2,3,6,11,13,14,16,17,123.456298516199,149.014452863417,1
1,4,5,7,10,11,12,13,4.99476721464838,359.606112742754,4
1,3,5,6,8,11,14,17,105.341266737053,165.449765509804,1
2,4,5,10,11,13,14,16,38.7632494297097,331.436255170913,0
5,6,8,10,13,15,16,17,151.236670330888,129.277553190661,1
1,4,10,12,13,14,16,17,49.4740146784255,350.080411884451,1
1,2,3,5,6,11,15,16,137.733325024214,171.894038457038,0
2,3,7,9,10,12,14,16,150.845835075517,139.150928420921,1
1,3,5,7,10,11,12,13,129.506434467204,123.133102696693,0
1,4,6,9,11,13,14,15,52.7058637992917,330.455733051683,0
1,8,9,11,13,14,15,17,234.74437182919,131.899624351988,0
2,5,7,8,10,12,15,16,157.16793830584,135.617450485336,0
1,2,3,5,6,7,10,11,108.770954113708,136.26100800352,0
2,3,6,7,8,14,16,17,128.077266025066,149.46586211177,1
2,4,5,8,9,10,11,14,72.2033218807372,308.822191095713,1
1,3,4,11,12,13,14,16,46.3287624485322,335.406606077805,1
1,2,8,11,12,14,15,16,194.467049429548,151.593937226152,0
1,3,4,5,6,8,9,10,77.7933411496474,313.080381096017,1
1,2,4,5,8,10,13,17,31.2750078553168,358.158200591758,1
1,4,7,8,11,12,14,16,81.981521766991,323.268625303169,1
1,3,5,6,8,9,12,16,89.029827536336,183.195142083772,0
1,2,5,9,11,12,13,15,171.787426123964,152.331457576433,1
1,2,3,7,10,13,14,15,216.580852435184,127.056249457135,1
1,2,3,4,7,13,16,17,30.3238869038328,352.594728789637,1
2,3,4,6,7,9,11,13,27.4728686076615,332.598687992454,1
1,3,5,7,8,10,11,16,109.853019938053,118.113647590513,0
2,4,6,10,11,13,15,16,50.652891039871,328.336214461564,1
2,5,8,9,11,13,14,16,141.374405807526,156.960459490247,0
2,4,5,8,9,12,16,17,83.4703803794697,306.823879464771,0
2,3,4,5,6,7,13,16,27.8658743268113,335.664063781896,1
2,5,6,7,8,9,11,13,127.747943137496,158.835902975009,1
1,3,5,8,9,13,14,17,146.226882497233,139.22399050616,1
6,7,8,10,11,12,14,16,126.744554026211,130.590637829567,0
1,3,6,10,12,13,15,16,150.889505667319,123.853254438464,1
1,2,5,7,9,12,15,16,185.393423390456,138.390755516443,0
4,5,6,8,9,11,13,17,51.9373841008013,323.510017974669,1
1,2,3,4,5,6,10,12,79.2734959270668,311.727365433448,0
2,3,4,5,9,12,15,17,64.8955930635327,310.199330332347,1
1,2,3,9,13,14,15,16,197.416174321565,182.760167710753,1
1,2,9,10,11,13,14,17,153.774447383187,119.462936375713,1
3,4,5,6,13,15,16,17,63.5504117307032,324.840419562449,1
2,3,6,10,11,13,15,17,145.651269404729,148.127634121679,1
3,4,5,12,13,15,16,17,54.8336654520249,324.755391827999,1
3,4,5,7,10,11,12,17,83.8308028058683,315.365845579746,1
