"","V1","V2","V3","V4","V5","V6","pred1","pred2","pred3","pred4","pred5"
"204",1,2,4,11,12,13,"BY_recon_10","BY_recon_750","RY_recon_150","RY_Wet_Tim","BY_recon_100"
"205",1,2,5,6,7,8,"BY_recon_750","RY_SP_ROC","RY_discon_8","RY_DS_Mag_90","RY_Wet_Tim"
"206",1,2,5,6,7,9,"BY_recon_750","BY_min_flow_sepdec","RY_recon_70","RY_recon_8","RY_DS_Mag_90"
"207",1,2,5,6,7,10,"RY_recon_70","BY_recon_750","SY_discon_400","RY_SP_ROC","BY_recon_8"
"208",1,2,5,6,7,11,"BY_recon_750","SY_SP_ROC","BY_min_flow_sepdec","RY_recon_10","RY_recon_70"
"209",1,2,5,6,7,12,"BY_recon_750","RY_DS_Mag_90","BY_min_flow_sepdec","RY_Wet_BFL_Dur","RY_recon_70"
"210",1,2,5,6,7,13,"BY_recon_750","BY_min_flow_sepdec","BY_recon_10","RY_recon_8","BY_recon_500"
"211",1,2,5,6,8,9,"BY_recon_750","SY_discon_70","RY_DS_Mag_90","RY_SP_ROC","SY_discon_1000"
"212",1,2,5,6,8,10,"BY_recon_750","RY_recon_8","SY_discon_300","RY_recon_70","SY_discon_70"
"213",1,2,5,6,8,11,"BY_recon_750","SY_SP_ROC","RY_SP_ROC","SY_discon_70","SY_discon_1000"
"214",1,2,5,6,8,12,"RY_Wet_Tim","BY_recon_750","RY_DS_Mag_90","SY_discon_300","RY_recon_70"
"215",1,2,5,6,8,13,"BY_recon_750","BY_recon_500","BY_min_flow_sepdec","log_BY_tot_flow_sepdec","SY_discon_1000"
"216",1,2,5,6,9,10,"BY_recon_750","RY_recon_10","SY_discon_300","RY_recon_70","SY_discon_70"
