V1,V2,V3,V4,V5,V6,V7,V8,bestlam,rmse,bestlam_numpred
1,2,3,7,8,10,14,15,125.373553820353,1160.35007420502,1
1,4,7,9,10,13,15,16,346.427309941327,925.224658177633,1
2,4,5,6,7,10,14,16,199.400746221881,1042.74012202271,2
1,5,6,8,12,14,15,16,9.77697890325354,830.226399582229,7
1,5,6,9,11,12,13,16,707.159144909053,577.057216376755,0
1,7,8,9,11,12,13,15,312.793287461168,923.890032907102,0
1,4,7,8,11,12,13,16,311.881916207262,930.62803519968,0
2,5,6,10,12,14,15,16,13.1556005618178,682.78957682599,7
2,3,5,7,9,10,11,12,155.367648141196,956.685422925044,3
2,5,6,7,10,11,14,16,327.546684673088,923.215544936989,1
1,2,4,6,9,13,15,16,266.924338831579,779.098582398238,3
4,6,7,8,11,12,13,15,12.7371617299039,1765.14215706172,6
2,7,11,12,13,14,15,16,355.125962956397,937.576178515959,0
1,4,5,7,8,9,11,15,320.164612965263,943.965525786133,0
1,2,3,4,10,11,13,14,633.746349294345,635.970959526132,1
2,3,7,8,9,14,15,16,281.014291236575,932.737010851807,0
2,5,7,8,11,14,15,16,251.908815565823,934.634293556655,0
1,3,5,6,7,11,12,16,223.091158050623,892.256571681901,1
2,5,6,11,13,14,15,16,619.379319440216,615.252736628377,0
2,4,5,6,8,11,13,14,703.688622780936,628.845392724851,0
1,2,4,7,9,10,13,16,336.641384879166,903.32272411238,1
1,3,4,5,6,10,14,15,734.021285829224,619.960401053984,0
3,4,6,8,10,11,12,14,536.244672582445,534.927514971218,1
1,3,5,6,10,14,15,16,708.774406945946,629.780516092123,1
2,3,4,6,8,10,12,14,690.992574714483,603.360180176365,0
3,4,5,7,9,10,12,14,298.770818889032,936.137257344093,0
2,3,4,5,12,14,15,16,358.857464495513,512.177203945422,1
1,2,4,5,6,8,9,14,103.423814970393,866.512022948473,3
2,4,6,8,9,10,13,14,646.668742829279,632.716580163066,0
2,4,5,7,11,13,14,15,271.667070216736,957.760355163624,0
3,6,8,9,11,14,15,16,261.83482342295,637.966399373237,2
2,3,4,5,6,8,9,11,350.720109110759,724.492211151459,2
2,3,4,7,8,9,14,16,290.349228756309,938.171737778373,0
4,5,7,8,11,12,14,15,224.10904539301,1024.58094964112,0
2,6,8,11,12,13,14,15,16.3549511314185,1156.23490311404,6
1,2,3,6,7,9,10,15,384.87399099804,905.111660403145,1
2,3,4,5,12,13,15,16,18.2069963909516,539.133361510256,7
2,5,6,7,10,12,15,16,7.08190171700369,1200.96688591672,6
3,6,7,10,11,13,15,16,306.951220266371,838.838667408652,0
1,2,3,4,7,9,10,13,307.907412658207,913.084719844327,1
1,2,3,5,8,10,14,15,713.808945586668,629.482850716291,0
1,6,8,10,11,13,14,15,553.973603859834,634.335890891217,2
1,4,5,6,10,12,13,16,780.586392948275,534.447445815644,1
1,4,5,7,12,13,14,15,98.2668660134991,1210.00801660663,0
1,2,5,7,8,11,13,14,225.228344283806,1052.09110014347,0
2,5,7,8,9,13,14,15,281.56877816408,924.340004921294,0
4,5,6,7,12,13,14,16,250.631617614998,956.098151803598,1
1,9,10,11,12,13,14,16,555.228137389072,589.398435901336,1
1,3,5,6,11,12,13,15,630.242231950124,511.61565935059,1
1,2,4,6,8,9,10,15,691.028477404161,551.118358608505,1
1,2,3,5,6,7,8,14,44.5569943815483,1146.80447555793,2
4,5,8,9,10,13,15,16,30.8331875347126,1093.37698091713,6
2,3,4,5,8,9,13,14,9.2268263941758,585.288497357704,7
1,2,3,5,6,8,9,14,48.4064121242619,1489.78896669833,5
3,7,8,9,10,12,14,16,324.148660224061,931.323625556481,0
2,3,4,6,8,10,13,15,653.508084676743,682.338014400255,1
2,3,5,7,9,10,14,16,10.5747252019076,1127.84675091823,7
2,3,5,7,9,11,13,15,75.6403425194073,1097.4395782439,4
1,3,4,9,10,11,14,15,108.056562779686,708.275960269159,3
1,4,5,10,11,12,13,16,706.051832431004,480.4653827784,0
1,2,3,4,5,6,10,15,693.349381249351,598.002174522445,0
4,5,7,8,9,11,12,16,332.769841722049,795.338206661681,0
1,2,4,7,11,12,14,15,87.2378339902545,1187.33802102827,0
