V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,bestlam,rmse,bestlam_numpred
1,2,5,6,7,10,11,15,16,20,21,0.0835282802014072,0.513165373158148,2
1,2,3,4,7,8,11,15,17,19,21,0.266399564201753,0.259331244949258,0
1,3,4,6,7,9,10,11,16,17,21,0.113251668007261,0.433699182115971,3
2,3,4,5,6,7,8,11,12,14,22,0.135066817574274,0.451662719746711,1
2,3,4,6,7,9,10,12,14,16,18,0.104889536535197,0.466712376483492,1
2,3,5,8,9,10,11,13,17,19,21,0.181261014884031,0.430222957530491,2
1,2,3,4,6,7,8,14,16,19,22,0.00155625845615602,0.77475093951348,10
2,7,9,12,14,15,16,17,19,20,21,0.174245971498785,0.351668866962047,0
2,6,9,10,13,14,15,16,19,20,21,0.0620196577559473,0.469545990477463,4
2,4,5,6,7,8,9,11,17,21,22,0.181781472758099,0.460173360066455,0
2,3,4,5,8,10,11,16,18,20,21,0.183840861193225,0.394400712580469,0
1,2,3,5,6,11,13,18,19,20,22,0.0292033431398371,0.478931566409001,5
2,3,8,9,11,12,14,16,17,18,19,0.166659613081591,0.382263793410376,1
1,2,7,8,11,12,14,17,19,21,22,0.188684039154831,0.350521717153339,0
1,2,3,7,9,10,14,15,16,20,21,0.134052875510945,0.424010341680581,1
3,7,8,9,10,11,18,19,20,21,22,0.219074176114586,0.403124495003758,0
3,9,10,11,12,13,14,15,17,18,19,0.267754431267023,0.265589442385459,0
4,6,7,11,14,15,17,18,19,20,22,0.136500318327661,0.561664464796246,0
4,5,6,7,8,11,12,13,14,18,22,0.142467606596216,0.471215925807312,1
3,9,10,11,12,14,16,18,19,20,21,0.131846038412358,0.39506317083142,2
2,4,10,11,13,14,15,16,19,20,21,0.168305759860982,0.368207399322937,1
2,3,5,7,8,11,12,15,16,17,20,0.190791998544293,0.390973643494075,1
1,4,6,8,9,10,14,16,20,21,22,0.127750306607261,0.426266022669422,1
2,3,4,6,7,11,14,15,20,21,22,0.130938030133644,0.481487640442725,1
1,2,3,6,8,9,10,14,15,18,20,0.209854713938039,0.369907727385283,0
3,7,10,11,12,16,17,18,20,21,22,0.177888801204157,0.487041930955772,1
5,7,8,9,10,11,12,13,14,16,18,0.130052474338431,0.429905051073962,0
1,5,10,11,12,13,14,17,18,21,22,0.202135457268843,0.32861834831455,0
3,4,8,10,11,12,14,15,17,19,20,0.222450383898024,0.259216606610845,0
1,2,3,4,8,10,12,13,17,19,20,0.13644008120225,0.288521860121411,3
1,7,12,13,14,15,16,17,19,21,22,0.15717202880673,0.365250043641915,0
2,3,5,8,9,11,12,17,18,21,22,0.219371933824136,0.315178036008833,0
1,3,4,5,10,12,13,14,15,17,20,0.242887317513732,0.38418857772628,0
3,4,8,10,11,12,14,16,17,20,21,0.169466107127625,0.397847004703099,2
1,2,4,8,9,11,15,16,17,18,19,0.257397104522486,0.292877473020882,0
2,3,4,7,9,10,11,14,19,20,22,0.210154673654728,0.353028917684469,1
1,2,4,5,6,7,11,15,17,18,21,0.121662569351451,0.494021725028601,2
2,3,5,6,9,11,14,15,16,17,22,0.0753993613649209,0.576991356000001,2
1,3,6,8,9,13,16,19,20,21,22,0.0378869351571465,0.438195103463472,5
2,5,6,7,8,9,12,14,15,20,22,0.149951348953363,0.467297915176551,0
1,4,6,7,8,15,16,17,19,21,22,0.173051976979541,0.461097698302768,0
1,3,4,6,7,11,14,15,17,18,22,0.148409114074885,0.481850928628851,0
1,2,4,6,9,11,15,16,17,18,22,0.187040191607395,0.402345127443731,0
1,2,3,6,7,10,12,16,19,20,22,0.0313999362426084,0.586173156296469,7
2,3,10,11,12,14,15,16,18,21,22,0.191469608257109,0.363622778086811,0
1,2,4,6,7,11,15,16,17,19,20,0.202023124017298,0.430487113284851,1
1,2,5,8,10,12,14,15,17,18,21,0.213148120532284,0.361078462455745,1
1,2,4,7,12,13,14,15,16,19,22,0.0807190236780807,0.680278827292099,4
1,3,4,6,8,9,11,15,18,20,22,0.159183064545481,0.410994842294675,2
1,2,6,8,9,11,14,17,19,21,22,0.117010105437761,0.459620923802791,2
