V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,bestlam,rmse,bestlam_numpred
3,7,8,9,10,14,15,17,18,20,0.176997179513866,0.519578843671454,0
1,3,7,8,11,12,14,16,18,21,0.153118770766092,0.426744438341994,2
1,2,6,7,9,10,13,17,18,19,0.13909179978727,0.566353666474161,0
2,3,6,7,8,9,10,15,16,19,0.166311392517263,0.454372273892547,1
5,8,9,10,12,15,17,18,20,21,0.0741834875489926,0.33115117551007,3
1,3,4,5,10,12,13,14,15,18,0.0655598267935513,0.304182465388833,4
1,2,6,9,10,13,15,16,18,21,0.108534822833659,0.225346679410658,2
1,6,7,8,9,12,14,16,18,20,0.129615474764703,0.44746071101496,2
2,3,4,5,7,10,13,17,20,21,0.0812962360217506,0.370748559239796,2
1,2,7,8,11,13,15,16,18,19,0.0827218265381468,0.488729023248425,5
3,4,5,6,7,8,9,11,15,21,0.0977799756607699,0.416043478095947,1
5,7,10,11,13,14,15,16,19,20,0.0952561255094716,0.472574804370342,1
2,4,6,8,9,10,13,15,20,21,0.0935911639803091,0.253350935789737,2
1,2,6,7,10,11,13,17,18,21,0.129818925848382,0.462965699617228,1
2,8,9,10,11,13,16,18,20,21,0.114087411135218,0.224266735839045,1
4,5,9,11,12,14,15,16,18,21,0.00420675123381575,0.606938699152425,9
2,3,4,7,9,10,13,17,19,20,0.13070662643722,0.574598876366141,0
1,3,6,8,9,11,14,15,18,21,0.354062973976532,0.311430432696201,1
1,2,3,4,5,6,9,16,20,21,0.1024428000008,0.295447487174951,1
2,3,6,9,13,14,15,18,19,21,0.0482795047208522,0.344661857108458,5
4,7,9,10,11,13,14,16,18,20,0.0565682137133747,0.456819615746435,4
2,3,7,9,10,11,16,17,19,21,0.0917164384370095,0.482807383168364,3
3,4,6,7,11,13,14,17,20,21,0.0588823738741443,0.410698303056361,3
2,3,6,7,9,11,16,19,20,21,0.0836909392218003,0.387085638399853,1
5,6,8,9,11,14,17,18,19,21,0.0338313833884421,0.358811810552235,5
1,2,5,6,7,8,11,14,15,18,0.0525182128534268,0.476161202030739,3
2,3,6,7,10,11,12,14,18,20,0.0782494649565569,0.489395551715906,3
1,2,3,8,9,12,13,16,20,21,0.128793116613143,0.204585684497491,1
1,2,4,7,10,11,16,17,18,19,0.0604570628292221,0.65085738809662,3
4,6,8,9,11,12,13,17,19,20,0.195807835221196,0.194534799827571,1
4,7,9,10,12,13,14,16,17,20,0.112729152629009,0.585202875326009,1
1,4,5,6,7,8,9,11,17,20,0.0455297848998657,0.394062818166555,3
1,2,3,5,9,10,14,15,17,19,0.0601903022959842,0.393027914996673,4
2,3,5,6,10,12,14,15,18,20,0.08967058269323,0.315915853458799,4
1,2,3,5,8,9,14,15,19,20,0.0835536153763489,0.401352918936199,3
1,3,7,9,10,11,14,17,19,20,0.126837885183596,0.557180201198412,0
2,4,6,8,9,15,16,17,18,20,0.108929495861631,0.196387313731138,3
2,3,5,6,9,13,16,17,18,20,0.0514870312046432,0.353380939417175,4
1,2,3,7,9,10,14,15,18,19,0.179721642971541,0.52498937422156,0
1,6,7,9,10,11,13,14,15,21,0.089611577230902,0.477872439060799,2
4,5,6,7,11,16,17,19,20,21,0.00678090357070294,0.424707584536483,6
1,3,11,13,14,15,17,19,20,21,0.124038224701577,0.394168605081017,3
1,3,4,5,6,8,13,15,16,19,0.135000853408811,0.239342062168237,1
1,2,5,7,8,11,16,17,18,19,0.10738800181201,0.441686928962853,2
1,3,4,5,10,11,12,16,18,19,0.138316158058979,0.304390009374195,1
5,7,8,9,10,12,14,15,18,21,0.0721950698998032,0.432114072486308,2
3,4,6,10,13,15,18,19,20,21,0.109068589612839,0.264411970583487,2
1,3,7,8,9,12,14,19,20,21,0.0662859697949711,0.421200044232331,4
1,2,3,4,5,15,17,18,19,20,0.00443859766172537,0.819186732332192,10
4,5,6,10,11,12,13,17,18,19,0.203017545087097,0.30401420249524,1
1,4,8,9,14,15,16,17,18,19,0.265041933343817,0.244160178401566,2
