V1,V2,V3,V4,V5,V6,bestlam,rmse
1,2,4,6,8,11,29.1727303209527,35.8566514654828
1,2,4,6,8,12,35.0786663614611,32.9930246945159
1,2,4,6,8,13,10.8743988042744,47.7397212809162
1,2,4,6,9,10,7.17735284885915,24.2510037258945
1,2,4,6,9,11,20.0331395297639,33.0720168543187
1,2,4,6,9,12,27.7776440506073,30.6940115222514
1,2,4,6,9,13,0.874405837896695,Inf
1,2,4,6,10,11,4.76042663871291,38.1076456624921
1,2,4,6,10,12,28.5957354125651,29.023663790287
1,2,4,6,10,13,7.89215954704704,27.9131594022181
1,2,4,6,11,12,30.1277278947477,34.4975683715227
1,2,4,6,11,13,1.06917329146837,59.6963312979326
1,2,4,6,12,13,28.5184607855236,33.294744056527
1,2,4,7,8,9,30.4118165665704,31.5375391255775
1,2,4,7,8,10,21.9748090456088,30.5171877773533
1,2,4,7,8,11,22.1929058551632,35.7701632208092
1,2,4,7,8,12,30.9918613573889,28.5198638204864
1,2,4,7,8,13,33.9514792561088,31.1168054560496
1,2,4,7,9,10,30.7076240524514,27.2327143971729
1,2,4,7,9,11,33.4856160760233,33.0854417775222
1,2,4,7,9,12,1.93812625042357,32.5681668612441
1,2,4,7,9,13,31.1543897745121,30.5172299455223
1,2,4,7,10,11,0.992471019273661,55.5229117835794
1,2,4,7,10,12,8.01750792913239,34.2960726441137
1,2,4,7,10,13,0.968829864715587,43.2869413399818
1,2,4,7,11,12,11.4807226951155,31.1685095565673
1,2,4,7,11,13,16.2635642503706,37.386913173943
1,2,4,7,12,13,4.85591367295324,38.0591306147972
1,2,4,8,9,10,0.658195281308393,516.938723936534
1,2,4,8,9,11,29.4721435670906,35.0195657690983
1,2,4,8,9,12,28.2939944772018,32.1806322180423
1,2,4,8,9,13,18.1187577287647,39.5931558356285
1,2,4,8,10,11,25.0819771454761,33.7233858993268
1,2,4,8,10,12,35.1618977119607,30.8957910364448
1,2,4,8,10,13,0.646596098396965,49.3760815446785
1,2,4,8,11,12,31.6946473629884,33.860502174884
1,2,4,8,11,13,27.6440485089723,37.0437411046937
1,2,4,8,12,13,34.5808828309494,33.6048593892057
1,2,4,9,10,11,21.7697480083972,29.6010232119809
1,2,4,9,10,12,29.0365718146381,27.778240504501
1,2,4,9,10,13,8.11136345992378,26.6872765823191
1,2,4,9,11,12,31.178277979254,33.6629513612296
1,2,4,9,11,13,2.6170123636353,51.4366027149171
1,2,4,9,12,13,29.9394595067372,32.3408700681675
1,2,4,10,11,12,6.81819823090891,44.7786467514516
1,2,4,10,11,13,1.16136937999169,41.9576029444056
1,2,4,10,12,13,8.68983765928425,38.223968599331
1,2,4,11,12,13,16.5715017929131,39.0794297726267
1,2,5,6,7,8,10.6192516086381,45.6911546072803
1,2,5,6,7,9,29.0289983695639,36.9995888114111
1,2,5,6,7,10,0.765853176145756,49.7544642490254
1,2,5,6,7,11,7.80926887305796,48.3938150068681
1,2,5,6,7,12,32.8723244673177,35.2402508646677
1,2,5,6,7,13,3.35914608896771,48.7311879078596
1,2,5,6,8,9,23.0486433560753,41.9395071044009
1,2,5,6,8,10,24.2747802986004,39.4085981438518
1,2,5,6,8,11,14.3440537987214,48.4981203512968
1,2,5,6,8,12,29.5375966834121,38.3751686585058
1,2,5,6,8,13,9.77763833053844,49.7392847144482
1,2,5,6,9,10,10.7554638458638,43.0977998228547
1,2,5,6,9,11,17.7420895538809,46.3292398545728
1,2,5,6,9,12,24.5784607402774,38.8903682093309
1,2,5,6,9,13,10.0289779644194,43.1550843717717
1,2,5,6,10,11,1.00608826883807,57.7120499826087
1,2,5,6,10,12,24.4867599029283,37.1148356765355
1,2,5,6,10,13,10.9915485463918,44.317410640174
1,2,5,6,11,12,24.2528666388927,41.072878319665
1,2,5,6,11,13,9.43940491675012,52.7079867836197
1,2,5,6,12,13,23.917408773728,41.903699217551
1,2,5,7,8,9,17.1961049567859,41.1441883268886
1,2,5,7,8,10,15.238735124129,40.6936896331866
1,2,5,7,8,11,21.964378960608,40.0675136660189
1,2,5,7,8,12,20.6213809739197,32.8694389727444
1,2,5,7,8,13,2.99766386812935,Inf
1,2,5,7,9,10,0.877833853610345,55.9235388638517
1,2,5,7,9,11,30.3437956646147,38.2469315275302
1,2,5,7,9,12,34.6796138294674,34.6865159831858
1,2,5,7,9,13,0.867453612513214,Inf
1,2,5,7,10,11,0.883455106020219,59.2095064526138
1,2,5,7,10,12,1.01798737004653,49.0204161783914
1,2,5,7,10,13,0.910297675075679,58.3783471571239
1,2,5,7,11,12,21.8372000923156,33.3074909061653
1,2,5,7,11,13,8.59456305443227,53.872893145096
1,2,5,7,12,13,17.7215005308725,34.3889767976462
1,2,5,8,9,10,23.7763376770195,39.7546819041443
1,2,5,8,9,11,23.77132712434,45.9361295978345
1,2,5,8,9,12,23.259611201767,39.8927582187401
1,2,5,8,9,13,23.3206208648748,44.4290912713365
1,2,5,8,10,11,9.76933895599062,54.26402238778
1,2,5,8,10,12,29.9851345019368,36.2013193836598
1,2,5,8,10,13,0.639242898775943,Inf
1,2,5,8,11,12,25.4598908304351,38.2435385419085
1,2,5,8,11,13,26.9400197826661,43.7517451082305
1,2,5,8,12,13,28.8877355899392,39.949258340502
1,2,5,9,10,11,21.1898039237309,39.8614596234593
1,2,5,9,10,12,24.7612439235255,35.8214109635862
1,2,5,9,10,13,11.2665084653191,40.3798299139865
