Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,FA_Dif_num,SP_ROC,SP_ROC_Max,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5,Mean_Ann_Flow,WY_Cat
1980,115,311,38,75.5,11,1040,25,1016,0.049065233089946245,0.12422360248447205,99,1520,212,167,415.2,798.5,45,NA,104,105,NA,4,1,13440,4520,10960,NA,1,1,694.7650273224044,mod year
1981,132,276,14,56.599999999999966,3,80,42,41,0.07428571428571429,0.20588235294117646,63,866,213,152,166.4,480,61,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,300.17917808219175,dry year
1982,85,327,81.5,210.5,2,27,26,13,0.055447501333249674,0.23564954682779457,174,3310,153,110,748,1400,43,81,64,80,1,14,2,13440,4520,10960,1,4,1,1183.4767123287672,wet year
1983,51,360,203,553.8999999999997,2,210,24,125,0.04,0.2060931899641577,119,4830,241,194,637.6000000000001,1460,47,NA,78,NA,NA,10,NA,13440,4520,10960,NA,7,NA,1265.654794520548,wet year
1984,89,316,59.5,166.00000000000006,4,427,38,222,0.046511627906976744,0.22488038277511962,91,2780,225,179,713.7,1060,46,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,821.1612021857924,wet year
1985,127,299,43.5,107.19999999999999,12,131,21,71,0.056818181818181816,0.15027322404371585,84,964,215,175,325,531.5,40,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,425.8493150684931,mod year
1986,91,302,46.5,89.80000000000001,6,129,25,85,0.06097560975609756,0.3423019431988042,143,6690,159,98,146.6,611,61,141,140,141,1,7,1,13440,4520,10960,1,3,1,719.1452054794521,mod year
1987,145,280,18,41,1,81,2,34,0.05537459283387622,0.12889518413597734,60,1100,220,192,134.4,378,28,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,313.8419178082192,dry year
1988,107,291,16.5,34,1,30,37,12,0.07142857142857142,0.2127659574468085,41,720,250,190,304,469,60,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,309.2584699453552,dry year
1989,88,298,27,47,3,35,19,16,0.05705852607510333,0.22994652406417113,76,1870,222,189,131.50000000000003,349.5,33,NA,161,NA,NA,1,NA,13440,4520,10960,NA,1,NA,492.3205479452055,mod year
1990,107,292,17.5,39,1,49,4,19.5,0.07303370786516854,0.32857142857142857,52,2100,240,219,128.9,276.5,21,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,280.1545205479452,dry year
1991,146,284,16,51.20000000000002,2,28,7,10,0.08833922261484099,0.25,37,480,247,213,56,202,34,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,164.1904109589041,dry year
1992,103,293,22,75,7,53,50,36,0.0718562874251497,0.15584415584415584,72,593,221,156,103.4,320,65,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,202.27158469945354,dry year
1993,143,317,70,132.80000000000007,2,53,3,31,0.06451612903225806,0.3652173913043478,73,4600,244,213,70.3,674,31,NA,205.5,NA,NA,4,NA,13440,4520,10960,NA,2,NA,690.4,mod year
1994,192,271,10,66,6,109,65,39,0.06609326346168451,0.15555555555555556,51,829,220,125,184.5,262,95,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,167.75616438356164,dry year
1995,102,333,69,96.19999999999999,7,45,68,35,0.06680161943319839,0.19375812743823148,99,2290,234,136,872.2,1530,98,NA,103.5,NA,NA,8,NA,13440,4520,10960,NA,4,NA,948.2383561643836,wet year
1996,98,314,34,97,5,193,63,123.5,0.05828220858895705,0.12244897959183673,79,2600,235,165,826,1435,70,NA,132,NA,NA,1,NA,13440,4520,10960,NA,1,NA,871.1366120218579,wet year
1997,253,165,128,829.2,7,97,26,61,0.02914644012944984,0.1680327868852459,41,2440,124,77,947.6,1905,47,92,50,92,3,10,4,13440,4520,10960,1,3,1,969.6520547945205,wet year
1998,81,346,115,1270.0000000000011,4,216,32,87,0.05291513774826723,0.135,92,2390,254,201,227.1,1390,53,NA,141,174,NA,5,2,13440,4520,10960,NA,2,1,998.9260273972603,wet year
1999,100,324,63,182,3,174,48,59,0.05263157894736842,0.15934065934065933,87,2820,237,175,527,1240,62,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,868.2301369863013,wet year
2000,154,308,50,97,5,141,30,78,0.06936410667582994,0.13793103448275862,71,1770,237,178,209,1030,59,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,582.1612021857924,mod year
2001,170,260,5.3,16,NA,NA,NA,15,0.10589700996677741,0.3153846153846154,32,1040,228,131,99.1,177,97,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,132.40356164383562,dry year
2002,137,301,15.1,78.08000000000001,4,502,53,496.7,0.0625,0.13357400722021662,59,1030,242,177,410.8,638,65,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,411.00109589041097,mod year
2003,97,329,61.400000000000006,114.6,15,37.5,34,22.4,0.06579992128865661,0.19,87,2300,242,169,633.3000000000001,1240,73,NA,89,NA,NA,2,NA,13440,4520,10960,NA,1,NA,807.0358904109589,wet year
2004,127,305,25.299999999999997,95.26,5,99,29,35.1,0.06450330315634942,0.15760869565217392,88,1470,217,156,308,756,61,NA,141,NA,NA,1,NA,13440,4520,10960,NA,1,NA,489.69754098360653,mod year
2005,109,310,27.75,204.70000000000005,3,103,25,77,0.07197076717334389,0.18120805369127516,70,1570,240,173,329.29999999999995,555,67,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,435.7249315068493,mod year
2006,115,321,61.900000000000006,286,9,488,38,460.2,0.06002728512960425,0.15637860082304528,89,3600,232,178,607,1580,54,92,83,92,1,12,1,13440,4520,10960,1,3,1,1251.7605479452054,wet year
2007,129,279,12.649999999999999,91.49000000000001,12,103,42,39.5,0.05640952252676944,0.14153846153846153,102,1120,177,106,330.6,670,71,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,410.38372602739724,mod year
2008,86,310,19.4,39.74,11,778,20,764.3,0.0504626092861387,0.1436567164179105,68,1340,242,199,166.6,502.5,43,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,411.81666666666666,mod year
2009,117,286,10.65,27.59,11,39.9,12,19.299999999999997,0.07035283993115314,0.19655172413793104,55,1160,231,200,101,228,31,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,269.32679452054794,dry year
2010,84,318,47.3,316.6000000000002,2,32.9,17,21.5,0.06866952789699576,0.14792899408284024,60,1690,258,220,54.4,472,38,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,462.88726027397263,mod year
2011,124,330,94.8,108.60000000000001,4,755,25,707.6,0.056338028169014086,0.2554112554112554,58,2310,272,235,411.5,1025,37,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,768.8882191780822,wet year
2012,109,306,20.5,55,NA,NA,NA,36,0.06417112299465241,0.19052987598647125,77,1680,229,140,175,635,89,NA,183,NA,NA,1,NA,13440,4520,10960,NA,1,NA,434.20090163934424,mod year
2013,209,276,45.95,56.21000000000001,2,55.4,45,34.65,0.06256463703050467,0.1331521739130435,55,1060,221,171,259.1,427,50,NA,66,NA,NA,1,NA,13440,4520,10960,NA,1,NA,326.5160547945205,dry year
2014,156,260,8.09,70.74000000000001,NA,NA,NA,22.199999999999996,0.05084745762711865,0.11940298507462686,68,443,192,72,82.12,421,120,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,169.62449315068494,dry year
2015,248,221,9.38,225.40000000000003,5,192,26,183.785,0.05103738943255612,0.5046875,91,12800,130,79,282.90000000000003,532,51,NA,130,130,NA,3,1,13440,4520,10960,NA,1,1,404.6820273972603,dry year
2016,129,305,18.549999999999997,527.4000000000001,14,692,71,682.47,0.05958549222797938,0.16595744680851057,110,2380,195,91,1060,1560,104,NA,158,NA,NA,1,NA,13440,4520,10960,NA,1,NA,676.9865846994536,mod year
2017,95,319,61.2,84.44999999999999,7,486,17,467,0.059480676328502374,0.24671052631578946,102,3650,217,148,813.4,1720,69,NA,104.5,133,NA,8,1,13440,4520,10960,NA,4,1,1193.4364383561644,wet year
2018,173,268,13.4,62.44000000000008,4,114,42,52.6,0.08097014335614594,0.15876288659793814,50,606,218,169,146,372.5,49,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,255.23306849315068,dry year
2019,174,305,53.5,133.99999999999997,4,108,61,94.5,0.0673076923076923,0.23655913978494625,77,2100,228,152,239.20000000000005,918,76,NA,191,NA,NA,1,NA,13440,4520,10960,NA,1,NA,565.7504383561644,mod year
2020,158,278,8.85,15.520000000000001,6,273,69,219,0.09303583502366466,0.14577259475218649,34,517,244,130,174,268,114,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,168.07300546448087,dry year
2021,131,268,9.32,18.110000000000014,2,35,47,26.119999999999997,0.06558492728705495,0.14945652173913035,40,422,228,157,89.09,279.5,71,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,151.23150684931508,dry year
2022,159,290,9.325,45.13999999999999,2,501,25,491.6,0.08384644148074288,0.21521335807050093,41,539,249,215,112.5,259,34,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,190.14778082191782,dry year
2023,117,310,47.5,83.3,16,40,62,30.59,0.06262254901960787,0.18050541516245489,78,3000,232,148,268,693,84,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,513.2815616438356,mod year
2024,NA,301,33.2,43.4,8,83.8,40,36.199999999999996,0.06306306306306306,0.12121212121212122,71,1910,230,168,251,917,62,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,553.948087431694,mod year
