pred1,pred2,Fstat,pval,Rsquare,adjRsquare,AICc
BY_tot_flow_sepdec,RY_recon_20,1.05,0.08362,0.208,0.010,118.4
RY_tot_flow,RY_recon_20,0.21,0.15329,0.050,-0.188,120.4
SY_tot_flow_janjul,RY_recon_20,0.28,0.02359,0.066,-0.168,120.2
log_tot_flow_CFLP,RY_recon_20,0.20,0.79601,0.048,-0.190,120.4
log_BY_tot_flow_sepdec,RY_recon_20,2.26,0.13846,0.361,0.201,116.1
log_RY_tot_flow,RY_recon_20,0.40,0.48000,0.091,-0.136,119.9
log_SY_tot_flow_janjul,RY_recon_20,0.21,0.74216,0.049,-0.189,120.4
BY_FA_Mag,RY_recon_20,1.92,0.29296,0.490,0.235,81.6
BY_FA_Tim,RY_recon_20,0.15,0.12644,0.071,-0.394,85.8
BY_FA_Dur,RY_recon_20,2.75,0.79100,0.579,0.368,80.2
RY_Wet_Tim,RY_recon_20,2.70,0.00381,0.403,0.254,115.3
RY_Wet_BFL_Dur,RY_recon_20,3.11,0.68992,0.438,0.297,114.7
RY_SP_ROC,RY_recon_20,0.22,0.76871,0.052,-0.185,120.4
RY_DS_Mag_50,RY_recon_20,0.78,0.78633,0.164,-0.045,119.0
RY_DS_Mag_90,RY_recon_20,1.39,0.00339,0.258,0.073,117.7
RY_FA_Mag,RY_recon_20,1.41,0.08239,0.414,0.121,83.3
RY_FA_Tim,RY_recon_20,0.02,0.28836,0.011,-0.484,86.9
RY_FA_Dur,RY_recon_20,0.36,0.24106,0.153,-0.270,85.8
RY_Wet_BFL_Mag_50,RY_recon_20,0.19,0.15481,0.044,-0.194,120.5
RY_DS_Tim,RY_recon_20,0.26,0.87677,0.061,-0.174,120.3
RY_SP_Tim,RY_recon_20,0.95,0.63157,0.192,-0.010,118.6
RY_DS_Dur_WS,RY_recon_20,1.05,0.93633,0.208,0.010,118.4
SY_Wet_Tim,RY_recon_20,1.51,0.46159,0.274,0.092,117.5
SY_Wet_BFL_Dur,RY_recon_20,0.44,0.06635,0.099,-0.126,119.8
SY_SP_ROC,RY_recon_20,0.82,0.69954,0.169,-0.038,118.9
BY_recon_10,RY_recon_50,4.82,0.00154,0.547,0.433,112.3
BY_recon_15,RY_recon_50,3.10,0.00221,0.437,0.296,114.7
BY_recon_20,RY_recon_50,1.38,0.00723,0.257,0.071,117.7
BY_recon_50,RY_recon_50,0.50,0.03187,0.110,-0.112,119.7
BY_recon_80,RY_recon_50,0.31,0.06867,0.071,-0.161,120.2
BY_recon_100,RY_recon_50,3.72,0.00180,0.482,0.352,113.8
RY_discon_10,RY_recon_50,0.85,0.42818,0.176,-0.030,118.9
RY_discon_15,RY_recon_50,0.57,0.60705,0.125,-0.094,119.5
RY_discon_20,RY_recon_50,0.41,0.73633,0.092,-0.135,119.9
RY_discon_50,RY_recon_50,0.36,0.79075,0.083,-0.146,120.0
RY_discon_80,RY_recon_50,0.29,0.87608,0.068,-0.165,120.2
RY_discon_100,RY_recon_50,0.29,0.87888,0.068,-0.166,120.2
RY_recon_10,RY_recon_50,0.39,0.03054,0.089,-0.139,120.0
RY_recon_15,RY_recon_50,0.30,0.02803,0.071,-0.162,120.2
RY_recon_20,RY_recon_50,0.20,0.02866,0.047,-0.191,120.5
RY_recon_80,RY_recon_50,0.29,0.13635,0.068,-0.165,120.2
RY_recon_100,RY_recon_50,0.48,0.17123,0.107,-0.116,119.7
SY_discon_80,RY_recon_50,0.31,0.94172,0.073,-0.159,120.2
SY_discon_100,RY_recon_50,0.30,0.99472,0.069,-0.163,120.2
BY_min_flow_sepdec,RY_recon_50,0.65,0.03148,0.139,-0.076,119.3
RY_min_flow,RY_recon_50,0.46,0.47678,0.103,-0.122,119.8
SY_min_flow_janjul,RY_recon_50,0.24,0.02110,0.058,-0.178,120.3
tot_flow_CFLP,RY_recon_50,0.20,0.17594,0.047,-0.191,120.5
BY_tot_flow_sepdec,RY_recon_50,0.94,0.31420,0.190,-0.013,118.7
RY_tot_flow,RY_recon_50,0.20,0.18422,0.047,-0.191,120.5
SY_tot_flow_janjul,RY_recon_50,0.28,0.02816,0.065,-0.168,120.2
log_tot_flow_CFLP,RY_recon_50,0.20,0.80465,0.047,-0.192,120.5
log_BY_tot_flow_sepdec,RY_recon_50,1.88,0.17994,0.320,0.150,116.7
log_RY_tot_flow,RY_recon_50,0.31,0.56508,0.071,-0.161,120.2
log_SY_tot_flow_janjul,RY_recon_50,0.20,0.73376,0.048,-0.189,120.4
BY_FA_Mag,RY_recon_50,1.90,0.45555,0.487,0.231,81.6
BY_FA_Tim,RY_recon_50,0.26,0.11759,0.113,-0.330,85.4
BY_FA_Dur,RY_recon_50,2.88,0.91038,0.590,0.385,80.0
RY_Wet_Tim,RY_recon_50,2.26,0.00622,0.361,0.201,116.1
RY_Wet_BFL_Dur,RY_recon_50,2.99,0.81740,0.428,0.285,114.8
RY_SP_ROC,RY_recon_50,0.28,0.82767,0.065,-0.169,120.2
RY_DS_Mag_50,RY_recon_50,1.03,0.76644,0.205,0.007,118.5
RY_DS_Mag_90,RY_recon_50,1.24,0.00791,0.237,0.046,118.0
RY_FA_Mag,RY_recon_50,2.66,0.69098,0.571,0.357,81.1
RY_FA_Tim,RY_recon_50,1.32,0.65632,0.397,0.096,83.5
RY_FA_Dur,RY_recon_50,0.66,0.66343,0.249,-0.126,85.0
RY_Wet_BFL_Mag_50,RY_recon_50,0.18,0.22456,0.043,-0.196,120.5
RY_DS_Tim,RY_recon_50,0.30,0.89562,0.069,-0.164,120.2
RY_SP_Tim,RY_recon_50,0.88,0.80539,0.180,-0.025,118.8
RY_DS_Dur_WS,RY_recon_50,0.47,0.43702,0.105,-0.118,119.8
SY_Wet_Tim,RY_recon_50,1.07,0.38122,0.211,0.014,118.4
SY_Wet_BFL_Dur,RY_recon_50,0.24,0.07460,0.056,-0.180,120.4
SY_SP_ROC,RY_recon_50,0.88,0.73663,0.180,-0.025,118.8
BY_recon_10,RY_recon_80,5.02,0.01805,0.556,0.445,112.0
BY_recon_15,RY_recon_80,2.79,0.02090,0.411,0.264,115.2
BY_recon_20,RY_recon_80,1.21,0.04987,0.233,0.041,118.1
BY_recon_50,RY_recon_80,0.21,0.10638,0.050,-0.187,120.4
BY_recon_80,RY_recon_80,0.11,0.15818,0.026,-0.218,120.7
BY_recon_100,RY_recon_80,3.62,0.00745,0.475,0.344,113.9
RY_discon_10,RY_recon_80,0.86,0.35713,0.176,-0.030,118.9
RY_discon_15,RY_recon_80,0.58,0.50515,0.127,-0.091,119.5
RY_discon_20,RY_recon_80,0.42,0.60765,0.094,-0.132,119.9
RY_discon_50,RY_recon_80,0.37,0.65850,0.084,-0.144,120.0
RY_discon_80,RY_recon_80,0.28,0.71043,0.066,-0.167,120.2
RY_discon_100,RY_recon_80,0.28,0.71220,0.066,-0.168,120.2
RY_recon_10,RY_recon_80,0.43,0.13392,0.096,-0.130,119.9
RY_recon_15,RY_recon_80,0.34,0.13309,0.078,-0.152,120.1
RY_recon_20,RY_recon_80,0.20,0.12967,0.048,-0.190,120.4
RY_recon_50,RY_recon_80,0.29,0.13635,0.068,-0.165,120.2
RY_recon_100,RY_recon_80,0.18,0.31491,0.042,-0.198,120.5
SY_discon_80,RY_recon_80,0.06,0.95657,0.014,-0.232,120.8
SY_discon_100,RY_recon_80,0.05,0.91135,0.013,-0.234,120.8
BY_min_flow_sepdec,RY_recon_80,0.35,0.14948,0.080,-0.150,120.1
RY_min_flow,RY_recon_80,0.50,0.49078,0.111,-0.111,119.7
SY_min_flow_janjul,RY_recon_80,0.09,0.11472,0.023,-0.221,120.7
tot_flow_CFLP,RY_recon_80,0.01,0.28409,0.002,-0.247,121.0
BY_tot_flow_sepdec,RY_recon_80,0.99,0.51718,0.199,-0.002,118.5
RY_tot_flow,RY_recon_80,0.04,0.25909,0.010,-0.238,120.9
SY_tot_flow_janjul,RY_recon_80,0.22,0.10012,0.052,-0.185,120.4
log_tot_flow_CFLP,RY_recon_80,0.01,0.95582,0.002,-0.247,121.0
log_BY_tot_flow_sepdec,RY_recon_80,1.92,0.13945,0.324,0.155,116.7
log_RY_tot_flow,RY_recon_80,0.01,0.90006,0.002,-0.248,121.0
log_SY_tot_flow_janjul,RY_recon_80,0.10,0.59227,0.024,-0.220,120.7
BY_FA_Mag,RY_recon_80,2.85,0.68366,0.588,0.381,80.1
BY_FA_Tim,RY_recon_80,0.06,0.23939,0.030,-0.455,86.1
BY_FA_Dur,RY_recon_80,2.70,0.70662,0.574,0.362,80.3
RY_Wet_Tim,RY_recon_80,1.84,0.02288,0.316,0.144,116.8
RY_Wet_BFL_Dur,RY_recon_80,3.54,0.46232,0.469,0.337,114.0
RY_SP_ROC,RY_recon_80,0.11,0.89912,0.027,-0.216,120.7
RY_DS_Mag_50,RY_recon_80,0.88,0.91624,0.180,-0.025,118.8
RY_DS_Mag_90,RY_recon_80,1.14,0.04252,0.222,0.027,118.2
RY_FA_Mag,RY_recon_80,1.71,0.63788,0.461,0.192,82.7
RY_FA_Tim,RY_recon_80,0.49,0.88127,0.198,-0.202,85.4
RY_FA_Dur,RY_recon_80,0.70,0.74928,0.259,-0.112,84.9
RY_Wet_BFL_Mag_50,RY_recon_80,0.08,0.27277,0.021,-0.224,120.8
RY_DS_Tim,RY_recon_80,0.26,0.72911,0.061,-0.174,120.3
RY_SP_Tim,RY_recon_80,1.00,0.58086,0.200,0.000,118.5
RY_DS_Dur_WS,RY_recon_80,0.10,0.53488,0.025,-0.218,120.7
SY_Wet_Tim,RY_recon_80,0.72,0.77660,0.152,-0.060,119.2
SY_Wet_BFL_Dur,RY_recon_80,0.06,0.13573,0.015,-0.232,120.8
SY_SP_ROC,RY_recon_80,0.98,0.61773,0.197,-0.003,118.6
BY_recon_10,RY_recon_100,5.16,0.01939,0.563,0.454,111.9
BY_recon_15,RY_recon_100,3.21,0.03718,0.445,0.306,114.5
BY_recon_20,RY_recon_100,1.74,0.08097,0.303,0.128,117.0
BY_recon_50,RY_recon_100,0.50,0.16642,0.110,-0.112,119.7
BY_recon_80,RY_recon_100,0.36,0.19787,0.084,-0.146,120.0
BY_recon_100,RY_recon_100,3.21,0.02151,0.445,0.307,114.5
RY_discon_10,RY_recon_100,1.19,0.27085,0.229,0.036,118.1
RY_discon_15,RY_recon_100,1.33,0.24684,0.250,0.063,117.8
RY_discon_20,RY_recon_100,1.05,0.31881,0.208,0.011,118.4
RY_discon_50,RY_recon_100,1.23,0.26865,0.236,0.044,118.0
RY_discon_80,RY_recon_100,1.06,0.30426,0.210,0.013,118.4
RY_discon_100,RY_recon_100,1.00,0.32595,0.199,-0.001,118.5
RY_recon_10,RY_recon_100,0.80,0.19992,0.167,-0.041,119.0
RY_recon_15,RY_recon_100,0.79,0.20938,0.165,-0.043,119.0
RY_recon_20,RY_recon_100,0.54,0.19874,0.119,-0.101,119.6
RY_recon_50,RY_recon_100,0.48,0.17123,0.107,-0.116,119.7
RY_recon_80,RY_recon_100,0.18,0.31491,0.042,-0.198,120.5
SY_discon_80,RY_recon_100,0.25,0.84678,0.058,-0.177,120.3
SY_discon_100,RY_recon_100,0.24,0.87446,0.056,-0.179,120.3
BY_min_flow_sepdec,RY_recon_100,0.51,0.38536,0.113,-0.109,119.7
RY_min_flow,RY_recon_100,1.81,0.73950,0.312,0.140,116.9
SY_min_flow_janjul,RY_recon_100,0.20,0.24840,0.048,-0.190,120.4
tot_flow_CFLP,RY_recon_100,0.23,0.79920,0.055,-0.182,120.4
BY_tot_flow_sepdec,RY_recon_100,1.10,0.45794,0.216,0.020,118.3
RY_tot_flow,RY_recon_100,0.33,0.72943,0.076,-0.156,120.1
SY_tot_flow_janjul,RY_recon_100,0.31,0.23178,0.072,-0.160,120.2
log_tot_flow_CFLP,RY_recon_100,0.22,0.74977,0.053,-0.184,120.4
log_BY_tot_flow_sepdec,RY_recon_100,1.92,0.14294,0.324,0.155,116.7
log_RY_tot_flow,RY_recon_100,0.21,0.79211,0.051,-0.187,120.4
log_SY_tot_flow_janjul,RY_recon_100,0.19,0.72666,0.046,-0.193,120.5
BY_FA_Mag,RY_recon_100,3.23,0.58736,0.618,0.426,79.5
BY_FA_Tim,RY_recon_100,0.04,0.27674,0.021,-0.468,86.1
BY_FA_Dur,RY_recon_100,2.37,0.75946,0.542,0.313,80.8
RY_Wet_Tim,RY_recon_100,1.85,0.04857,0.316,0.145,116.8
RY_Wet_BFL_Dur,RY_recon_100,3.20,0.64894,0.445,0.306,114.5
RY_SP_ROC,RY_recon_100,0.22,0.99044,0.053,-0.184,120.4
RY_DS_Mag_50,RY_recon_100,1.21,0.88104,0.233,0.041,118.1
RY_DS_Mag_90,RY_recon_100,1.10,0.09020,0.215,0.019,118.3
RY_FA_Mag,RY_recon_100,1.79,0.66247,0.473,0.209,82.5
RY_FA_Tim,RY_recon_100,0.59,0.85004,0.227,-0.160,85.2
RY_FA_Dur,RY_recon_100,0.75,0.79237,0.273,-0.090,84.8
RY_Wet_BFL_Mag_50,RY_recon_100,0.37,0.68778,0.085,-0.144,120.0
RY_DS_Tim,RY_recon_100,1.05,0.30085,0.209,0.011,118.4
RY_SP_Tim,RY_recon_100,1.31,0.46718,0.246,0.058,117.9
RY_DS_Dur_WS,RY_recon_100,0.16,0.47587,0.037,-0.203,120.6
SY_Wet_Tim,RY_recon_100,0.71,0.58079,0.151,-0.062,119.2
SY_Wet_BFL_Dur,RY_recon_100,0.16,0.44356,0.039,-0.202,120.6
SY_SP_ROC,RY_recon_100,1.10,0.44759,0.215,0.019,118.3
BY_recon_10,SY_discon_80,5.78,0.86343,0.591,0.489,111.1
BY_recon_15,SY_discon_80,2.79,0.51325,0.411,0.264,115.2
BY_recon_20,SY_discon_80,1.20,0.63311,0.230,0.038,118.1
BY_recon_50,SY_discon_80,0.27,0.91851,0.062,-0.172,120.3
BY_recon_80,SY_discon_80,0.18,0.97914,0.044,-0.195,120.5
BY_recon_100,SY_discon_80,3.07,0.40734,0.434,0.293,114.7
RY_discon_10,SY_discon_80,0.94,0.33893,0.191,-0.012,118.7
RY_discon_15,SY_discon_80,0.60,0.51878,0.131,-0.086,119.4
RY_discon_20,SY_discon_80,0.44,0.59684,0.099,-0.126,119.8
RY_discon_50,SY_discon_80,0.39,0.64805,0.088,-0.140,120.0
RY_discon_80,SY_discon_80,0.30,0.69701,0.069,-0.164,120.2
RY_discon_100,SY_discon_80,0.29,0.70893,0.067,-0.166,120.2
RY_recon_10,SY_discon_80,0.57,0.87271,0.125,-0.094,119.5
RY_recon_15,SY_discon_80,0.43,0.94652,0.097,-0.129,119.9
RY_recon_20,SY_discon_80,0.28,0.98763,0.065,-0.169,120.3
RY_recon_50,SY_discon_80,0.31,0.94172,0.073,-0.159,120.2
RY_recon_80,SY_discon_80,0.06,0.95657,0.014,-0.232,120.8
RY_recon_100,SY_discon_80,0.25,0.84678,0.058,-0.177,120.3
SY_discon_100,SY_discon_80,0.61,0.35338,0.133,-0.084,119.4
BY_min_flow_sepdec,SY_discon_80,0.33,0.91734,0.077,-0.154,120.1
RY_min_flow,SY_discon_80,0.44,0.85367,0.100,-0.125,119.8
SY_min_flow_janjul,SY_discon_80,0.47,0.58349,0.105,-0.119,119.8
tot_flow_CFLP,SY_discon_80,0.03,0.94144,0.009,-0.239,120.9
BY_tot_flow_sepdec,SY_discon_80,1.03,0.89287,0.205,0.006,118.5
RY_tot_flow,SY_discon_80,0.08,0.99251,0.020,-0.225,120.8
SY_tot_flow_janjul,SY_discon_80,2.77,0.09784,0.409,0.261,115.2
log_tot_flow_CFLP,SY_discon_80,0.04,0.89829,0.010,-0.237,120.9
log_BY_tot_flow_sepdec,SY_discon_80,1.96,0.15785,0.329,0.162,116.6
log_RY_tot_flow,SY_discon_80,0.03,0.99280,0.009,-0.239,120.9
log_SY_tot_flow_janjul,SY_discon_80,1.33,0.15415,0.249,0.061,117.8
BY_FA_Mag,SY_discon_80,1.90,0.91794,0.487,0.230,81.6
BY_FA_Tim,SY_discon_80,0.11,0.57635,0.054,-0.419,85.9
BY_FA_Dur,SY_discon_80,1.65,0.61315,0.452,0.178,82.1
RY_Wet_Tim,SY_discon_80,2.00,0.28823,0.333,0.166,116.5
RY_Wet_BFL_Dur,SY_discon_80,3.37,0.55750,0.457,0.321,114.3
RY_SP_ROC,SY_discon_80,0.12,0.86829,0.030,-0.212,120.6
RY_DS_Mag_50,SY_discon_80,0.66,0.97753,0.143,-0.072,119.3
RY_DS_Mag_90,SY_discon_80,2.95,0.27271,0.425,0.281,114.9
RY_FA_Mag,SY_discon_80,7.22,0.09481,0.783,0.675,76.3
RY_FA_Tim,SY_discon_80,0.21,0.64901,0.095,-0.358,86.3
RY_FA_Dur,SY_discon_80,0.36,0.87152,0.153,-0.270,85.8
RY_Wet_BFL_Mag_50,SY_discon_80,0.15,0.92696,0.037,-0.204,120.6
RY_DS_Tim,SY_discon_80,0.26,0.73555,0.061,-0.173,120.3
RY_SP_Tim,SY_discon_80,0.88,0.89011,0.180,-0.025,118.8
RY_DS_Dur_WS,SY_discon_80,0.12,0.99774,0.030,-0.212,120.6
SY_Wet_Tim,SY_discon_80,0.71,0.82397,0.152,-0.061,119.2
SY_Wet_BFL_Dur,SY_discon_80,0.12,0.94188,0.029,-0.214,120.7
SY_SP_ROC,SY_discon_80,0.81,0.72509,0.168,-0.040,119.0
BY_recon_10,SY_discon_100,5.71,0.94023,0.588,0.485,111.2
BY_recon_15,SY_discon_100,2.80,0.46526,0.411,0.264,115.2
BY_recon_20,SY_discon_100,1.19,0.58541,0.230,0.038,118.1
BY_recon_50,SY_discon_100,0.25,0.86597,0.060,-0.175,120.3
BY_recon_80,SY_discon_100,0.17,0.92291,0.041,-0.199,120.5
BY_recon_100,SY_discon_100,3.07,0.36363,0.435,0.293,114.7
RY_discon_10,SY_discon_100,0.93,0.34148,0.189,-0.014,118.7
RY_discon_15,SY_discon_100,0.60,0.52350,0.130,-0.088,119.5
RY_discon_20,SY_discon_100,0.43,0.60531,0.097,-0.128,119.9
RY_discon_50,SY_discon_100,0.38,0.65809,0.087,-0.142,120.0
RY_discon_80,SY_discon_100,0.29,0.70679,0.068,-0.165,120.2
RY_discon_100,SY_discon_100,0.28,0.71760,0.066,-0.167,120.2
RY_recon_10,SY_discon_100,0.55,0.92488,0.121,-0.098,119.6
RY_recon_15,SY_discon_100,0.41,0.99844,0.094,-0.133,119.9
RY_recon_20,SY_discon_100,0.26,0.96094,0.062,-0.173,120.3
RY_recon_50,SY_discon_100,0.30,0.99472,0.069,-0.163,120.2
RY_recon_80,SY_discon_100,0.05,0.91135,0.013,-0.234,120.8
RY_recon_100,SY_discon_100,0.24,0.87446,0.056,-0.179,120.3
SY_discon_80,SY_discon_100,0.61,0.35338,0.133,-0.084,119.4
BY_min_flow_sepdec,SY_discon_100,0.33,0.87476,0.076,-0.155,120.1
RY_min_flow,SY_discon_100,0.44,0.81003,0.099,-0.126,119.8
SY_min_flow_janjul,SY_discon_100,0.43,0.63269,0.096,-0.130,119.9
tot_flow_CFLP,SY_discon_100,0.03,0.89653,0.007,-0.241,120.9
BY_tot_flow_sepdec,SY_discon_100,1.02,0.92759,0.203,0.004,118.5
RY_tot_flow,SY_discon_100,0.07,0.96268,0.018,-0.227,120.8
SY_tot_flow_janjul,SY_discon_100,2.49,0.12351,0.383,0.229,115.7
log_tot_flow_CFLP,SY_discon_100,0.03,0.89887,0.008,-0.240,120.9
log_BY_tot_flow_sepdec,SY_discon_100,1.96,0.15536,0.329,0.161,116.6
log_RY_tot_flow,SY_discon_100,0.03,0.99144,0.007,-0.241,120.9
log_SY_tot_flow_janjul,SY_discon_100,1.20,0.16663,0.230,0.038,118.1
BY_FA_Mag,SY_discon_100,1.90,0.91745,0.487,0.230,81.6
BY_FA_Tim,SY_discon_100,0.12,0.56121,0.056,-0.416,85.9
BY_FA_Dur,SY_discon_100,1.64,0.61614,0.451,0.176,82.1
RY_Wet_Tim,SY_discon_100,2.00,0.26540,0.333,0.166,116.5
RY_Wet_BFL_Dur,SY_discon_100,3.36,0.56717,0.456,0.321,114.3
RY_SP_ROC,SY_discon_100,0.12,0.89506,0.028,-0.215,120.7
RY_DS_Mag_50,SY_discon_100,0.66,0.98544,0.141,-0.074,119.3
RY_DS_Mag_90,SY_discon_100,2.79,0.32103,0.411,0.264,115.2
RY_FA_Mag,SY_discon_100,6.73,0.11048,0.771,0.656,76.7
RY_FA_Tim,SY_discon_100,0.20,0.67088,0.089,-0.366,86.3
RY_FA_Dur,SY_discon_100,0.36,0.84233,0.153,-0.271,85.8
RY_Wet_BFL_Mag_50,SY_discon_100,0.14,0.97286,0.034,-0.208,120.6
RY_DS_Tim,SY_discon_100,0.26,0.74162,0.061,-0.174,120.3
RY_SP_Tim,SY_discon_100,0.88,0.89418,0.180,-0.025,118.8
RY_DS_Dur_WS,SY_discon_100,0.12,0.97332,0.029,-0.214,120.7
SY_Wet_Tim,SY_discon_100,0.71,0.81261,0.152,-0.060,119.2
SY_Wet_BFL_Dur,SY_discon_100,0.11,0.89647,0.027,-0.216,120.7
SY_SP_ROC,SY_discon_100,0.80,0.73632,0.167,-0.041,119.0
BY_recon_10,BY_min_flow_sepdec,5.38,0.00087,0.573,0.467,111.6
BY_recon_15,BY_min_flow_sepdec,3.87,0.00340,0.491,0.364,113.5
BY_recon_20,BY_min_flow_sepdec,1.49,0.03444,0.271,0.089,117.5
BY_recon_50,BY_min_flow_sepdec,0.32,0.32581,0.073,-0.158,120.1
BY_recon_80,BY_min_flow_sepdec,0.35,0.17988,0.080,-0.150,120.1
BY_recon_100,BY_min_flow_sepdec,3.07,0.00551,0.434,0.293,114.7
RY_discon_10,BY_min_flow_sepdec,1.14,0.35986,0.221,0.027,118.2
RY_discon_15,BY_min_flow_sepdec,0.93,0.47843,0.189,-0.014,118.7
RY_discon_20,BY_min_flow_sepdec,0.75,0.58523,0.158,-0.053,119.1
RY_discon_50,BY_min_flow_sepdec,0.70,0.63337,0.149,-0.064,119.2
RY_discon_80,BY_min_flow_sepdec,0.66,0.64093,0.142,-0.072,119.3
RY_discon_100,BY_min_flow_sepdec,0.62,0.67307,0.134,-0.082,119.4
RY_recon_10,BY_min_flow_sepdec,0.70,0.01478,0.148,-0.065,119.2
RY_recon_15,BY_min_flow_sepdec,0.73,0.01430,0.154,-0.057,119.1
RY_recon_20,BY_min_flow_sepdec,0.60,0.01963,0.130,-0.088,119.5
RY_recon_50,BY_min_flow_sepdec,0.65,0.03148,0.139,-0.076,119.3
RY_recon_80,BY_min_flow_sepdec,0.35,0.14948,0.080,-0.150,120.1
RY_recon_100,BY_min_flow_sepdec,0.51,0.38536,0.113,-0.109,119.7
SY_discon_80,BY_min_flow_sepdec,0.33,0.91734,0.077,-0.154,120.1
SY_discon_100,BY_min_flow_sepdec,0.33,0.87476,0.076,-0.155,120.1
RY_min_flow,BY_min_flow_sepdec,0.87,0.08285,0.179,-0.026,118.8
SY_min_flow_janjul,BY_min_flow_sepdec,0.39,0.02973,0.088,-0.140,120.0
tot_flow_CFLP,BY_min_flow_sepdec,0.33,0.31021,0.075,-0.156,120.1
BY_tot_flow_sepdec,BY_min_flow_sepdec,1.67,0.22206,0.294,0.118,117.1
RY_tot_flow,BY_min_flow_sepdec,0.39,0.18854,0.088,-0.140,120.0
SY_tot_flow_janjul,BY_min_flow_sepdec,0.58,0.04775,0.127,-0.091,119.5
log_tot_flow_CFLP,BY_min_flow_sepdec,0.32,0.98714,0.073,-0.159,120.1
log_BY_tot_flow_sepdec,BY_min_flow_sepdec,2.48,0.11936,0.383,0.228,115.7
log_RY_tot_flow,BY_min_flow_sepdec,0.32,0.97155,0.073,-0.158,120.1
log_SY_tot_flow_janjul,BY_min_flow_sepdec,0.46,0.54879,0.103,-0.122,119.8
BY_FA_Mag,BY_min_flow_sepdec,2.77,0.49325,0.581,0.371,80.2
BY_FA_Tim,BY_min_flow_sepdec,0.87,0.31470,0.303,-0.046,83.7
BY_FA_Dur,BY_min_flow_sepdec,9.73,0.11076,0.830,0.744,73.9
RY_Wet_Tim,BY_min_flow_sepdec,2.51,0.00888,0.386,0.232,115.6
RY_Wet_BFL_Dur,BY_min_flow_sepdec,3.42,0.74179,0.461,0.326,114.2
RY_SP_ROC,BY_min_flow_sepdec,0.32,0.64227,0.074,-0.157,120.1
RY_DS_Mag_50,BY_min_flow_sepdec,1.22,0.24903,0.233,0.041,118.1
RY_DS_Mag_90,BY_min_flow_sepdec,1.26,0.01322,0.240,0.050,118.0
RY_FA_Mag,BY_min_flow_sepdec,2.46,0.12611,0.551,0.327,81.4
RY_FA_Tim,BY_min_flow_sepdec,1.37,0.26146,0.407,0.111,83.3
RY_FA_Dur,BY_min_flow_sepdec,1.15,0.49269,0.365,0.048,83.8
RY_Wet_BFL_Mag_50,BY_min_flow_sepdec,0.51,0.24898,0.112,-0.109,119.7
RY_DS_Tim,BY_min_flow_sepdec,0.65,0.63561,0.141,-0.074,119.3
RY_SP_Tim,BY_min_flow_sepdec,1.14,0.70828,0.222,0.028,118.2
RY_DS_Dur_WS,BY_min_flow_sepdec,0.43,0.59254,0.096,-0.130,119.9
SY_Wet_Tim,BY_min_flow_sepdec,1.19,0.76524,0.229,0.036,118.1
SY_Wet_BFL_Dur,BY_min_flow_sepdec,0.42,0.10561,0.095,-0.131,119.9
SY_SP_ROC,BY_min_flow_sepdec,1.33,0.48211,0.249,0.062,117.8
BY_recon_10,RY_min_flow,5.23,0.00088,0.567,0.458,111.8
BY_recon_15,RY_min_flow,3.36,0.00259,0.456,0.321,114.3
BY_recon_20,RY_min_flow,1.53,0.01328,0.276,0.095,117.4
BY_recon_50,RY_min_flow,0.71,0.04491,0.151,-0.061,119.2
BY_recon_80,RY_min_flow,0.53,0.13022,0.117,-0.104,119.6
BY_recon_100,RY_min_flow,3.29,0.00520,0.451,0.314,114.4
RY_discon_10,RY_min_flow,0.93,0.48911,0.189,-0.013,118.7
RY_discon_15,RY_min_flow,0.61,0.74496,0.133,-0.084,119.4
RY_discon_20,RY_min_flow,0.49,0.92611,0.109,-0.113,119.7
RY_discon_50,RY_min_flow,0.45,0.96282,0.101,-0.124,119.8
RY_discon_80,RY_min_flow,0.44,0.84011,0.099,-0.127,119.8
RY_discon_100,RY_min_flow,0.44,0.83902,0.099,-0.127,119.8
RY_recon_10,RY_min_flow,0.56,0.04878,0.122,-0.097,119.5
RY_recon_15,RY_min_flow,0.48,0.09824,0.106,-0.117,119.8
RY_recon_20,RY_min_flow,0.44,0.19995,0.098,-0.127,119.8
RY_recon_50,RY_min_flow,0.46,0.47678,0.103,-0.122,119.8
RY_recon_80,RY_min_flow,0.50,0.49078,0.111,-0.111,119.7
RY_recon_100,RY_min_flow,1.81,0.73950,0.312,0.140,116.9
SY_discon_80,RY_min_flow,0.44,0.85367,0.100,-0.125,119.8
SY_discon_100,RY_min_flow,0.44,0.81003,0.099,-0.126,119.8
BY_min_flow_sepdec,RY_min_flow,0.87,0.08285,0.179,-0.026,118.8
SY_min_flow_janjul,RY_min_flow,0.60,0.02209,0.130,-0.087,119.5
tot_flow_CFLP,RY_min_flow,0.96,0.07128,0.193,-0.008,118.6
BY_tot_flow_sepdec,RY_min_flow,0.96,0.06280,0.194,-0.008,118.6
RY_tot_flow,RY_min_flow,0.67,0.04257,0.143,-0.072,119.3
SY_tot_flow_janjul,RY_min_flow,0.70,0.05350,0.148,-0.065,119.2
log_tot_flow_CFLP,RY_min_flow,0.93,0.34944,0.189,-0.014,118.7
log_BY_tot_flow_sepdec,RY_min_flow,1.91,0.19626,0.323,0.154,116.7
log_RY_tot_flow,RY_min_flow,1.14,0.26576,0.221,0.026,118.2
log_SY_tot_flow_janjul,RY_min_flow,0.58,0.55377,0.127,-0.092,119.5
