pred1,pred2,Fstat,pval,Rsquare,adjRsquare,AICc
RY_min_flow,BY_recon_20,1.53,0.01328,0.276,0.095,117.4
SY_min_flow_janjul,BY_recon_20,1.28,0.00337,0.243,0.053,117.9
tot_flow_CFLP,BY_recon_20,1.21,0.06797,0.232,0.040,118.1
BY_tot_flow_sepdec,BY_recon_20,2.51,0.01886,0.385,0.231,115.6
RY_tot_flow,BY_recon_20,1.38,0.02166,0.256,0.070,117.7
SY_tot_flow_janjul,BY_recon_20,1.74,0.00709,0.303,0.128,117.0
log_tot_flow_CFLP,BY_recon_20,1.20,0.95799,0.230,0.038,118.1
log_BY_tot_flow_sepdec,BY_recon_20,3.50,0.19014,0.467,0.333,114.1
log_RY_tot_flow,BY_recon_20,1.24,0.93329,0.237,0.047,118.0
log_SY_tot_flow_janjul,BY_recon_20,1.67,0.32109,0.294,0.118,117.2
BY_FA_Mag,BY_recon_20,3.33,0.14550,0.625,0.437,79.4
BY_FA_Tim,BY_recon_20,1.90,0.03422,0.487,0.230,81.6
BY_FA_Dur,BY_recon_20,13.15,0.18924,0.868,0.802,72.1
RY_Wet_Tim,BY_recon_20,3.64,0.00191,0.477,0.346,113.9
RY_Wet_BFL_Dur,BY_recon_20,4.17,0.57792,0.510,0.388,113.1
RY_SP_ROC,BY_recon_20,1.23,0.38351,0.235,0.043,118.0
RY_DS_Mag_50,BY_recon_20,2.01,0.02480,0.335,0.169,116.5
RY_DS_Mag_90,BY_recon_20,2.13,0.00150,0.347,0.184,116.3
RY_FA_Mag,BY_recon_20,1.96,0.03712,0.495,0.242,82.2
RY_FA_Tim,BY_recon_20,0.75,0.13420,0.273,-0.091,84.8
RY_FA_Dur,BY_recon_20,0.77,0.16219,0.278,-0.083,84.7
RY_Wet_BFL_Mag_50,BY_recon_20,1.58,0.02082,0.283,0.104,117.3
RY_DS_Tim,BY_recon_20,1.68,0.77086,0.295,0.119,117.1
RY_SP_Tim,BY_recon_20,1.87,0.78484,0.319,0.149,116.8
RY_DS_Dur_WS,BY_recon_20,1.25,0.20101,0.238,0.047,118.0
SY_Wet_Tim,BY_recon_20,1.92,0.20808,0.325,0.156,116.7
SY_Wet_BFL_Dur,BY_recon_20,1.20,0.03172,0.230,0.038,118.1
SY_SP_ROC,BY_recon_20,3.62,0.54358,0.475,0.344,113.9
