pred1,pred2,Fstat,pval,Rsquare,adjRsquare,AICc,loocv,n
SY_discon_80,RY_Wet_BFL_Dur,3.368906744,0.557501963,0.457178637,0.321473297,114.2644189,1100,11
BY_recon_10,RY_SP_Tim,5.907818151,0.476363846,0.59627842,0.495348025,111.0078161,1102,11
log_BY_tot_flow_sepdec,RY_SP_Tim,5.339018987,0.025308517,0.571689488,0.464611861,111.6581685,1104,11
SY_discon_100,RY_Wet_BFL_Dur,3.359026141,0.567167473,0.456449818,0.320562272,114.2791781,1107,11
BY_FA_Tim,RY_FA_Mag,17.16832663,0.020519307,0.944959158,0.889918315,67.79351385,1107,5
RY_FA_Mag,RY_Wet_BFL_Mag_50,2.546898888,0.044533099,0.560139768,0.340209652,81.24814847,1107,7
BY_recon_100,RY_recon_80,3.62115524,0.007454244,0.475145188,0.343931485,113.8941742,1112,11
BY_recon_15,RY_SP_ROC,3.367812161,0.139048524,0.457097994,0.321372493,114.266053,1115,11
BY_recon_15,RY_discon_80,3.704991477,0.750773983,0.480856012,0.351070015,113.7738298,1116,11
BY_recon_15,RY_FA_Mag,2.685737351,0.016067511,0.573172833,0.359759249,81.03760351,1118,7
BY_recon_15,RY_discon_15,4.277692568,0.56647571,0.516773549,0.395966937,112.985175,1119,11
BY_recon_15,RY_DS_Mag_90,3.347497778,0.000505717,0.455596977,0.319496222,114.2964238,1121,11
BY_recon_15,RY_recon_15,3.827966983,0.000402213,0.489011641,0.361264552,113.5996507,1123,11
BY_recon_15,SY_Wet_Tim,3.717557028,0.101872849,0.481701271,0.352126589,113.7559053,1123,11
SY_discon_100,RY_DS_Mag_90,2.792323544,0.321032713,0.411099902,0.263874878,115.1606579,1123,11
BY_recon_20,log_BY_tot_flow_sepdec,3.501530925,0.190139314,0.46677551,0.333469388,114.0682035,1124,11
BY_recon_15,RY_DS_Tim,3.673169319,0.738099833,0.478703019,0.348378774,113.8193547,1129,11
log_SY_tot_flow_janjul,RY_Wet_BFL_Dur,3.55545082,0.449391435,0.470580896,0.338226121,113.9894199,1129,11
log_BY_tot_flow_sepdec,RY_Wet_BFL_Dur,5.339019565,0.135218856,0.571689515,0.464611894,111.6581678,1131,11
BY_recon_10,RY_DS_Mag_90,4.817034786,0.000322378,0.546332741,0.432915927,112.29084,1132,11
RY_min_flow,RY_Wet_BFL_Dur,2.981887294,0.854620509,0.427089005,0.283861256,114.8578699,1132,11
BY_recon_15,RY_recon_80,2.789921363,0.020895867,0.410891557,0.263614447,115.1645488,1134,11
