brood_year,smolt_year,coho_smolt_per_fem,chinook_juv_per_adult,coho_spawner_abundance,coho_redds_in_brood,coho_smolt_abun_est,chinook_spawner_abundance,chinook_spawner_abundance_long,chinook_juvenile_abundance,f1_recon_20,f1_recon_40,f1_recon_120,s1_discon_20,s1_discon_40,s1_discon_120,f2_recon_20,f2_recon_40,f2_recon_120,s2_discon_120,d1_DS_Dur_WS,d1_DS_Tim,d1_DS_Mag_50,d1_DS_Mag_90,f1_FA_Dur,f1_FA_Mag,f1_FA_Tim,f1_FA_Dif_num,w1_Wet_BFL_Dur,w1_Wet_BFL_Mag_10,w1_Wet_BFL_Mag_50,w1_Wet_Tim,w1_Peak_Tim_10,w1_Peak_Tim_2,w1_Peak_Tim_5,w1_Peak_Dur_10,w1_Peak_Dur_2,w1_Peak_Dur_5,w1_Peak_10,w1_Peak_2,w1_Peak_5,w1_Peak_Fre_10,w1_Peak_Fre_2,w1_Peak_Fre_5,s1_SP_ROC,s1_SP_ROC_Max,s1_SP_Dur,s1_SP_Mag,s1_SP_Tim,wy1_Mean_Ann_Flow,wy1_WY_Cat,d2_DS_Dur_WS,d2_DS_Tim,d2_DS_Mag_50,d2_DS_Mag_90,f2_FA_Dur,f2_FA_Mag,f2_FA_Tim,f2_FA_Dif_num,w2_Wet_BFL_Dur,w2_Wet_BFL_Mag_10,w2_Wet_BFL_Mag_50,w2_Wet_Tim,w2_Peak_Tim_10,w2_Peak_Tim_2,w2_Peak_Tim_5,w2_Peak_Dur_10,w2_Peak_Dur_2,w2_Peak_Dur_5,w2_Peak_10,w2_Peak_2,w2_Peak_5,w2_Peak_Fre_10,w2_Peak_Fre_2,w2_Peak_Fre_5,s2_SP_ROC,s2_SP_ROC_Max,s2_SP_Dur,s2_SP_Mag,s2_SP_Tim,wy2_Mean_Ann_Flow,wy2_WY_Cat,w1_num_days_gt_90_pctile,w2_num_days_gt_90_pctile
2009,2011,8.61,435.7,81,5,353,2211,2211,963392,46,70,113,365,346,328,1,19,54,365,117,286,10.65,27.59,2,32.9,17,21.5,220,54.4,472,38,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.0686695278969958,0.14792899408284,60,1690,258,462.887260273973,2,84,318,47.3,316.6,4,755,25,707.6,235,411.5,1025,37,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.0563380281690141,0.255411255411255,58,2310,272,768.888219178082,3,22,52
2010,2012,98.65,64.9,907,162,63135,2508,2508,162706,1,19,54,365,365,343,1,1,84,366,84,318,47.3,316.6,4,755,25,707.6,235,411.5,1025,37,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.0563380281690141,0.255411255411255,58,2310,272,768.888219178082,3,124,330,94.8,108.6,NA,NA,NA,36,140,175,635,89,NA,183,NA,NA,1,NA,13440,4520,10960,NA,1,NA,0.0641711229946524,0.190529875986471,77,1680,229,434.200901639344,2,52,23
2011,2013,54.61,39.7,355,26,9283,5521,5521,219304,1,1,84,345,337,310,33,57,81,286,124,330,94.8,108.6,NA,NA,NA,36,140,175,635,89,NA,183,NA,NA,1,NA,13440,4520,10960,NA,1,NA,0.0641711229946524,0.190529875986471,77,1680,229,434.200901639344,2,109,306,20.5,55,2,55.4,45,34.65,171,259.1,427,50,NA,66,NA,NA,1,NA,13440,4520,10960,NA,1,NA,0.0625646370305047,0.133152173913043,55,1060,221,326.516054794521,1,23,8
2012,2014,78.3,82.1,201,24,6734,9532,9352,782804,33,57,81,323,305,286,30,30,164,256,109,306,20.5,55,2,55.4,45,34.65,171,259.1,427,50,NA,66,NA,NA,1,NA,13440,4520,10960,NA,1,NA,0.0625646370305047,0.133152173913043,55,1060,221,326.516054794521,1,209,276,45.95,56.21,NA,NA,NA,22.2,72,82.12,421,120,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.0508474576271186,0.119402985074627,68,443,192,169.624493150685,1,8,7
2013,2015,5.78,106.8,2752,354,8758,4624,4624,493721,30,30,164,294,289,256,55,55,56,257,209,276,45.95,56.21,NA,NA,NA,22.2,72,82.12,421,120,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.0508474576271186,0.119402985074627,68,443,192,169.624493150685,1,156,260,8.09,70.74,5,192,26,183.785,79,282.9,532,51,NA,130,130,NA,3,1,13440,4520,10960,NA,1,1,0.0510373894325561,0.5046875,91,12800,130,404.68202739726,1,7,17
2014,2016,18.84,22.8,485,103,3372,12470,12470,284329,55,55,56,300,294,257,93,99,99,305,156,260,8.09,70.74,5,192,26,183.785,79,282.9,532,51,NA,130,130,NA,3,1,13440,4520,10960,NA,1,1,0.0510373894325561,0.5046875,91,12800,130,404.68202739726,1,248,221,9.38,225.4,14,692,71,682.47,91,1060,1560,104,NA,158,NA,NA,1,NA,13440,4520,10960,NA,1,NA,0.0595854922279794,0.165957446808511,110,2380,195,676.986584699454,2,17,56
2015,2017,NA,45.9,212,60,NA,2113,2113,97027,93,99,99,337,332,305,42,45,46,365,248,221,9.38,225.4,14,692,71,682.47,91,1060,1560,104,NA,158,NA,NA,1,NA,13440,4520,10960,NA,1,NA,0.0595854922279794,0.165957446808511,110,2380,195,676.986584699454,2,129,305,18.55,527.4,7,486,17,467,148,813.4,1720,69,NA,104.5,133,NA,8,1,13440,4520,10960,NA,4,1,0.0594806763285024,0.246710526315789,102,3650,217,1193.43643835616,3,56,119
2016,2018,83.59,NA,226,95,14628,1515,1515,NA,42,45,46,365,356,326,1,3,74,282,129,305,18.55,527.4,7,486,17,467,148,813.4,1720,69,NA,104.5,133,NA,8,1,13440,4520,10960,NA,4,1,0.0594806763285024,0.246710526315789,102,3650,217,1193.43643835616,3,95,319,61.2,84.45,4,114,42,52.6,169,146,372.5,49,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.0809701433561459,0.158762886597938,50,606,218,255.233068493151,1,119,3
2017,2019,90.27,159.4,382,NA,15705,2576,2576,410688,1,3,74,312,299,282,64,83,108,365,95,319,61.2,84.45,4,114,42,52.6,169,146,372.5,49,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.0809701433561459,0.158762886597938,50,606,218,255.233068493151,1,173,268,13.4,62.4400000000001,4,108,61,94.5,152,239.2,918,76,NA,191,NA,NA,1,NA,13440,4520,10960,NA,1,NA,0.0673076923076923,0.236559139784946,77,2100,228,565.750438356164,2,3,35
2018,2020,34.66,108.6,739,NA,14628,1279,1279,138947,64,83,108,340,334,312,15,29,99,294,173,268,13.4,62.4400000000001,4,108,61,94.5,152,239.2,918,76,NA,191,NA,NA,1,NA,13440,4520,10960,NA,1,NA,0.0673076923076923,0.236559139784946,77,2100,228,565.750438356164,2,174,305,53.5,134,6,273,69,219,130,174,268,114,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.0930358350236647,0.145772594752186,34,517,244,168.073005464481,1,35,0
