V1,V2,V3,V4,V5,V6,V7,bestlam,rmse
1,2,3,4,7,8,13,26469.2105959268,5233.40763269975
1,2,3,4,7,8,14,556.349311919155,9296.89307863346
1,2,3,4,7,8,15,29231.8982043138,5551.0932968763
1,2,3,4,7,9,10,29938.1231363515,6015.25099365493
1,2,3,4,7,9,11,27475.0591043937,5702.93313092774
1,2,3,4,7,9,12,3576.60013764029,5494.74184978997
1,2,3,4,7,9,13,737.63805499777,6884.20173238008
1,2,3,4,7,9,14,8009.53294553224,5494.74184978997
1,2,3,4,7,9,15,22323.9449254692,5538.66718022787
1,2,3,4,7,10,11,22667.3718472215,5754.2998238274
1,2,3,4,7,10,12,21311.8759459309,5474.83703524589
1,2,3,4,7,10,13,30240.2888273325,5259.97578089719
1,2,3,4,7,10,14,14036.9449835438,5474.83703524589
1,2,3,4,7,10,15,31097.9828137519,5562.98044217306
1,2,3,4,7,11,12,17580.775067031,5274.45312173057
1,2,3,4,7,11,13,1255.35300550074,6757.48718941069
1,2,3,4,7,11,14,20659.3772269985,5274.45312173057
1,2,3,4,7,11,15,25062.0696036992,5243.42077234255
1,2,3,4,7,12,13,610.465887353055,7323.13065087929
1,2,3,4,7,12,14,28624.2010930715,4726.69592139513
1,2,3,4,7,12,15,1685.66078045923,4939.78851030106
1,2,3,4,7,13,14,18433.1858502926,4450.98361870254
1,2,3,4,7,13,15,21477.965573335,4739.20277303666
1,2,3,4,7,14,15,10060.5366101696,4864.8982924449
1,2,3,4,8,9,10,26277.1774855108,19653.3972618816
1,2,3,4,8,9,11,24948.1690316555,19295.692066603
1,2,3,4,8,9,12,26230.1913570483,19785.3626155592
1,2,3,4,8,9,13,26345.5743939138,19780.9352321191
1,2,3,4,8,9,14,25357.2817779124,19785.3626155592
1,2,3,4,8,9,15,27985.5358221542,19466.7433875486
1,2,3,4,8,10,11,27165.0636661165,19410.6296487904
1,2,3,4,8,10,12,25656.1459654668,19877.1858486683
1,2,3,4,8,10,13,670.105909594815,32567.2499058082
1,2,3,4,8,10,14,24905.1972082827,19877.1858486683
1,2,3,4,8,10,15,26235.1736461253,19572.5395963324
1,2,3,4,8,11,12,23584.4875100261,19562.1072241719
1,2,3,4,8,11,13,25640.5702526456,19560.9075240804
1,2,3,4,8,11,14,26882.119620133,19562.1072241719
1,2,3,4,8,11,15,25544.1276208873,19218.7024240062
1,2,3,4,8,12,13,24921.1315794064,19954.6900631311
