V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,bestlam,rmse
2,3,7,9,12,13,14,15,17,21,98.6446090820151,104.066418474879
5,6,7,8,12,13,15,18,19,20,56.8777539842336,117.303934386694
1,2,3,4,9,11,13,15,16,17,63.0375902414577,130.232546499792
3,4,6,7,13,15,16,18,20,21,1.75247294760212,133.404228675873
5,6,11,12,13,14,15,19,20,21,41.7027436103806,175.107389437405
1,3,7,11,12,13,15,16,18,20,55.2351070883146,125.843728787921
3,5,6,7,9,12,16,18,19,21,66.9071276300171,127.11223885395
5,6,8,10,11,14,15,16,19,20,8.02700097803427,189.888858518235
1,3,4,5,7,10,13,16,18,19,92.5218738412588,119.572802325832
3,4,5,9,11,15,16,17,18,20,60.4388847030195,116.561738491344
2,3,6,9,12,15,18,19,20,21,83.730525680705,128.579946963064
1,4,5,7,10,11,12,13,15,20,69.2867536066332,123.189992457815
1,2,3,4,6,9,10,15,16,19,35.5400988501311,147.167614783883
1,6,8,10,14,15,17,18,19,20,17.9384490989524,187.513576495809
1,5,6,7,8,9,10,13,15,18,33.8595649072048,126.789611961052
2,3,4,6,8,9,11,18,19,21,19.7303808947858,173.720162863272
1,2,4,5,6,7,10,14,15,17,1.17523279659484,156.887751385603
3,4,8,10,11,12,13,18,20,21,54.1347529202145,129.452916008529
3,4,5,6,7,11,12,13,15,17,3.0035605976416,145.838857977487
2,5,9,10,12,13,14,15,17,19,27.1727726167459,226.279847094917
2,5,8,9,11,14,15,16,17,21,68.7082507908238,117.818885962634
2,6,7,8,10,11,14,15,16,18,5.89747273159378,184.24285363169
1,2,3,6,9,10,12,14,17,21,4.01826801886334,150.014872005103
5,6,8,10,12,14,15,16,18,19,68.3116727554674,117.629111400888
2,10,11,12,14,15,18,19,20,21,60.245753113225,131.683180382886
1,3,4,7,10,11,12,14,19,21,62.3605696274764,130.182744038802
1,3,4,5,11,12,14,15,16,17,49.3307561646013,135.624240049677
1,2,3,4,9,12,14,15,16,20,1.47048800966274,201.984122359879
2,5,7,8,13,16,17,19,20,21,20.657486729293,140.537009550015
3,4,5,7,8,11,14,16,17,20,59.0106169454012,131.671739511816
1,2,3,7,9,14,15,16,17,21,7.44576058802268,112.069291200609
3,4,7,9,12,13,15,16,18,20,6.95667747577376,228.230800473692
1,2,3,5,8,10,14,15,17,20,16.1592863937423,220.428270187835
